,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
99.00,0.00,0.00,0.98,0.00,0.01,0.00
100.00,0.03,0.58,0.06,0.09,0.14,0.10
101.00,0.00,0.70,0.04,0.02,0.23,0.02
102.00,0.03,0.60,0.05,0.09,0.14,0.09
103.00,0.00,0.00,0.99,0.00,0.00,0.00
104.00,0.64,0.04,0.03,0.05,0.04,0.21
105.00,0.90,0.01,0.01,0.01,0.01,0.06
106.00,0.99,0.00,0.00,0.00,0.00,0.00
107.00,0.00,0.00,1.00,0.00,0.00,0.00
108.00,0.04,0.33,0.06,0.36,0.10,0.10
109.00,0.00,0.00,0.98,0.00,0.01,0.00
110.00,0.00,0.03,0.14,0.79,0.03,0.00
111.00,0.00,0.81,0.08,0.08,0.03,0.00
112.00,0.00,0.92,0.04,0.02,0.02,0.00
113.00,0.00,0.00,0.98,0.00,0.01,0.00
114.00,0.99,0.00,0.00,0.00,0.00,0.00
115.00,0.00,0.01,0.01,0.00,0.98,0.00
116.00,0.00,0.84,0.10,0.02,0.04,0.00
117.00,0.00,0.05,0.55,0.35,0.05,0.01
118.00,0.00,0.08,0.10,0.06,0.74,0.01
119.00,0.00,0.85,0.09,0.02,0.03,0.00
120.00,0.00,0.90,0.05,0.02,0.02,0.00
121.00,0.99,0.00,0.00,0.00,0.00,0.00
122.00,0.00,0.00,0.01,0.00,0.98,0.00
123.00,0.00,0.97,0.01,0.01,0.01,0.00
124.00,0.04,0.24,0.10,0.24,0.24,0.15
125.00,0.01,0.17,0.08,0.03,0.66,0.05
126.00,0.99,0.00,0.00,0.00,0.00,0.00
127.00,0.03,0.28,0.06,0.47,0.09,0.07
128.00,0.00,0.00,0.99,0.00,0.00,0.00
129.00,0.01,0.71,0.06,0.15,0.05,0.02
130.00,0.00,0.01,0.97,0.01,0.01,0.00
131.00,0.00,0.05,0.29,0.60,0.05,0.01
132.00,0.00,0.01,0.03,0.96,0.01,0.00
133.00,0.00,0.00,0.00,0.00,0.01,0.99
134.00,0.01,0.07,0.07,0.02,0.59,0.24
135.00,0.00,0.01,0.96,0.02,0.01,0.00
136.00,0.99,0.00,0.00,0.00,0.00,0.00
137.00,0.00,0.69,0.04,0.02,0.24,0.01
138.00,0.00,0.01,0.01,0.98,0.00,0.00
139.00,0.00,0.00,0.98,0.00,0.01,0.00
140.00,0.00,0.00,0.99,0.00,0.01,0.00
141.00,0.00,0.69,0.04,0.02,0.24,0.01
142.00,0.01,0.66,0.09,0.15,0.06,0.03
143.00,0.00,0.22,0.45,0.13,0.17,0.02
144.00,0.00,0.00,0.98,0.00,0.01,0.00
145.00,0.00,0.01,0.02,0.00,0.97,0.00
146.00,0.00,0.71,0.04,0.01,0.23,0.01
147.00,0.00,0.00,0.00,0.00,0.00,0.99
148.00,0.00,0.77,0.03,0.07,0.10,0.02
149.00,0.00,0.05,0.39,0.50,0.05,0.01
150.00,0.99,0.00,0.00,0.00,0.00,0.00
151.00,0.99,0.00,0.00,0.00,0.00,0.00
152.00,0.00,0.80,0.03,0.01,0.14,0.01
153.00,0.00,0.54,0.08,0.34,0.04,0.01
154.00,0.00,0.00,0.99,0.00,0.00,0.00
155.00,0.00,0.03,0.82,0.11,0.04,0.00
156.00,0.00,0.12,0.38,0.20,0.29,0.01
157.00,0.00,0.00,0.99,0.00,0.00,0.00
158.00,0.00,0.00,0.99,0.00,0.00,0.00
159.00,0.01,0.07,0.07,0.03,0.53,0.29
160.00,0.00,0.00,0.99,0.00,0.01,0.00
161.00,0.00,0.81,0.07,0.09,0.03,0.00
162.00,0.29,0.15,0.04,0.07,0.08,0.37
163.00,0.00,0.81,0.05,0.07,0.05,0.02
164.00,0.00,0.74,0.03,0.01,0.20,0.01
