int_date,live1,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,marital,par,kidage1,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit
32816,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0.5,1,48,3,2,0,3,2,2,R,18,0,0,0,0,0,0,0,0
40216,1,1,0,1,2,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,1,76,1,2,0,4,3,7,S,17,0,0,0,0,0.5050505051,0.5,0,0
40116,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,2,39,1,1,0,6,1,5,U,39,0.3333333333,0.3333333333,0,0.2222222222,0.101010101,0.375,0.25,0.75
32216,4,1,0,1,2,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0.5,0,2,71,6,2,0,7,3,5,S,48,0,0,0,0,0,0,0,0
40216,3,1,1,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,1,1,1,68,5,2,0,2,4,4,R,48,0,0,0,0,0.0606060606,0,0,0
33016,4,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0.5,1,48,3,2,0,2,1,7,S,48,0,0.3333333333,0,0.1111111111,1,0.25,0.25,0.25
31016,2,1,1,1,2,1,1,1,1,1,1,1,2,0,1,0,0,1,1,1,0.5,0,2,50,2,2,0,8,1,9,S,51,0,0,0,0.6666666667,0.2525252525,0.5,0,0
32616,1,1,1,1,2,1,1,1,1,1,1,2,3,1,0,0,0,0,0,0,1,0,1,72,3,2,0,6,1,6,U,40,0,0,0,0.1111111111,0.5050505051,0,0,0
31016,4,1,1,0,0,1,0,1,1,0,0,1,3,1,1,0,1,0,0,1,0.5,0,1,46,1,1,0,4,1,99,R,5,0,0,0,0.6666666667,0.0505050505,0.375,0,0
31516,3,1,1,1,2,1,1,1,1,0,1,1,3,1,0,0,0,0,0,0,1,0,2,69,1,2,0,8,3,8,S,12,0,0,0,0.1111111111,0.5050505051,0.5,0,0
40216,1,1,0,1,2,1,1,1,1,1,0,2,3,1,0,0,0,0,0,0,1,0,2,79,3,2,0,8,3,6,U,4,0,0,0,0.2222222222,0.0505050505,0,0,0
32616,3,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,57,5,1,0,8,1,9,S,47,0,0.5,0,0.3333333333,0.1515151515,0.375,1,0
31116,1,1,1,1,2,1,0.5,1,1,0,0,2,2,0,0,0,0,0,0,0,0.5,0,2,26,6,2,0,8,1,6,U,37,0,0.5,0,0,0.0404040404,0,0,0
32816,3,1,1,1,2,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0.5,0,1,45,1,1,0,6,1,8,S,45,0,0,0,0.3333333333,0.0606060606,0.5,1,0
32016,3,0,0,0,0,0,0,0,1,0,0,1,3,0,1,1,1,0,0,0,0,0,2,73,5,2,0,3,2,2,R,39,0,0,0,0,0.7575757576,0.375,0,0
40416,4,1,0,1,2,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,81,1,2,0,8,3,8,S,51,0,0,0,0,0.0404040404,0.25,1,0
32816,2,1,0,1,2,0,1,1,1,0,0,2,3,1,0,0,0,0,0,0,1,0.5,2,73,5,2,0,4,3,3,S,6,0,0,0,0.2222222222,0.101010101,0,0,0
32716,3,1,1,1,1,1,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0.5,2,17,6,2,0,2,4,4,U,36,0.6666666667,1,0.6666666667,0.1111111111,0.0404040404,0,0,0
32316,3,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,1,60,1,2,0,6,1,9,U,32,0,0,0,0,0.0202020202,0,0,0
