int_date,sex,eminuse,intmob,snsint,home3nw,bbhome1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,age,marital,parent,Kidage_17,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit
40415,2,1,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0.5,16,6,2,0,2,2,98,U,18,0.1111111111,0.2222222222,0.2222222222,0.3333333333,0.0412371134,0,0,0
40515,2,1,1,2,1,2,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,20,6,2,0,3,2,6,S,4,0,0,0,0,0,0,0,0
32315,1,1,1,2,1,2,1,0,1,0,0,0,1,3,1,1,1,1,0,0,0,0,0,54,1,2,0,3,1,8,S,48,0,0,0,0,0,0.5,0,0
40415,1,1,1,1,1,1,1,0.5,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,35,1,1,4,8,1,9,S,34,0,0,0,0.5,0.0206185567,0,0,0
32315,1,1,1,1,1,2,1,0,1,1,0,0,1,3,1,1,0,0,0,0,0,1,1,30,6,2,0,5,5,9,U,12,0,0,0,0.3333333333,0.0412371134,0.5,0,0
31815,1,1,1,1,1,2,1,1,0,1,0,0,2,3,0,0,0,0,0,0,0,1,0,60,1,2,0,3,3,7,S,4,0,0,0,0.3333333333,0.0206185567,0,0,0
33015,1,1,1,2,1,1,1,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,49,1,2,0,5,5,8,S,25,0,0,0,0,0,0,0,0
41215,2,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0.5,0.5,37,2,2,0,2,6,1,U,4,0,0,0,0,0,0.5,0,0
40415,2,1,1,1,1,2,1,1,0,1,0,0,1,3,0,1,0,0,0,1,1,0,0,28,1,1,2,3,1,5,S,34,0,0.5555555556,0.6666666667,0.1666666667,0.206185567,0.375,0,0
31815,2,1,1,1,1,2,1,0,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,53,6,2,0,2,1,2,R,48,0,0,0,0.3333333333,0.0206185567,0.5,0,0
31915,2,1,1,1,1,2,1,0.5,1,0,0,0,1,3,0,0,1,1,0,1,1,0.5,0,20,6,2,0,3,2,6,S,19,0.6666666667,0.2222222222,0.6666666667,0.1666666667,0,0.125,0,0
32315,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.5,32,1,2,0,6,1,6,S,21,0,0,0,0,0.2577319588,0.5,0.2,0.125
31715,2,1,0,2,1,2,0,0,1,1,0,0,1,3,1,1,0,0,0,0,0,0.5,0,77,1,2,0,4,3,4,R,30,0,0,0,0,0.206185567,0.5,0,0
40215,2,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,80,5,2,0,3,4,2,S,12,0,0,0,0,0,0,0,0
32015,2,1,1,1,1,2,1,0.5,1,1,0,0,1,3,0,0,0,1,0,0,0,0.5,0,39,6,1,2,4,1,6,S,26,0.6666666667,0.1111111111,0.2222222222,0.1666666667,0.0412371134,0.5,0,0
40415,2,1,1,1,1,2,1,0,1,1,0,1,1,3,1,1,1,0,0,0,0,0.5,0,60,5,2,0,6,1,99,U,55,0,0,0,0.1666666667,0.0309278351,0.5,0,0
40515,1,1,1,1,1,2,1,0.5,1,0,0,0,3,3,0,0,0,0,0,0,0,0.5,0.5,16,6,2,0,2,4,3,S,25,0.3333333333,0,0,0.5,0,0,0,0
31815,1,0,1,2,0,0,0,0.5,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,72,1,2,0,3,3,8,S,17,0,0,0,0,0,0,0,0
31915,2,1,1,1,1,2,1,0,1,1,0,1,3,2,1,0,0,0,0,0,0,0.5,0,18,6,2,0,4,2,98,S,6,0.1111111111,0.2222222222,0.3333333333,0,0.0618556701,0,0,0
40215,2,1,1,2,1,1,1,0,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,67,1,2,0,8,3,5,S,29,0,0,0,0,0.2577319588,0.25,0,0
31915,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0.5,41,4,2,0,4,4,1,S,39,0,0,0,0.3333333333,0.0309278351,0.125,0.2,0.25
33115,2,1,0,1,1,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.5,0,60,3,2,0,5,3,2,S,6,0,0,0,0.5,0.1237113402,0,0,0
40615,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0.5,0.5,19,6,2,0,3,4,3,S,12,0,0,0,0.3333333333,0.3092783505,0.25,0.6,0.5
31715,1,1,1,1,1,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,22,6,2,0,2,1,2,S,13,0,0,0.1111111111,0.1666666667,0,0,0,0
31815,2,1,1,1,1,2,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,50,2,2,0,8,1,7,S,39,0.5555555556,0.6666666667,0,0.1666666667,0,0,0,0
40515,2,0,1,1,1,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,34,4,1,2,2,2,2,U,55,0.6666666667,0.1111111111,0.6666666667,0.1666666667,0,0,0,0
32315,2,1,1,1,1,2,1,1,1,1,0,1,1,2,1,1,0,1,0,0,1,0.5,0,34,1,1,1,8,1,6,S,51,0,0,0.6666666667,0.3333333333,0.0309278351,0.5,0,0
40715,2,1,1,1,1,8,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0.5,24,6,2,0,3,2,98,S,6,0,0.2222222222,0,0.3333333333,0.0412371134,0,0.8,0.5
32915,2,1,1,2,1,2,1,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0.5,0.5,21,2,2,0,3,2,2,S,49,0,0,0,0,0,0,0,0
40315,2,1,0,2,1,2,0,0,1,1,0,0,1,3,0,1,1,1,0,0,0,0,0,82,5,2,0,6,8,2,R,36,0,0,0,0,0.3092783505,0.125,0,0
32215,2,1,1,1,1,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,54,6,2,0,3,4,1,U,39,0,0.3333333333,0,0.5,0,0,0,0
40515,1,1,1,1,1,2,1,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,25,6,2,0,8,1,6,U,36,0.1111111111,0,0,0.3333333333,0.0412371134,0.5,0,0
40515,1,1,1,1,1,2,0,0.5,1,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,57,1,2,0,3,1,6,R,29,0,0,0.6666666667,0.5,0,0,0,0
33115,2,1,0,1,1,2,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,57,2,2,0,4,1,99,S,45,0,0,0,1,0,0,0,0
40215,2,1,1,1,1,2,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0.5,23,6,2,0,6,2,2,S,6,0,0.2222222222,0,0.1666666667,0.0515463918,0.375,0.8,0.5
31715,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0.5,80,6,2,0,6,3,98,U,53,0,0,0,0,0.0309278351,0,0,0
40415,2,1,0,2,1,2,0,0,1,1,0,0,2,3,1,0,0,0,0,0,0,0.5,0,54,1,1,1,6,1,98,U,37,0,0,0,0.8333333333,0.206185567,0,0,0
32315,1,1,1,1,1,2,1,1,1,0,0,0,1,3,1,0,1,1,0,0,1,0,0,32,2,1,2,4,1,3,S,42,0.2222222222,0.1111111111,0.6666666667,0.1666666667,0,0.125,0,0
33115,2,1,1,2,1,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0.5,0,64,1,2,0,5,1,99,R,27,0,0,0,0,0.0309278351,0.5,0,0
32215,2,1,1,2,1,2,1,0.5,1,0,0,1,2,3,1,0,0,0,0,0,0,0.5,0,56,2,2,0,4,1,5,U,51,0.3333333333,0,0.5555555556,0,0.0412371134,0,0,0
33015,2,1,1,1,1,8,0,0.5,1,1,1,0,2,3,0,0,0,0,0,0,0,1,0,99,1,2,0,3,3,99,S,12,0,0,0,0.5,0.1237113402,0,0,0
32115,2,1,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,26,6,2,0,6,1,6,U,25,0,0.1111111111,0.1111111111,0,0.0309278351,0,0,0
40315,2,1,0,1,1,1,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,24,2,1,1,2,4,2,S,34,0,0.2222222222,0,0.1666666667,0,0,0,0
32315,1,1,1,1,1,2,1,1,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,35,6,2,0,8,1,7,U,12,0,0.1111111111,0,0.5,0.0206185567,0,0,0
32415,1,0,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,69,3,2,0,1,3,98,U,39,0,0,0,0,0,0,0,0
40315,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0.5,0,48,1,1,1,8,1,9,S,24,0,0,0.5555555556,0.5,0.206185567,0.25,0.2,0.25
33015,2,1,0,1,1,2,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,68,1,2,0,3,3,2,S,12,0,0,0,0.8333333333,0,0,0,0
40315,2,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0,1,1,1,0,0,1,0.5,65,3,2,0,3,4,1,U,39,0,0,0,0,0.0103092784,0.5,0,0
40115,2,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,86,5,2,0,3,3,3,U,48,0,0,0,0,0,0,0,0
40415,2,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,35,1,1,5,6,4,9,S,51,0,0,0.2222222222,0.1666666667,0.1237113402,0.375,0.6,0.375
40315,2,1,1,1,1,2,0,0.5,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,57,1,2,0,4,4,98,R,49,0,0,0.6666666667,0.3333333333,0.1237113402,0,0,0
32015,2,1,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,33,2,2,0,8,1,7,U,24,0.6666666667,0.6666666667,0.2222222222,0.1666666667,0.0618556701,0,0,0
40215,2,1,1,1,1,8,1,0,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0,37,4,1,1,3,2,3,S,36,0,0,0,0.1666666667,0,0.25,0,0
32415,1,1,1,1,1,5,1,1,1,1,0,1,2,3,0,0,0,0,0,0,0,1,0.5,21,1,1,1,3,1,5,S,20,0,0.2222222222,0.3333333333,0.3333333333,0.0618556701,0,0,0
40315,2,1,1,1,1,2,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,23,6,2,0,2,1,2,S,48,0.2222222222,0.3333333333,0.6666666667,0.1666666667,0.0206185567,0,0,0
41215,1,1,1,2,1,2,1,0,1,1,0,0,2,3,1,0,0,0,0,0,0,1,0.5,65,1,2,0,8,3,6,S,27,0,0,0.5555555556,0,0.0206185567,0,0,0
32315,2,0,0,2,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,28,4,1,3,2,2,2,R,37,0,0,0,0,0,0,0,0
40215,1,0,1,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,43,1,1,2,3,1,6,S,6,0,0,0,0,0,0,0,0
31715,1,1,1,1,1,5,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,44,6,1,2,5,1,4,U,29,0,0,0,0.5,0.5154639175,0.25,0.8,0.5
33015,1,1,1,1,1,2,1,0.5,1,1,0,1,2,2,0,0,0,0,0,0,0,1,0.5,16,6,2,0,2,2,1,U,6,0,0,0,0.3333333333,0.1546391753,0,0,0
41215,2,1,1,1,1,2,1,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0.5,0,50,1,1,2,8,1,7,R,20,0,0,0,0.3333333333,0.0206185567,0,0.8,0.5
31815,1,1,1,1,1,2,1,1,1,1,0,0,1,3,0,1,1,1,0,0,0,0,0.5,17,6,2,0,2,2,6,U,48,0.1111111111,0.1111111111,0,0,0.5154639175,0.25,0,0
40415,1,1,1,2,1,2,1,0.5,1,1,0,0,1,3,0,0,0,1,0,0,0,1,0,27,6,2,0,3,1,3,U,42,0,0,0,0,0.0515463918,0.5,0,0
31915,1,0,1,1,0,0,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,1,45,1,2,0,3,1,2,S,12,0,0,0,0.5,0,0,0,0
31715,1,1,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,31,1,2,0,3,4,7,R,55,0,0,0,0.1666666667,0.0309278351,0,0,0
31715,1,1,1,1,1,8,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,18,6,2,0,3,1,2,U,37,0,0.3333333333,0,0.1666666667,0.0309278351,0,0,0
33115,2,1,1,1,1,2,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,39,4,2,0,5,1,4,U,50,0.1111111111,0.1111111111,0,0.1666666667,0.0515463918,0.125,0.2,0.125
40315,1,1,1,1,1,2,1,0.5,1,1,0,1,1,1,0,1,1,1,0,0,0,0.5,0.5,64,1,2,0,7,3,99,S,34,0,0,0,0.5,0.9278350515,0.5,0.6,0.5
40515,1,1,1,1,1,2,1,0.5,1,0,0,1,2,3,1,0,0,0,0,0,0,0.5,0,68,1,2,0,8,3,8,U,33,0,0.1111111111,0,0,0.1237113402,0,0,0
40615,2,1,1,1,1,2,1,0.5,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0.5,62,1,2,0,8,3,4,S,47,0.6666666667,0.5555555556,0.6666666667,0.1666666667,0.206185567,0,0,0
32315,2,1,1,1,1,2,0,1,1,1,0,0,2,1,0,0,0,0,0,0,1,1,0.5,28,1,1,4,4,1,3,R,18,0,0,0,0.1666666667,0.0412371134,0,0.2,0.625
31915,1,1,1,1,1,2,1,0,1,1,0,0,1,3,0,0,0,1,0,0,1,0.5,0,19,6,2,0,3,7,9,U,13,0.3333333333,0.1111111111,0,0.3333333333,0.0412371134,0.125,0,0
32315,2,0,1,2,1,8,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,75,1,2,0,2,3,98,S,37,0,0,0,0,0,0,0,0
40315,2,0,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,46,1,2,0,2,4,9,S,40,0.6666666667,0.6666666667,0.6666666667,0.8333333333,0.0309278351,0,0,0
41015,1,1,1,2,1,2,1,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,0.5,49,1,2,0,3,4,98,S,13,0,0,0,0,0.0206185567,0,0,0
40415,1,1,1,2,1,2,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0.5,0.5,27,1,2,0,5,1,2,U,6,0,0,0,0.3333333333,0,0,0,0
40315,1,1,1,2,1,2,1,1,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,71,1,2,0,3,3,99,R,21,0.3333333333,0,0,0.1666666667,0.0206185567,0,0,0
31715,2,1,0,2,1,2,0,0,1,1,0,0,1,3,1,0,1,0,0,0,0,0,0,60,1,2,0,3,1,4,S,42,0,0,0.3333333333,0,0.0309278351,0.5,0,0
41115,2,1,0,2,1,2,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,73,1,2,0,6,3,8,S,34,0,0,0,0,0,0,0,0
40115,2,1,1,1,1,2,1,1,1,1,0,1,2,3,1,0,0,0,0,0,0,0.5,0,43,1,1,3,5,1,6,U,47,0.3333333333,0.1111111111,0.1111111111,0.1666666667,0.2577319588,0,0,0
32115,1,1,1,1,0,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,0.5,0,64,5,2,0,3,3,4,U,30,0,0,0.2222222222,0.3333333333,0,0.5,0,0
31815,1,1,1,1,1,2,1,0,1,0,0,0,1,3,0,1,0,1,0,0,0,0.5,0.5,30,2,1,3,5,1,3,S,6,0,0.2222222222,0.6666666667,0.1666666667,0,0.5,0,0
31715,1,1,1,1,1,2,1,1,1,1,0,1,2,3,0,0,0,0,0,0,0,1,0,68,1,2,0,6,3,7,U,32,0,0.3333333333,0,0.3333333333,0.1030927835,0,0,0
40315,1,1,0,2,1,1,1,0,1,0,1,0,1,3,0,0,1,1,0,1,0,0.5,0,20,1,1,1,3,2,1,R,48,0,0,0,0,0.0412371134,0.5,0,0
31815,2,1,1,1,1,2,1,0,1,0,0,0,3,3,1,0,0,0,0,0,0,1,0,52,1,2,0,4,3,4,U,6,0,0,0,0.5,0,0,0,0
40315,1,0,1,1,0,0,1,0.5,0,1,0,0,1,1,0,1,0,1,0,0,1,0.5,0,52,3,2,0,3,6,2,S,51,0,0,0,0.5,0.1030927835,0.5,0.8,0.5
32215,1,1,1,1,1,2,1,0.5,1,0,1,1,2,3,0,0,0,0,0,0,0,1,0,50,1,1,3,6,1,8,S,32,0,0,0,0.1666666667,0.0618556701,0,0,0
32415,2,1,1,1,1,2,1,0.5,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,47,1,1,1,8,1,8,S,39,0.5555555556,0,0.5555555556,0.1666666667,0.412371134,0.25,0.2,0.375
40415,2,1,1,1,1,2,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0.5,1,45,6,1,2,6,1,3,U,26,0.5555555556,0.5555555556,0.3333333333,0.1666666667,0,0,0,0
31715,1,0,0,2,0,0,0,0.5,0,1,0,1,2,3,1,0,0,0,0,0,0,0.5,0,78,1,2,0,3,3,3,R,29,0,0,0,0,0.4639175258,0,0,0
40315,1,0,1,1,1,2,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0.5,1,37,4,2,0,6,1,6,U,27,0,0,0,0.5,0,0.5,0,0
33115,1,1,0,2,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,55,1,2,0,2,1,2,S,24,0,0,0,0,0.0103092784,0,0,0
32315,1,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,50,1,1,1,2,3,2,U,6,0,0,0,0,0,0,0,0
40515,2,1,1,1,1,2,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0.5,0,16,6,2,0,2,4,98,S,34,0,0.3333333333,0,0.5,0.0618556701,0.5,0.8,0.5
31715,1,1,1,2,1,5,1,1,1,0,0,0,2,3,1,0,0,0,0,0,0,0.5,0.5,41,1,1,1,4,1,3,U,17,0,0,0,0,0,0,0,0
33115,1,1,1,2,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,66,1,2,0,3,3,7,R,8,0,0,0,0,0,0,0,0
41015,1,1,1,1,1,2,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.5,0,57,5,2,0,6,1,7,U,18,0,0,0,0.1666666667,0.1546391753,0,0,0
31815,2,1,1,1,1,2,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,43,6,2,0,6,1,8,U,11,0.2222222222,0,0.5555555556,0.5,0.0515463918,0.5,0.8,0.625
40215,2,1,1,1,1,1,1,0,1,1,0,1,1,3,0,1,0,1,0,0,1,0.5,0,16,6,2,0,2,4,3,U,42,0.1111111111,0.1111111111,0,0.1666666667,0.0515463918,0.375,0,0
40215,1,1,0,2,1,2,0,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,57,1,1,1,4,5,3,R,27,0,0,0,0,0.0618556701,0,0,0
33015,1,1,1,2,1,2,0,0.5,1,0,0,1,3,3,0,0,0,0,0,0,0,1,0.5,74,1,2,0,8,3,99,S,4,0,0,0,0,0.206185567,0,0,0
32915,2,1,0,2,1,2,1,0.5,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,57,1,1,1,6,1,99,U,8,0,0,0.6666666667,0,0.2577319588,0.25,0.4,0.625
33115,2,1,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0.5,24,2,2,0,4,2,3,S,42,0,0.5555555556,0.3333333333,0.5,0.0206185567,0,0,0
31815,1,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0.5,0.5,45,1,2,0,8,1,9,S,29,0.3333333333,0,0,0.5,0.0206185567,0.375,0.8,0.5
41015,2,1,0,2,1,2,0,0.5,1,1,0,0,2,1,1,0,0,0,0,0,0,0.5,0,78,3,2,0,5,3,7,U,6,0,0,0,0,0.0206185567,0,0.8,0.5
