,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
1.00,0.00,0.00,0.01,0.05,0.94,0.00
2.00,0.00,0.00,0.01,0.98,0.01,0.00
3.00,0.00,1.00,0.00,0.00,0.00,0.00
4.00,0.00,0.00,0.01,0.98,0.01,0.00
5.00,0.00,0.17,0.72,0.04,0.04,0.02
6.00,0.00,0.11,0.17,0.55,0.13,0.04
7.00,0.35,0.18,0.09,0.04,0.06,0.29
8.00,0.00,0.00,0.01,0.98,0.01,0.00
9.00,0.00,0.00,0.01,0.98,0.01,0.00
10.00,0.02,0.01,0.01,0.01,0.01,0.94
11.00,0.00,0.00,0.00,0.01,0.99,0.00
12.00,0.00,0.00,0.01,0.03,0.96,0.01
13.00,1.00,0.00,0.00,0.00,0.00,0.00
14.00,0.00,0.00,0.01,0.96,0.03,0.00
15.00,0.00,0.00,0.01,0.98,0.01,0.00
16.00,0.00,0.00,0.01,0.02,0.97,0.00
17.00,0.00,0.68,0.23,0.04,0.02,0.02
18.00,0.00,0.00,0.02,0.96,0.01,0.00
19.00,0.00,0.00,0.02,0.12,0.85,0.00
20.00,0.00,0.10,0.16,0.59,0.11,0.05
21.00,0.00,0.00,0.04,0.54,0.41,0.00
22.00,0.93,0.01,0.00,0.00,0.00,0.04
23.00,0.00,0.00,0.02,0.96,0.01,0.00
24.00,0.00,0.00,0.01,0.98,0.01,0.00
25.00,1.00,0.00,0.00,0.00,0.00,0.00
26.00,0.00,0.00,0.02,0.14,0.83,0.00
27.00,0.00,0.00,0.98,0.01,0.01,0.00
28.00,0.00,0.66,0.26,0.04,0.02,0.02
29.00,0.02,0.13,0.06,0.08,0.11,0.60
30.00,0.00,0.00,0.03,0.84,0.13,0.00
31.00,0.00,0.00,0.04,0.70,0.25,0.00
32.00,0.00,0.00,0.01,0.09,0.89,0.00
33.00,0.00,0.02,0.90,0.06,0.01,0.00
34.00,0.00,0.02,0.90,0.06,0.01,0.00
35.00,0.00,0.00,0.01,0.98,0.01,0.00
36.00,0.00,0.00,0.01,0.98,0.01,0.00
37.00,0.00,0.01,0.09,0.27,0.57,0.05
38.00,0.00,0.02,0.91,0.05,0.01,0.00
39.00,1.00,0.00,0.00,0.00,0.00,0.00
40.00,0.01,0.02,0.05,0.07,0.71,0.15
41.00,0.00,0.00,0.01,0.98,0.01,0.00
42.00,0.00,0.01,0.02,0.04,0.91,0.01
43.00,0.00,0.00,0.98,0.01,0.01,0.00
44.00,0.00,1.00,0.00,0.00,0.00,0.00
45.00,1.00,0.00,0.00,0.00,0.00,0.00
46.00,0.00,0.00,0.01,0.04,0.94,0.00
47.00,0.00,0.00,0.01,0.98,0.01,0.00
48.00,0.00,0.00,0.02,0.85,0.13,0.00
49.00,0.82,0.03,0.01,0.01,0.01,0.12
50.00,0.00,0.00,0.02,0.92,0.06,0.00
51.00,0.00,0.02,0.91,0.05,0.01,0.00
52.00,0.00,0.00,0.01,0.98,0.01,0.00
53.00,0.01,0.66,0.08,0.10,0.06,0.09
54.00,0.00,0.00,0.01,0.98,0.01,0.00
55.00,0.01,0.15,0.12,0.19,0.13,0.39
56.00,0.00,0.01,0.03,0.04,0.89,0.03
57.00,0.14,0.05,0.03,0.03,0.06,0.69
