,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
58.00,0.00,0.00,0.02,0.14,0.83,0.00
59.00,0.00,0.00,0.01,0.04,0.94,0.00
60.00,0.00,0.05,0.71,0.08,0.10,0.05
61.00,0.00,1.00,0.00,0.00,0.00,0.00
62.00,0.01,0.05,0.03,0.04,0.07,0.79
63.00,0.00,0.00,0.00,0.99,0.00,0.00
64.00,0.00,0.06,0.13,0.33,0.41,0.08
65.00,0.02,0.62,0.07,0.07,0.07,0.16
66.00,0.00,0.00,0.00,0.99,0.01,0.00
67.00,1.00,0.00,0.00,0.00,0.00,0.00
68.00,0.00,0.98,0.01,0.00,0.00,0.01
69.00,0.00,0.00,0.01,0.02,0.98,0.00
70.00,0.00,0.16,0.73,0.05,0.04,0.02
71.00,0.00,0.02,0.82,0.06,0.09,0.01
72.00,0.01,0.08,0.15,0.29,0.35,0.12
73.00,0.00,0.00,0.08,0.66,0.26,0.00
74.00,0.02,0.17,0.11,0.15,0.16,0.40
75.00,0.00,0.00,0.04,0.61,0.35,0.00
76.00,1.00,0.00,0.00,0.00,0.00,0.00
77.00,0.00,0.00,0.02,0.15,0.82,0.00
78.00,0.01,0.16,0.17,0.40,0.18,0.07
79.00,0.94,0.01,0.00,0.00,0.00,0.04
80.00,1.00,0.00,0.00,0.00,0.00,0.00
81.00,0.00,0.00,0.05,0.72,0.22,0.00
82.00,0.00,0.06,0.14,0.38,0.36,0.06
83.00,0.00,0.02,0.05,0.06,0.80,0.06
84.00,0.00,0.00,0.03,0.92,0.04,0.00
85.00,0.00,0.00,0.00,0.02,0.97,0.00
86.00,0.01,0.02,0.04,0.06,0.75,0.12
87.00,0.00,0.02,0.92,0.04,0.02,0.00
88.00,1.00,0.00,0.00,0.00,0.00,0.00
89.00,0.28,0.03,0.01,0.01,0.02,0.64
90.00,0.00,0.01,0.07,0.14,0.69,0.08
91.00,0.00,0.00,0.01,0.98,0.01,0.00
92.00,0.00,0.01,0.09,0.27,0.57,0.05
93.00,0.00,0.00,0.08,0.58,0.33,0.00
94.00,0.00,0.00,0.98,0.01,0.00,0.00
95.00,0.02,0.03,0.06,0.06,0.17,0.67
96.00,0.00,0.00,0.06,0.83,0.11,0.00
97.00,0.00,0.01,0.06,0.55,0.36,0.02
98.00,0.00,0.00,0.01,0.98,0.01,0.00
99.00,0.00,0.00,0.01,0.98,0.01,0.00
100.00,0.00,0.00,0.01,0.97,0.01,0.00
101.00,0.00,0.02,0.05,0.07,0.79,0.06
102.00,0.00,0.04,0.23,0.44,0.25,0.03
103.00,0.00,0.00,0.01,0.95,0.04,0.00
104.00,0.31,0.11,0.06,0.03,0.05,0.45
105.00,0.08,0.08,0.09,0.09,0.31,0.35
106.00,0.01,0.13,0.63,0.11,0.06,0.06
107.00,0.00,0.02,0.82,0.13,0.02,0.00
108.00,0.00,0.01,0.87,0.05,0.07,0.01
109.00,0.00,1.00,0.00,0.00,0.00,0.00
110.00,0.00,1.00,0.00,0.00,0.00,0.00
111.00,0.00,0.00,0.01,0.08,0.90,0.00
112.00,0.02,0.12,0.06,0.07,0.08,0.66
113.00,0.00,0.00,0.03,0.79,0.17,0.01
114.00,0.00,0.00,0.03,0.28,0.69,0.00
115.00,0.00,0.70,0.22,0.04,0.02,0.02
116.00,0.00,0.00,0.01,0.98,0.01,0.00
117.00,0.02,0.01,0.01,0.01,0.03,0.91
118.00,0.00,0.00,0.01,0.98,0.01,0.00
119.00,0.00,0.00,0.01,0.06,0.92,0.00
120.00,0.00,0.02,0.04,0.10,0.80,0.04
121.00,1.00,0.00,0.00,0.00,0.00,0.00
122.00,0.00,0.03,0.10,0.53,0.25,0.08
123.00,0.32,0.26,0.06,0.03,0.03,0.31
124.00,1.00,0.00,0.00,0.00,0.00,0.00
125.00,0.00,0.00,0.01,0.95,0.03,0.00
126.00,0.00,0.00,0.97,0.01,0.01,0.00
127.00,0.00,0.05,0.71,0.08,0.10,0.05
128.00,0.00,0.00,0.01,0.98,0.01,0.00
129.00,0.00,0.01,0.03,0.70,0.26,0.01
130.00,0.00,0.00,0.00,0.99,0.01,0.00
131.00,0.00,1.00,0.00,0.00,0.00,0.00
132.00,0.00,0.25,0.65,0.05,0.03,0.02
133.00,0.01,0.38,0.46,0.06,0.06,0.03
134.00,0.00,0.00,0.00,0.01,0.98,0.00
135.00,0.00,0.00,0.02,0.13,0.84,0.00
136.00,0.00,0.98,0.01,0.00,0.00,0.00
137.00,0.00,0.05,0.16,0.40,0.35,0.03
138.00,1.00,0.00,0.00,0.00,0.00,0.00
139.00,0.02,0.01,0.01,0.01,0.02,0.93
140.00,0.00,0.00,0.01,0.02,0.98,0.00
141.00,0.01,0.05,0.09,0.21,0.33,0.31
142.00,0.01,0.04,0.09,0.27,0.39,0.20
143.00,0.00,0.00,0.01,0.98,0.01,0.00
144.00,0.00,0.01,0.07,0.29,0.57,0.06
145.00,0.00,0.00,0.01,0.98,0.01,0.00
146.00,0.00,0.00,0.98,0.01,0.01,0.00
147.00,0.01,0.39,0.32,0.08,0.12,0.07
148.00,0.94,0.01,0.00,0.00,0.00,0.04
149.00,0.00,0.01,0.05,0.21,0.67,0.05
150.00,0.00,0.00,0.02,0.08,0.90,0.00
151.00,0.00,0.00,0.98,0.01,0.00,0.00
152.00,0.00,0.00,0.04,0.47,0.48,0.00
153.00,0.01,0.04,0.05,0.05,0.18,0.66
154.00,0.00,0.00,0.98,0.01,0.00,0.00
155.00,1.00,0.00,0.00,0.00,0.00,0.00
156.00,0.00,0.00,0.02,0.96,0.01,0.00
157.00,0.00,0.00,0.98,0.01,0.00,0.00
158.00,0.05,0.82,0.03,0.01,0.01,0.07
159.00,0.00,0.00,0.06,0.83,0.11,0.00
160.00,1.00,0.00,0.00,0.00,0.00,0.00
161.00,0.00,0.00,0.98,0.01,0.01,0.00
162.00,0.00,0.00,0.01,0.97,0.02,0.00
163.00,0.00,0.00,0.01,0.98,0.02,0.00
164.00,1.00,0.00,0.00,0.00,0.00,0.00
165.00,0.00,0.00,0.97,0.01,0.01,0.00
166.00,0.00,1.00,0.00,0.00,0.00,0.00
167.00,0.01,0.11,0.67,0.07,0.07,0.07
168.00,0.00,0.00,0.01,0.96,0.03,0.00
169.00,0.00,0.00,0.03,0.82,0.14,0.01
170.00,0.01,0.02,0.04,0.05,0.13,0.75
171.00,0.00,0.12,0.20,0.55,0.10,0.03
172.00,0.00,0.25,0.65,0.05,0.03,0.02
173.00,0.20,0.03,0.01,0.01,0.02,0.72
174.00,0.00,0.85,0.05,0.04,0.02,0.03
175.00,0.29,0.19,0.05,0.02,0.03,0.43
176.00,0.00,0.01,0.05,0.07,0.74,0.12
177.00,0.00,0.00,0.01,0.97,0.02,0.00
178.00,0.00,0.03,0.08,0.31,0.51,0.06
179.00,0.00,1.00,0.00,0.00,0.00,0.00
180.00,1.00,0.00,0.00,0.00,0.00,0.00
181.00,0.00,0.99,0.00,0.00,0.00,0.00
182.00,0.00,0.03,0.71,0.08,0.16,0.02
183.00,0.00,0.00,0.01,0.97,0.02,0.00
184.00,0.00,0.00,0.01,0.98,0.01,0.00
185.00,0.00,0.02,0.04,0.06,0.75,0.13
186.00,0.00,0.02,0.04,0.06,0.83,0.05
187.00,0.00,0.00,0.98,0.01,0.00,0.00
188.00,0.00,0.00,0.01,0.94,0.04,0.00
189.00,0.00,0.00,0.98,0.01,0.01,0.00
190.00,1.00,0.00,0.00,0.00,0.00,0.00
191.00,0.00,0.01,0.04,0.24,0.68,0.02
192.00,0.00,0.00,0.03,0.22,0.74,0.00
193.00,1.00,0.00,0.00,0.00,0.00,0.00
194.00,0.00,0.01,0.06,0.12,0.72,0.09
195.00,0.00,0.00,0.98,0.01,0.01,0.00
196.00,1.00,0.00,0.00,0.00,0.00,0.00
197.00,0.00,1.00,0.00,0.00,0.00,0.00
198.00,0.01,0.15,0.10,0.14,0.11,0.48
