,Unnamed: 0,injectDate,street,city,endNode,neighborhood_destination,neighborhood_initial,duration,distance
590,33694,04/23/2017 07:30:00 PM,Hancock St,"Boston, MA",Dorchester Ave,South Boston,Charlestown,1118,7273
538,22141,04/21/2017 04:50:00 AM,Adams St,"Boston, MA",Dix St,Dorchester,Stony Brook / Cleary Square,1032,12194
529,5841,04/24/2017 11:50:00 PM,W 2nd St,"Boston, MA",D St,South Boston,South Boston,102,441
409,7773,04/25/2017 12:20:00 PM,Wood Ave,"Boston, MA",Cummins Hwy,,Hyde Park,123,972
169,964,04/24/2017 03:20:00 AM,Washington St,"Boston, MA",Corinth St,Roslindale,South End,1638,16353
339,3208,04/24/2017 03:20:00 PM,A St,"Boston, MA",Congress St,,D Street / West Broadway,204,849
511,18529,04/20/2017 01:50:00 PM,A St,"Boston, MA",Congress St,,D Street / West Broadway,204,849
381,31564,04/23/2017 02:50:00 AM,Brooks St,"Boston, MA",Condor St,Eagle Hill,Oak Square,107,568
422,13631,04/19/2017 01:30:00 PM,Allston St,"Boston, MA",Commonwealth Ave,,Brighton,1653,18453
87,23731,04/21/2017 02:20:00 PM,Seaver St,"Boston, MA",Columbus Ave,,Roxbury,883,5256
463,744,04/24/2017 02:10:00 AM,Hancock St,"Boston, MA",Columbia Rd,,Charlestown,990,6481
448,25758,04/21/2017 11:00:00 PM,Chiswick Rd,"Boston, MA",Chestnut Hill Ave,Brighton,Brighton,60,246
577,22748,04/21/2017 12:00:00 PM,Washington St,"Boston, MA",Chestnut Hill Ave,Brighton,South End,1968,29063
195,9904,04/25/2017 07:40:00 PM,Blue Hill Ave,"Boston, MA",Charlotte St,Roxbury,Roxbury,167,835
104,21028,04/21/2017 12:00:00 AM,South St,"Boston, MA",Centre St,Jamaica Plain,Downtown,1416,13950
249,18837,04/20/2017 03:40:00 PM,Green St,"Boston, MA",Centre St,Jamaica Plain,Charlestown,414,3405
252,1787,04/24/2017 12:00:00 PM,Chestnut Ave,"Boston, MA",Centre St,Jamaica Plain,Jamaica Plain,623,4902
421,29668,04/22/2017 07:20:00 PM,Green St,"Boston, MA",Centre St,Jamaica Plain,Charlestown,457,2922
479,3707,04/24/2017 04:40:00 PM,South St,"Boston, MA",Centre St,Jamaica Plain,Downtown,1416,13950
588,9353,04/25/2017 05:30:00 PM,Green St,"Boston, MA",Centre St,Jamaica Plain,Charlestown,457,2922
549,16329,04/20/2017 12:10:00 AM,Dorchester Ave,"Boston, MA",Centre Ave,Dorchester,South Boston,399,1962
19,3351,04/24/2017 03:50:00 PM,to Cambridge / Somerville,"Boston, MA",Cambridge St,Allston,Assembly Square,620,6094
220,6342,04/25/2017 01:00:00 AM,Harvard Ave,"Boston, MA",Cambridge St,Allston,Allston,802,7436
544,29605,04/22/2017 06:50:00 PM,to Cambridge / Somerville,"Boston, MA",Cambridge St,Allston,Assembly Square,620,6094
628,22458,04/21/2017 07:50:00 AM,Harvard Ave,"Boston, MA",Cambridge St,Allston,Allston,802,7436
358,27270,04/22/2017 04:20:00 AM,Ashmont St,"Boston, MA",Burgoyne St,Dorchester,Dorchester,131,700
273,2559,04/24/2017 01:40:00 PM,Park Dr,"Boston, MA",Brookline Ave,,Fenway/Kenmore,117,490
343,32960,04/23/2017 03:40:00 PM,Blue Hill Ave,"Boston, MA",Brookford St,Roxbury,Roxbury,506,2710
542,26850,04/22/2017 03:20:00 AM,Linden St,"Boston, MA",Brighton Ave,,Dorchester,154,340
366,24821,04/21/2017 07:00:00 PM,Gloucester St,"Boston, MA",Boylston St,,Back Bay,139,322
403,30952,04/23/2017 01:10:00 AM,Hemenway St,"Boston, MA",Boylston St,,Fenway/Kenmore,325,985
191,3964,04/24/2017 05:40:00 PM,Adams St,"Boston, MA",Bowdoin St,,Stony Brook / Cleary Square,502,2017
164,21011,04/21/2017 12:00:00 AM,Warren St,"Boston, MA",Blue Hill Ave,Roxbury,Roxbury,563,3443
224,210,04/24/2017 12:30:00 AM,Warren St,"Boston, MA",Blue Hill Ave,Roxbury,Roxbury,563,3443
480,23072,04/21/2017 12:30:00 PM,Warren St,"Boston, MA",Blue Hill Ave,Roxbury,Roxbury,563,3443
263,23824,04/21/2017 02:50:00 PM,Charles St,"Boston, MA",Beacon St,,Dorchester,1476,8634
585,14366,04/19/2017 04:30:00 PM,Charles St,"Boston, MA",Beacon St,,Dorchester,1476,8634
80,6512,04/25/2017 01:40:00 AM,Adams St,"Boston, MA",Ashmont St,Dorchester,Stony Brook / Cleary Square,1075,15758
116,854,04/24/2017 02:40:00 AM,Washington St,"Boston, MA",Ashmont St,Dorchester,South End,1531,28112
272,1132,04/24/2017 04:00:00 AM,Washington St,"Boston, MA",Ashmont St,Dorchester,South End,1531,28112
553,4932,04/24/2017 08:50:00 PM,Adams St,"Boston, MA",Ashmont St,Dorchester,Stony Brook / Cleary Square,1075,15758
346,23933,04/21/2017 03:10:00 PM,Park Plz,"Boston, MA",Arlington St,Hyde Park,Downtown,210,737
397,29673,04/22/2017 07:20:00 PM,Randolph St,"Boston, MA",Albany St,,South End,89,372
505,20192,04/20/2017 09:10:00 PM,Herald St,"Boston, MA",Albany St,,South End,142,785
1,18431,04/20/2017 01:10:00 PM,Bowdoin St,"Boston, MA",Adams St,Stony Brook / Cleary Square,Beacon Hill,675,3054
157,28253,04/22/2017 01:50:00 PM,Dorchester Ave,"Boston, MA",Adams St,Stony Brook / Cleary Square,South Boston,1199,10033
282,28846,04/22/2017 04:20:00 PM,Dorchester Ave,"Boston, MA",Adams St,Stony Brook / Cleary Square,South Boston,1199,10033
394,21976,04/21/2017 04:00:00 AM,Dorchester Ave,"Boston, MA",Adams St,Stony Brook / Cleary Square,South Boston,1199,10033
445,21630,04/21/2017 02:40:00 AM,Dorchester Ave,"Boston, MA",Adams St,Stony Brook / Cleary Square,South Boston,1199,10033
485,27154,04/22/2017 04:00:00 AM,Dorchester Ave,"Boston, MA",Adams St,Stony Brook / Cleary Square,South Boston,1199,10033
