,region_residencia,residencia_hace_dos_anos,V1,V2,V3
0,1,4,0.837802562369,0.104230780129,0.0579666575016
1,1,2,0.403982539539,0.203705669183,0.392311791278
2,2,1,0.837802562369,0.104230780129,0.0579666575016
3,4,1,0.290052309785,0.536905229561,0.173042460654
4,1,4,0.290052309785,0.53690522956,0.173042460655
5,4,1,0.0734328163649,0.0662998033864,0.860267380249
6,6,1,0.419251837024,0.430526346896,0.15022181608
7,2,3,0.22719591839,0.29184685183,0.48095722978
8,3,1,0.408736414554,0.408772425468,0.182491159978
9,3,4,0.162388400544,0.175700433714,0.661911165743
10,1,3,0.0734328163649,0.0662998033864,0.860267380249
11,1,5,0.444282107266,0.193752618405,0.361965274329
12,6,3,0.103732698503,0.109577420055,0.786689881442
13,1,4,0.837802562369,0.104230780129,0.0579666575016
14,6,1,0.476989054538,0.260268246646,0.262742698816
15,4,3,0.444282107266,0.193752618405,0.361965274329
16,1,3,0.273449559512,0.510062719894,0.216487720594
17,4,1,0.246619770206,0.599118642929,0.154261586865
18,2,6,0.327530526385,0.517322765955,0.15514670766
19,1,2,0.249031863578,0.404179939611,0.346788196811
20,1,3,0.509343621334,0.242801034498,0.247855344169
21,1,3,0.254038102525,0.261878492421,0.484083405054
22,1,2,0.246619770206,0.599118642929,0.154261586865
23,5,1,0.283866484663,0.518837900812,0.197295614526
24,1,3,0.255028708673,0.280957351401,0.464013939926
25,2,3,0.135527795612,0.146148025135,0.718324179253
26,6,1,0.111042670047,0.0911927914074,0.797764538546
27,1,5,0.390089422638,0.420019974944,0.189890602418
28,2,1,0.373552165259,0.445110504181,0.18133733056
29,1,6,0.162388400544,0.175700433714,0.661911165743
30,2,1,0.445242027592,0.284521956909,0.270236015499
31,1,2,0.444282107266,0.193752618405,0.361965274329
32,4,1,0.837802562369,0.104230780129,0.0579666575016
33,5,1,0.837802562369,0.104230780129,0.0579666575016
34,3,1,0.254644009385,0.560349860449,0.185006130167
35,5,1,0.75319385491,0.162050407636,0.0847557374538
36,1,5,0.293084926262,0.251514466247,0.45540060749
37,2,1,0.837802562369,0.104230780129,0.0579666575016
38,1,6,0.206763489607,0.635782638437,0.157453871956
39,6,1,0.837802562369,0.104230780129,0.0579666575016
40,1,2,0.373552165259,0.445110504181,0.18133733056
41,6,1,0.190566349024,0.675652935906,0.13378071507
42,2,3,0.254644009385,0.560349860449,0.185006130167
43,4,1,0.648626340924,0.238925899307,0.112447759769
44,3,5,0.357236265416,0.239899106966,0.402864627618
45,6,1,0.0782364150397,0.0785009515273,0.843262633433
46,1,5,0.278365600863,0.363080548885,0.358553850252
47,1,5,0.111042670047,0.0911927914074,0.797764538546
48,4,1,0.508449947111,0.324667255161,0.166882797727
49,1,3,0.403982539539,0.203705669183,0.392311791278
50,1,6,0.290052309785,0.53690522956,0.173042460655
51,6,1,0.0734328163649,0.0662998033864,0.860267380249
52,6,3,0.254038102525,0.261878492421,0.484083405054
53,1,2,0.837802562369,0.104230780129,0.0579666575016
54,6,2,0.111042670047,0.0911927914074,0.797764538546
55,1,5,0.564884152249,0.294356883214,0.140758964538
56,5,1,0.291732000351,0.494138556297,0.214129443352
57,1,5,0.290052309785,0.53690522956,0.173042460655
58,4,1,0.444282107266,0.193752618405,0.36196527433
59,3,1,0.444282107266,0.193752618405,0.36196527433
60,4,2,0.250712695739,0.559437537057,0.189849767204
61,3,1,0.0734328163649,0.0662998033864,0.860267380249
62,5,1,0.444282107266,0.193752618405,0.36196527433
63,2,1,0.103732698503,0.109577420055,0.786689881442
64,2,1,0.373552165259,0.445110504181,0.18133733056
65,1,2,0.357236265416,0.239899106966,0.402864627618
66,3,1,0.287358920412,0.244229053555,0.468412026033
67,6,1,0.0782364150397,0.0785009515273,0.843262633433
68,1,5,0.111042670047,0.0911927914074,0.797764538546
69,4,1,0.327530526384,0.517322765956,0.15514670766
70,1,5,0.291298655472,0.506746012628,0.2019553319
71,1,6,0.837802562369,0.104230780129,0.0579666575016
72,1,4,0.162388400544,0.175700433714,0.661911165743
73,1,5,0.327530526384,0.517322765956,0.15514670766
