,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual,ingreso_total_hogar_neto,nivel_pobreza
2276,1,1,47,1,1,3,3,1234055.33333333,3
7789,3,1,51,1,3,3,1,837148,3
4989,1,1,40,1,1,4,2,706407,3
872,1,1,65,1,1,4,3,2210000,3
4300,1,1,30,1,1,1,1,823611,3
3119,1,1,27,6,1,3,1,4200690.86666667,3
5891,1,1,46,1,1,4,1,3658298.84123702,3
1851,1,1,42,1,1,4,1,2878011.05591973,3
5252,1,1,58,1,1,4,1,1059610.5,3
4409,1,1,36,1,1,3,1,1845571.86666667,3
2179,1,1,18,1,1,0,3,962500,3
8295,4,1,35,4,4,6,1,1070123.81333333,3
2107,1,1,44,4,1,1,1,487000,2
5836,1,1,60,1,1,6,3,2742506,3
8281,4,1,34,4,4,0,1,1732339.50716667,3
4871,1,1,81,1,1,3,3,765000,3
2586,1,1,61,3,1,4,3,917111,3
2253,1,1,51,5,1,4,3,0,1
2798,1,1,28,1,1,0,1,1118960.26666667,3
4461,1,1,28,1,1,3,1,2011779.81333333,3
383,1,1,39,3,1,4,1,2259365.33333333,3
5227,1,1,61,9,1,4,1,1973904.68431726,3
8048,3,2,47,1,3,3,3,955285.5,3
5207,1,1,37,1,1,0,1,3947286.66202803,3
6863,2,1,37,1,2,0,1,517968.970666667,3
2988,1,1,27,1,1,3,1,2487910.63906667,3
316,1,1,95,1,1,2,3,1293456.66666667,3
8150,4,1,65,1,4,4,1,5094189.53333333,3
944,1,1,48,1,1,3,1,978836.333333333,3
9044,5,1,65,5,5,6,1,1551333.33333333,3
7944,3,2,47,2,3,3,1,1322500,3
7791,3,1,60,2,3,1,1,2912000,3
6711,2,1,19,1,2,0,3,7776314,3
4355,1,1,28,1,1,0,1,757693.733333333,3
5888,1,1,19,1,1,0,3,6318221,3
3441,1,1,30,1,1,3,1,2270558.35026667,3
2923,1,1,60,1,1,3,3,1865517.04322917,3
1806,1,1,40,1,1,1,1,839674.333333333,3
8941,4,2,31,4,4,4,1,3318375.66666667,3
7473,3,1,52,1,3,3,1,1912629.33333333,3
8207,4,1,35,1,4,6,1,2173587,3
7624,3,1,82,1,3,0,3,455000,3
8211,4,1,42,4,4,4,1,2354338.8,3
3612,1,1,23,5,1,0,3,1335274.63333333,3
378,1,1,69,1,1,3,3,1109333.33333333,3
7697,3,1,47,4,3,1,1,974966.833333333,3
1328,1,1,24,1,1,3,1,1655290,3
1838,1,1,29,1,1,0,1,1657224.4,3
3913,1,1,53,1,1,3,1,4720061.66666667,3
1552,1,1,47,1,1,4,1,3958890,3
488,1,1,21,3,1,0,1,974411.533333333,3
5691,1,1,45,3,1,4,1,1470044.33333333,3
3328,1,1,36,1,1,3,1,1781768.94220864,3
1759,1,1,28,1,1,4,1,2035020,3
5833,1,1,21,1,1,0,3,2263408.33333333,3
5255,1,1,74,1,1,4,3,541666.666666667,3
5922,1,1,62,1,1,3,1,2228373.33333333,3
2062,1,1,37,1,1,4,1,1514500,3
5884,1,1,21,4,1,0,1,237858,3
9126,5,1,21,1,5,0,1,1106003.6,3
2543,1,1,50,1,1,4,1,1773699.77061333,3
2655,1,1,28,1,1,0,1,1116451.7,3
1478,1,1,27,5,1,4,1,1343333.33333333,3
364,1,1,55,1,1,6,1,1757359.69864,3
2730,1,1,33,1,1,4,1,10170105.8666667,3
6621,1,2,21,1,1,0,3,2546704.33333333,3
412,1,1,49,2,1,1,1,1918017.66666667,3
3895,1,1,34,3,1,3,1,447000,3
4038,1,1,68,1,1,3,3,889533.333333333,3
2347,1,1,78,1,1,3,3,3475086.33333333,3
7592,3,1,33,3,3,3,1,4242445.93608904,3
8480,4,1,32,1,4,4,1,1369723.33333333,3
3500,1,1,48,1,1,3,1,1623630.66666667,3
4658,1,1,58,1,1,4,1,1472414.66666667,3
2312,1,1,39,1,1,3,1,1333125.73333333,3
2319,1,1,56,2,1,3,1,1586113.23976007,3
4338,1,1,35,1,1,0,1,2788612.91913043,3
6743,2,1,27,1,2,6,1,1690000,3
9761,5,2,56,2,5,2,1,335298.8,3
6449,1,2,29,1,1,4,1,2810611.96,3
2625,1,1,76,3,3,4,3,2652840.66666667,3
8315,4,1,31,1,4,3,1,1706935.8,3
2458,1,1,48,1,1,4,1,3844945,3
4151,1,1,55,1,1,4,1,2436945.33333333,3
2731,1,1,37,1,1,4,3,10170105.8666667,3
2244,1,1,51,3,1,0,1,2587177.66666667,3
3047,1,1,16,1,1,0,3,291442.833333333,2
6469,1,2,27,4,1,1,1,739031.466666667,3
4600,1,1,29,1,1,0,1,1115582,3
4297,1,1,38,1,1,2,1,630645.6,3
4741,1,1,40,1,1,0,1,839583.333333333,3
6419,1,2,26,6,1,0,1,1221913.33333333,3
5647,1,1,38,5,1,4,1,3968315,3
5621,1,1,52,1,1,3,3,961648.133333333,3
1237,1,1,28,1,1,3,1,435179.6,3
1388,1,1,25,5,1,0,1,2204562.53333333,3
2747,1,1,19,1,1,0,3,2988196.5,3
244,1,1,44,1,1,3,1,1763887.66666667,3
2937,1,1,38,1,1,5,1,1300000,3
2696,1,1,20,1,9,0,3,446034,3
4918,1,1,43,1,1,6,1,7650794.39979706,3
8608,4,2,42,4,4,4,1,1148333.33333333,3
10377,6,2,57,1,6,6,1,1826920.33333333,3
3598,1,1,57,1,1,2,1,3625140,3
4308,1,1,18,1,1,0,3,143333.333333333,1
5772,1,1,42,6,1,3,1,4078654.42894558,3
5941,1,2,16,1,1,0,3,1993820.83333333,3
5265,1,1,36,1,1,6,1,3358463.33333333,3
94,1,1,35,5,1,3,1,1389292.61984035,3
1248,1,1,39,4,1,0,1,726500,3
2665,1,1,50,1,1,4,1,1169507.33333333,3
2851,1,1,23,1,1,0,1,1836445,3
3101,1,1,31,1,1,4,1,2339451.2,3
4387,1,1,38,1,1,3,1,3051009,3
4190,1,1,37,2,1,3,1,1555846.24,3
3985,1,1,26,2,6,4,1,1498159.43333333,3
1541,1,1,38,1,1,2,1,1459865.33333333,3
1030,1,1,41,1,1,4,1,1979445,3
3422,1,1,34,1,1,0,1,2278527.33333333,3
2419,1,1,60,6,1,2,3,743166.666666667,3
365,1,1,72,1,1,4,1,4891768.64228,3
9291,5,1,50,5,5,3,1,3955257.5,3
5161,1,1,35,2,1,3,1,4782214.66666667,3
5667,1,1,57,3,1,0,1,2355774,3
2539,1,1,72,1,1,4,3,1408333.33333333,3
5355,1,1,52,1,1,3,1,2075198.66666667,3
9216,5,1,58,3,5,1,1,1629057.73333333,3
1163,1,1,40,2,1,0,1,896666.666666667,3
2947,1,1,18,5,5,0,3,600000,3
2594,1,1,29,1,1,6,1,4254761.33333333,3
9176,5,1,50,4,5,4,3,1857231.54068817,3
5504,1,1,23,1,1,0,1,4231500,3
4908,1,1,43,1,1,4,1,2059674.24,3
2167,1,1,46,5,1,6,1,855618.4,3
3020,1,1,55,1,1,6,1,3431466.54068817,3
2587,1,1,60,5,5,6,3,3637809.2,3
2672,1,1,39,1,1,6,1,1597704.33333333,3
6024,1,2,55,1,1,4,1,4463333.33333333,3
3658,1,1,22,1,1,3,1,747395.6,3
3007,1,1,48,1,1,4,1,5146230.87333333,3
7652,3,1,43,3,3,3,1,4229155.66666667,3
3791,1,1,36,2,1,4,1,4017500,3
382,1,1,63,3,1,3,3,2259365.33333333,3
3103,1,1,32,1,1,2,1,1988590.4547619,3
225,1,1,24,1,1,3,1,3053987.3,3
5894,1,1,60,1,1,6,1,680000,3
8628,4,2,47,1,4,0,1,258000,3
9179,5,1,26,5,5,2,1,936000,3
4382,1,1,57,1,1,2,1,1757964,3
9852,5,2,20,4,5,0,1,663425,3
2523,1,1,24,1,1,3,1,6951040.66666667,3
208,1,1,48,6,1,4,1,4560729.33333333,3
2683,1,1,36,1,1,4,1,4455113.24367201,3
6604,1,2,38,1,1,4,1,1471645.83333333,3
5859,1,1,40,1,1,4,1,2010121.53333333,3
1839,1,1,24,1,1,3,1,1657224.4,3
618,1,1,28,1,1,6,1,2751434.4,3
5264,1,1,47,9,1,4,1,3032193.66666667,3
4388,1,1,29,9,1,0,3,3051009,3
3602,1,1,57,3,1,1,1,1486732,3
5631,1,1,54,1,1,3,1,1223366.66666667,3
4885,1,1,36,1,1,6,1,2392696.8,3
5057,1,1,59,1,1,1,1,479700,3
7648,3,1,45,1,1,6,1,2956078.5,3
5796,1,1,28,4,1,3,1,2818599.33333333,3
51,1,1,25,1,1,4,1,4359580.33333333,3
2467,1,1,59,1,1,4,1,1586871,3
5542,1,1,25,1,1,2,2,2836945.1448,3
8157,4,1,26,1,4,3,1,2686259.85862,3
8466,4,1,37,4,4,6,1,1565962.66666667,3
9914,5,2,30,4,5,2,3,875130.633333333,3
2570,1,1,51,1,1,0,3,1421333.33333333,3
4684,1,1,50,1,1,6,1,1619748,3
5002,1,1,41,1,1,4,2,0,1
4465,1,1,35,1,1,6,1,9816269.66666667,3
5541,1,1,53,1,7,6,1,2836945.1448,3
