,injectDate,street,city,delay,endNode,neighborhood_destination,neighborhood_initial
31582,04/23/2017 02:50:00 AM,Boylston St,"Boston, MA",60,Dalton St,Back Bay,
693,04/24/2017 02:00:00 AM,Meridian St,"Boston, MA",95,Maverick St,East Boston,
9119,04/25/2017 04:20:00 PM,Bowdoin St,"Boston, MA",109,Cambridge St,,
11609,04/19/2017 01:10:00 AM,Blue Hill Ave,"Boston, MA",81,Quincy St,,
17491,04/20/2017 11:40:00 AM,Dorchester Ave,"Boston, MA",87,Semont Rd,Dorchester,
30262,04/22/2017 10:30:00 PM,Columbia Rd,"Boston, MA",159,Bird St,,
14786,04/19/2017 06:20:00 PM,Huntington Ave,"Boston, MA",66,Gainsborough St,Fenway/Kenmore,
12794,04/19/2017 11:40:00 AM,Meridian St,"Boston, MA",83,Maverick St,East Boston,
6402,04/25/2017 01:30:00 AM,Woodrow Ave,"Boston, MA",70,Blue Hill Ave,,
27118,04/22/2017 04:00:00 AM,Washington St,"Boston, MA",71,Cambridge St,,
11994,04/19/2017 02:50:00 AM,Blue Hill Ave,"Boston, MA",100,Dudley St,,
17258,04/20/2017 06:00:00 AM,Chestnut Hill Ave,"Boston, MA",79,Washington St,,Brighton
24856,04/21/2017 07:00:00 PM,Massachusetts Ave,"Boston, MA",269,Melnea Cass Blvd,,
5056,04/24/2017 09:10:00 PM,Columbus Ave,"Boston, MA",275,Seaver St,Roxbury,
29849,04/22/2017 08:10:00 PM,Hanover St,"Boston, MA",187,Congress St,,
6880,04/25/2017 03:10:00 AM,Talbot Ave,"Boston, MA",104,Brent St,Dorchester,
22081,04/21/2017 04:30:00 AM,American Legion Hwy,"Boston, MA",78,Walk Hill St,,
23782,04/21/2017 02:30:00 PM,Blue Hill Ave,"Boston, MA",115,Seaver St,Roxbury,
16735,04/20/2017 02:40:00 AM,South Boston Bypass Rd,"Boston, MA",72,Haul Rd,South Boston,
7569,04/25/2017 11:50:00 AM,W Dedham St,"Boston, MA",108,Washington St,,South End
6532,04/25/2017 01:50:00 AM,Dudley St,"Boston, MA",67,Columbia Rd,,
32534,04/23/2017 08:20:00 AM,Harrison Ave,"Boston, MA",68,Waltham St,South End,
28916,04/22/2017 04:30:00 PM,Cummins Hwy,"Boston, MA",66,Harvard St,,
168,04/24/2017 03:10:00 AM,Columbus Ave,"Boston, MA",126,Melnea Cass Blvd,,
3526,04/24/2017 04:20:00 PM,W Broadway,"Boston, MA",74,Dorchester St,South Boston,
32215,04/23/2017 06:40:00 AM,Lansdowne St,"Boston, MA",94,Ipswich St,Fenway/Kenmore,Fenway/Kenmore
22738,04/21/2017 12:00:00 PM,Arborway,"Boston, MA",-1,to South St,Downtown,
11779,04/19/2017 02:00:00 AM,Washington St,"Boston, MA",83,Harvard St,,
27398,04/22/2017 04:40:00 AM,Kneeland St,"Boston, MA",61,Atlantic Ave,,
10483,04/25/2017 09:50:00 PM,Malcolm 'X' Blvd,"Boston, MA",80,Tremont St,,Roxbury
2822,04/24/2017 02:20:00 PM,to I-93 N Boston / Cambridge,"Boston, MA",131,I-93 N,,
5986,04/25/2017 12:10:00 AM,Lincoln St,"Boston, MA",61,Leo M Birmingham Pkwy,,Stony Brook / Cleary Square
7494,04/25/2017 11:40:00 AM,Brighton Ave,"Boston, MA",97,Cambridge St,,
33946,04/23/2017 11:30:00 PM,Washington St,"Boston, MA",81,Gallivan Blvd,,
6512,04/25/2017 01:40:00 AM,Adams St,"Boston, MA",68,Ashmont St,Dorchester,Stony Brook / Cleary Square
21805,04/21/2017 03:20:00 AM,Talbot Ave,"Boston, MA",63,Norfolk St,,
12182,04/19/2017 03:40:00 AM,Washington St,"Boston, MA",61,Tremont St,,
32255,04/23/2017 06:20:00 AM,Talbot Ave,"Boston, MA",183,Norfolk St,,
17262,04/20/2017 06:10:00 AM,Arborway,"Boston, MA",-1,to South St,Downtown,
14610,04/19/2017 05:40:00 PM,Magazine St,"Boston, MA",112,Massachusetts Ave,,
24544,04/21/2017 05:50:00 PM,Congress St,"Boston, MA",74,Sudbury St,Downtown,
23731,04/21/2017 02:20:00 PM,Seaver St,"Boston, MA",178,Columbus Ave,,Roxbury
12680,04/19/2017 09:40:00 AM,William T Morrissey Blvd,"Boston, MA",120,Freeport St,Dorchester,
28716,04/22/2017 04:00:00 PM,Dorchester Ave,"Boston, MA",500,Talbot Ave,,
24304,04/21/2017 04:50:00 PM,Dudley St,"Boston, MA",109,Stoughton St,Dorchester,
25346,04/21/2017 09:10:00 PM,William T Morrissey Blvd,"Boston, MA",228,Freeport St,Dorchester,
11801,04/19/2017 02:00:00 AM,Palace Rd,"Boston, MA",142,Fenway,Fenway/Kenmore,Medical Center Area
12849,04/19/2017 11:50:00 AM,Hyde Park Ave,"Boston, MA",94,American Legion Hwy,,
10336,04/25/2017 09:10:00 PM,Columbia Rd,"Boston, MA",115,Hancock St,Charlestown,
303,04/24/2017 12:40:00 AM,Huntington Ave,"Boston, MA",126,Louis Prang St,Fenway/Kenmore,
432,04/24/2017 01:00:00 AM,Bowdoin St,"Boston, MA",133,Geneva Ave,,
18623,04/20/2017 02:20:00 PM,Lamartine St,"Boston, MA",74,Centre St,,
8532,04/25/2017 06:30:00 PM,Massachusetts Ave,"Boston, MA",278,Columbia Rd,,
10111,04/25/2017 08:30:00 PM,Massachusetts Ave,"Boston, MA",550,Huntington Ave,,
5699,04/24/2017 11:20:00 PM,Centre St,"Boston, MA",122,Lagrange St,Theatre District,
6929,04/25/2017 03:20:00 AM,William T Morrissey Blvd,"Boston, MA",75,Freeport St,Dorchester,
16365,04/20/2017 12:30:00 AM,Blue Hill Ave,"Boston, MA",188,Dudley St,,
11074,04/25/2017 11:40:00 PM,to N Harvard St / Harvard Sq,"Boston, MA",208,N Harvard St,,
21028,04/21/2017 12:00:00 AM,South St,"Boston, MA",133,Centre St,,Downtown
27627,04/22/2017 06:20:00 AM,Washington St,"Boston, MA",110,Gallivan Blvd,,
4503,04/24/2017 07:30:00 PM,Summer St,"Boston, MA",109,Dorchester Ave,,
1225,04/24/2017 04:40:00 AM,Tremont St,"Boston, MA",83,Charles St S,,
11695,04/19/2017 01:20:00 AM,Cummins Hwy,"Boston, MA",95,Woodhaven St,Mattapan,
4861,04/24/2017 08:30:00 PM,W Broadway,"Boston, MA",94,E St,D Street / West Broadway,
12683,04/19/2017 09:40:00 AM,Herald St,"Boston, MA",94,Albany St,,South End
3775,04/24/2017 05:00:00 PM,Dorchester St,"Boston, MA",105,E 1st St,South Boston,South Boston
22524,04/21/2017 08:50:00 AM,Columbia Rd,"Boston, MA",99,Massachusetts Ave,,
1270,04/24/2017 05:00:00 AM,Boylston St,"Boston, MA",77,Park Dr,Fenway/Kenmore,
26810,04/22/2017 03:10:00 AM,Tremont St,"Boston, MA",262,E Berkeley St,South End,
17230,04/20/2017 05:40:00 AM,W Broadway,"Boston, MA",128,Dorchester St,South Boston,
854,04/24/2017 02:40:00 AM,Washington St,"Boston, MA",68,Ashmont St,Dorchester,
6534,04/25/2017 01:50:00 AM,Morton St,"Boston, MA",83,Harvard St,,
26751,04/22/2017 02:50:00 AM,Seaport Blvd,"Boston, MA",73,D St,South Boston,
9306,04/25/2017 05:20:00 PM,Cummins Hwy,"Boston, MA",67,Brown Ave,Roslindale,
18221,04/20/2017 12:50:00 PM,Bowdoin St,"Boston, MA",94,Topliff St,Dorchester,
28017,04/22/2017 09:30:00 AM,Southampton St,"Boston, MA",72,Exit 16: Southampton St / Andrew Sq,,
20565,04/20/2017 10:10:00 PM,Chelsea St,"Boston, MA",168,E Eagle St,East Boston,
25525,04/21/2017 09:40:00 PM,Baker St,"Boston, MA",333,VFW Pkwy,,West Roxbury
2703,04/24/2017 02:00:00 PM,Harrison Ave,"Boston, MA",114,Massachusetts Ave,,
18288,04/20/2017 01:00:00 PM,Poplar St,"Boston, MA",82,Cornell St,Roslindale,
33316,04/23/2017 05:30:00 PM,Dartmouth St,"Boston, MA",83,Tremont St,,
30247,04/22/2017 10:30:00 PM,Exit 28: to Rte 99 / Sullivan Sq / Somerville,"Boston, MA",300,Cambridge St,,
9077,04/25/2017 04:20:00 PM,Massachusetts Ave,"Boston, MA",117,Theodore Glynn Way,Dorchester,
22611,04/21/2017 11:30:00 AM,I-93 S,"Boston, MA",63,I-93 S,,
18672,04/20/2017 02:40:00 PM,Exit 18: Brighton / Cambridge,"Boston, MA",375,to Cambridge / Somerville,Assembly Square,
18823,04/20/2017 03:40:00 PM,Beacon St,"Boston, MA",483,Massachusetts Ave,,
3648,04/24/2017 04:30:00 PM,Huntington Ave,"Boston, MA",127,Washington St,,
28798,04/22/2017 04:10:00 PM,Dartmouth St,"Boston, MA",73,Stuart St,,
32297,04/23/2017 06:50:00 AM,Talbot Ave,"Boston, MA",125,Norfolk St,,
8569,04/25/2017 02:50:00 PM,Summer St,"Boston, MA",558,Surface Artery,Chinatown,
19253,04/20/2017 05:40:00 PM,Cambridge St,"Boston, MA",73,Tremont St,,
20819,04/20/2017 11:20:00 PM,Berkeley St,"Boston, MA",338,to Storrow Dr W,,
2852,04/24/2017 02:30:00 PM,Atlantic Ave,"Boston, MA",267,High St,Dorchester,
26456,04/22/2017 02:10:00 AM,Harrison Ave,"Boston, MA",101,Oak St,Medford Street / The Neck,
22974,04/21/2017 12:20:00 PM,Old Colony Ave,"Boston, MA",100,Columbia Rd,,
28303,04/22/2017 02:20:00 PM,Massachusetts Ave,"Boston, MA",101,Columbus Ave,,
5907,04/25/2017 12:00:00 AM,Harrison Ave,"Boston, MA",79,Herald St,South End,
31270,04/23/2017 02:10:00 AM,Hanover St,"Boston, MA",186,Cross St,,
7549,04/25/2017 11:50:00 AM,Hallet St,"Boston, MA",127,Gallivan Blvd,,Dorchester
29947,04/22/2017 08:40:00 PM,Baker St,"Boston, MA",301,VFW Pkwy,,West Roxbury
5438,04/24/2017 10:30:00 PM,Park St,"Boston, MA",212,Spencer St,Dorchester,
6506,04/25/2017 01:40:00 AM,Tremont St,"Boston, MA",86,Columbus Ave,,
15453,04/19/2017 08:20:00 PM,Townsend St,"Boston, MA",60,Quincy St,,Roxbury
27165,04/22/2017 04:00:00 AM,Bowdoin St,"Boston, MA",157,Quincy St,,
32879,04/23/2017 03:10:00 PM,Washington St,"Boston, MA",117,Park St,,
1134,04/24/2017 04:00:00 AM,Centre St,"Boston, MA",113,Hastings St,Brook Farm,
387,04/24/2017 12:50:00 AM,Newbury St,"Boston, MA",114,Clarendon St,,
10034,04/25/2017 08:10:00 PM,Massachusetts Ave,"Boston, MA",158,Theodore Glynn Way,Dorchester,
23101,04/21/2017 12:30:00 PM,Washington St,"Boston, MA",150,Columbus Ave,,
14678,04/19/2017 05:50:00 PM,William T Morrissey Blvd,"Boston, MA",64,to Columbia Road / Boston,,
9125,04/25/2017 04:20:00 PM,Atlantic Ave,"Boston, MA",96,Seaport Blvd,,
28253,04/22/2017 01:50:00 PM,Dorchester Ave,"Boston, MA",113,Adams St,Stony Brook / Cleary Square,
24010,04/21/2017 03:30:00 PM,Centre St,"Boston, MA",168,Arborway,,
21090,04/21/2017 12:20:00 AM,Hanover St,"Boston, MA",98,Richmond St,North End,
33915,04/23/2017 11:10:00 PM,Bowdoin St,"Boston, MA",90,Bullard St,Dorchester,
26315,04/22/2017 01:40:00 AM,Kneeland St,"Boston, MA",76,Atlantic Ave,,
22318,04/21/2017 06:10:00 AM,Summer St,"Boston, MA",60,Melcher St,D Street / West Broadway,
14696,04/19/2017 06:00:00 PM,to South St,"Boston, MA",100,South St,Downtown,Downtown
21011,04/21/2017 12:00:00 AM,Warren St,"Boston, MA",323,Blue Hill Ave,,Roxbury
3553,04/24/2017 04:30:00 PM,Heath St,"Boston, MA",97,S Huntington Ave,,
533,04/24/2017 01:30:00 AM,Talbot Ave,"Boston, MA",94,Blue Hill Ave,,
24582,04/21/2017 05:50:00 PM,Washington St,"Boston, MA",123,Murray Hill Rd,Roslindale,
30845,04/23/2017 12:40:00 AM,Blue Hill Ave,"Boston, MA",81,Talbot Ave,,
964,04/24/2017 03:20:00 AM,Washington St,"Boston, MA",72,Corinth St,Roslindale,
24869,04/21/2017 07:00:00 PM,Freeport St,"Boston, MA",86,William T Morrissey Blvd,,Dorchester
27253,04/22/2017 04:20:00 AM,Amory St,"Boston, MA",101,Atherton St,,
28233,04/22/2017 01:30:00 PM,Dorchester Ave,"Boston, MA",63,Columbia Rd,,
7125,04/25/2017 04:30:00 AM,Longwood Ave,"Boston, MA",79,to Saint Alphonsus St,,
29008,04/22/2017 05:00:00 PM,Blue Hill Ave,"Boston, MA",89,Wilcock St,Mattapan,
11253,04/25/2017 11:50:00 PM,Cummins Hwy,"Boston, MA",324,Blue Hill Ave,,
31414,04/23/2017 02:30:00 AM,Washington St,"Boston, MA",83,Boylston St,,
14619,04/19/2017 05:40:00 PM,Blue Hill Ave,"Boston, MA",60,Harvard St,,
12823,04/19/2017 11:50:00 AM,Washington St,"Boston, MA",298,South St,Downtown,
22180,04/21/2017 05:10:00 AM,Blue Hill Ave,"Boston, MA",97,Seaver St,Roxbury,
30069,04/22/2017 09:40:00 PM,Washington St,"Boston, MA",68,Columbus Ave,,
14222,04/19/2017 03:50:00 PM,Melnea Cass Blvd,"Boston, MA",65,Washington St,,
21977,04/21/2017 04:00:00 AM,Washington St,"Boston, MA",78,Park St,,
8260,04/25/2017 01:50:00 PM,Humboldt Ave,"Boston, MA",62,Seaver St,Roxbury,Roxbury
14996,04/19/2017 07:00:00 PM,Blue Hill Ave,"Boston, MA",182,Dudley St,,
24986,04/21/2017 07:30:00 PM,Blue Hill Ave,"Boston, MA",106,American Legion Hwy,,
13724,04/19/2017 01:40:00 PM,Soldiers Field Rd,"Boston, MA",176,Storrow Dr,,
29643,04/22/2017 07:10:00 PM,William T Morrissey Blvd,"Boston, MA",139,Freeport St,Dorchester,
22894,04/21/2017 12:20:00 PM,Baker St,"Boston, MA",108,Spring St,Upper Washington / Spring Street,West Roxbury
621,04/24/2017 01:50:00 AM,Centre St,"Boston, MA",80,Lamartine St,,
11689,04/19/2017 01:20:00 AM,Massachusetts Ave,"Boston, MA",325,Columbus Ave,,
3964,04/24/2017 05:40:00 PM,Adams St,"Boston, MA",100,Bowdoin St,,Stony Brook / Cleary Square
9800,04/25/2017 07:20:00 PM,Chelsea St,"Boston, MA",64,Porter St,East Boston,
26878,04/22/2017 03:20:00 AM,Harrison Ave,"Boston, MA",77,E Berkeley St,South End,
2941,04/24/2017 09:00:00 PM,Smith St,"Boston, MA",65,Saint Alphonsus St,,
9904,04/25/2017 07:40:00 PM,Blue Hill Ave,"Boston, MA",119,Charlotte St,Roxbury,
18743,04/20/2017 03:00:00 PM,Centre St,"Boston, MA",76,Arborway,,
16621,04/20/2017 02:00:00 AM,Bowdoin St,"Boston, MA",67,Harvard St,,
11759,04/19/2017 01:50:00 AM,Huntington Ave,"Boston, MA",195,Francis St,,
13470,04/19/2017 01:00:00 PM,Hyde Park Ave,"Boston, MA",117,Cummins Hwy,,
28294,04/22/2017 02:10:00 PM,Massachusetts Ave,"Boston, MA",141,Columbus Ave,,
33127,04/23/2017 04:50:00 PM,Tremont St,"Boston, MA",121,Temple Pl,Downtown Crossing,
12437,04/19/2017 05:40:00 AM,Dudley St,"Boston, MA",77,E Cottage St,,
7318,04/25/2017 06:10:00 AM,Columbus Ave,"Boston, MA",90,Heath St,,
15419,04/19/2017 08:10:00 PM,Chelsea St,"Boston, MA",72,Terminal St,Charlestown,
6032,04/25/2017 12:10:00 AM,Clarendon St,"Boston, MA",68,Tremont St,,
6443,04/25/2017 01:30:00 AM,Norfolk St,"Boston, MA",116,Blue Hill Ave,,
23041,04/21/2017 12:30:00 PM,Washington St,"Boston, MA",280,Harvard St,,
5135,04/24/2017 09:20:00 PM,Blue Hill Ave,"Boston, MA",126,American Legion Hwy,,
18673,04/20/2017 02:40:00 PM,Heath St,"Boston, MA",104,Columbus Ave,,
10870,04/25/2017 10:50:00 PM,American Legion Hwy,"Boston, MA",429,Mount Hope St,Lower Washington / Mount Hope,
5291,04/24/2017 09:50:00 PM,Brinsley St,"Boston, MA",82,Washington St,,Roxbury
25798,04/21/2017 11:10:00 PM,Kneeland St,"Boston, MA",123,Washington St,,
15842,04/19/2017 09:30:00 PM,to South St,"Boston, MA",455,South St,Downtown,Downtown
32235,04/23/2017 06:10:00 AM,Talbot Ave,"Boston, MA",171,Norfolk St,,
21032,04/21/2017 12:00:00 AM,N Harvard St,"Boston, MA",961,JF Kennedy St,Jamaica Plain,
21241,04/21/2017 01:00:00 AM,Huntington Ave,"Boston, MA",226,Forsyth Way,Fenway/Kenmore,
5609,04/24/2017 11:00:00 PM,Malcolm 'X' Blvd,"Boston, MA",636,Washington St,,Roxbury
19921,04/20/2017 08:10:00 PM,Massachusetts Ave,"Boston, MA",68,Commonwealth Ave,,
6893,04/25/2017 03:10:00 AM,Commercial St,"Boston, MA",150,Hanover St,,
6342,04/25/2017 01:00:00 AM,Harvard Ave,"Boston, MA",81,Cambridge St,,Allston
22596,04/21/2017 11:00:00 AM,Commonwealth Ave,"Boston, MA",78,Sutherland Rd,Brighton,
24624,04/21/2017 06:00:00 PM,Bowdoin St,"Boston, MA",82,Adams St,Stony Brook / Cleary Square,
27532,04/22/2017 05:30:00 AM,Stuart St,"Boston, MA",82,Washington St,,
210,04/24/2017 12:30:00 AM,Warren St,"Boston, MA",104,Blue Hill Ave,,Roxbury
14027,04/19/2017 02:50:00 PM,Parsons St,"Boston, MA",193,Leo M Birmingham Pkwy,,
32994,04/23/2017 04:00:00 PM,Quincy St,"Boston, MA",121,Warren St,Roxbury,
30463,04/22/2017 11:30:00 PM,Huntington Ave,"Boston, MA",438,Louis Prang St,Fenway/Kenmore,
19903,04/20/2017 08:10:00 PM,Chelsea St,"Boston, MA",83,Saratoga St,,
33293,04/23/2017 05:30:00 PM,Tremont St,"Boston, MA",68,Massachusetts Ave,,
23627,04/21/2017 02:50:00 PM,S Huntington Ave,"Boston, MA",83,Perkins St,Medford Street / The Neck,
23010,04/21/2017 12:30:00 PM,Hyde Park Ave,"Boston, MA",109,Eldridge Rd,Forest Hills / Woodbourne,
4712,04/24/2017 08:10:00 PM,Bowdoin St,"Boston, MA",99,Harvard St,,
21776,04/21/2017 03:20:00 AM,Dudley St,"Boston, MA",82,E Cottage St,,
29888,04/22/2017 08:20:00 PM,Blue Hill Ave,"Boston, MA",127,Seaver St,Roxbury,
7753,04/25/2017 12:20:00 PM,Neponset Ave,"Boston, MA",143,William T Morrissey Blvd,,Hyde Park
10565,04/25/2017 10:10:00 PM,South Boston Bypass Rd,"Boston, MA",81,Frontage Rd,,
18667,04/20/2017 02:40:00 PM,Massachusetts Ave,"Boston, MA",67,Magazine St,,
23489,04/21/2017 01:30:00 PM,Summer St,"Boston, MA",601,Atlantic Ave,,
33591,04/23/2017 06:50:00 PM,Southampton St,"Boston, MA",74,Dorchester Ave,,
33664,04/23/2017 07:10:00 PM,Commonwealth Ave,"Boston, MA",149,Harvard Ave,Allston,
12952,04/19/2017 12:00:00 PM,Cummins Hwy,"Boston, MA",189,Wood Ave,Hyde Park,
32193,04/23/2017 06:00:00 AM,Dartmouth St,"Boston, MA",201,Commonwealth Ave,,
32926,04/23/2017 03:20:00 PM,Tremont St,"Boston, MA",84,Huntington Ave,,
17155,04/20/2017 05:00:00 AM,Howard Ave,"Boston, MA",91,Dudley St,,Roxbury
3645,04/24/2017 04:30:00 PM,Clarendon St,"Boston, MA",89,Columbus Ave,,
29292,04/22/2017 05:40:00 PM,American Legion Hwy,"Boston, MA",69,Walk Hill St,,
16557,04/20/2017 01:40:00 AM,W Broadway,"Boston, MA",76,Dorchester St,South Boston,
30281,04/22/2017 10:40:00 PM,N Harvard St,"Boston, MA",585,JF Kennedy St,Jamaica Plain,
18837,04/20/2017 03:40:00 PM,Green St,"Boston, MA",222,Centre St,,Charlestown
23769,04/21/2017 02:30:00 PM,Cummins Hwy,"Boston, MA",69,Hyde Park Ave,,
2005,04/24/2017 12:20:00 PM,Washington St,"Boston, MA",69,Herald St,South End,
1787,04/24/2017 12:00:00 PM,Chestnut Ave,"Boston, MA",95,Centre St,,Jamaica Plain
25845,04/21/2017 11:40:00 PM,St Botolph St,"Boston, MA",65,W Newton St,,
27188,04/22/2017 04:00:00 AM,Blue Hill Ave,"Boston, MA",115,Vesta Rd,Roxbury,
2679,04/24/2017 02:00:00 PM,Hyde Park Ave,"Boston, MA",1447,Washington St,,
21958,04/21/2017 04:00:00 AM,Pearl St,"Boston, MA",189,Post Office Sq,Financial District,Downtown
17977,04/20/2017 12:40:00 PM,Huntington Ave,"Boston, MA",122,Louis Prang St,Fenway/Kenmore,
19683,04/20/2017 07:10:00 PM,St James St,"Boston, MA",94,Washington St,,Roxbury
10345,04/25/2017 09:20:00 PM,to I-93 N / US-1 N / Tobin Brg,"Boston, MA",197,to I- 93 N / US-1 N / Tobin Brg / Concord NH,,
27410,04/22/2017 04:50:00 AM,Hammond St,"Boston, MA",60,Shawmut Ave,,South End
33350,04/23/2017 05:30:00 PM,Terrace St,"Boston, MA",133,New Cedar St,,
18128,04/20/2017 12:40:00 PM,Hyde Park Ave,"Boston, MA",68,American Legion Hwy,,
23824,04/21/2017 02:50:00 PM,Charles St,"Boston, MA",82,Beacon St,,Dorchester
24126,04/21/2017 04:10:00 PM,Marginal Rd,"Boston, MA",74,Arlington St,Hyde Park,
30901,04/23/2017 12:50:00 AM,Kneeland St,"Boston, MA",76,Washington St,,
7050,04/25/2017 04:50:00 AM,Massachusetts Ave,"Boston, MA",132,Island St,,
24933,04/21/2017 07:20:00 PM,Massachusetts Ave,"Boston, MA",63,Washington St,,
14324,04/19/2017 04:10:00 PM,Washington St,"Boston, MA",244,Harvard St,,
20189,04/20/2017 09:10:00 PM,Walnut Ave,"Boston, MA",105,Martin Luther King Blvd,Roxbury,
7741,04/25/2017 12:20:00 PM,Blue Hill Ave,"Boston, MA",107,Geneva Ave,,
31984,04/23/2017 04:40:00 AM,Commonwealth Ave,"Boston, MA",85,Harvard Ave,Allston,
1132,04/24/2017 04:00:00 AM,Washington St,"Boston, MA",93,Ashmont St,Dorchester,
2559,04/24/2017 01:40:00 PM,Park Dr,"Boston, MA",274,Brookline Ave,,Fenway/Kenmore
32901,04/23/2017 03:20:00 PM,Meridian St,"Boston, MA",70,Maverick St,East Boston,
4374,04/24/2017 07:10:00 PM,Washington St,"Boston, MA",67,Temple Pl,Downtown Crossing,
3048,04/24/2017 03:00:00 PM,Meridian St,"Boston, MA",95,Andrew McArdle Brg,,
33743,04/23/2017 07:50:00 PM,Blue Hill Ave,"Boston, MA",255,Washington St,,
21585,04/21/2017 02:30:00 AM,Harrison Ave,"Boston, MA",91,W Malden St,South End,
21830,04/21/2017 03:30:00 AM,Perkins St,"Boston, MA",70,Jamaicaway,,Medford Street / The Neck
7707,04/25/2017 12:10:00 PM,Huntington Ave,"Boston, MA",340,Longwood Ave,,
12113,04/19/2017 03:20:00 AM,Massachusetts Ave,"Boston, MA",79,Columbia Rd,,
28846,04/22/2017 04:20:00 PM,Dorchester Ave,"Boston, MA",225,Adams St,Stony Brook / Cleary Square,
7584,04/25/2017 12:00:00 PM,Congress St,"Boston, MA",147,Purchase St,,
11536,04/19/2017 12:50:00 AM,Boylston St,"Boston, MA",101,Hemenway St,Fenway/Kenmore,
12534,04/19/2017 06:40:00 AM,D St,"Boston, MA",62,W 1st St,South Boston,South Boston
3909,04/24/2017 05:20:00 PM,Boylston St,"Boston, MA",60,Washington St,,
24825,04/21/2017 07:00:00 PM,Albany St,"Boston, MA",66,Melnea Cass Blvd,,
33541,04/23/2017 06:40:00 PM,Washington St,"Boston, MA",143,Temple Pl,Downtown Crossing,
18549,04/20/2017 01:50:00 PM,Storrow Dr E,"Boston, MA",87,Storrow Dr W,,
752,04/24/2017 02:10:00 AM,Congress St,"Boston, MA",94,Sudbury St,Downtown,
7144,04/25/2017 04:40:00 AM,Dorchester Ave,"Boston, MA",153,Freeport St,Dorchester,
32334,04/23/2017 07:00:00 AM,Portland St,"Boston, MA",182,Causeway St,,Downtown
14641,04/19/2017 05:50:00 PM,Purchase St,"Boston, MA",88,Surface Artery,Chinatown,
18287,04/20/2017 01:00:00 PM,Riverway,"Boston, MA",104,Brookline Ave,,
23139,04/21/2017 12:50:00 PM,Northeast Expy,"Boston, MA",193,City Square Tunl,Theatre District,
13800,04/19/2017 02:10:00 PM,Arlington St,"Boston, MA",144,Park Plz,Downtown,Hyde Park
32410,04/23/2017 07:30:00 AM,South Boston Bypass Rd,"Boston, MA",65,Frontage Rd,,
14993,04/19/2017 07:00:00 PM,Centre St,"Boston, MA",158,Arborway,,
2993,04/24/2017 02:50:00 PM,W 1st St,"Boston, MA",106,Dorchester St,South Boston,South Boston
11573,04/19/2017 01:00:00 AM,Hancock St,"Boston, MA",92,Columbia Rd,,Charlestown
23557,04/21/2017 01:50:00 PM,Harrison Ave,"Boston, MA",86,Monsignor Reynolds Way,South End,
17494,04/20/2017 11:40:00 AM,Dorchester Ave,"Boston, MA",90,Wrentham St,Dorchester,
20653,04/20/2017 10:40:00 PM,Marlborough St,"Boston, MA",385,Berkeley St,,
29587,04/22/2017 06:50:00 PM,Queensberry St,"Boston, MA",80,Park Dr,Fenway/Kenmore,West Fens
12324,04/19/2017 04:30:00 AM,Huntington Ave,"Boston, MA",102,Opera Pl,Fenway/Kenmore,
22517,04/21/2017 08:40:00 AM,Huntington Ave,"Boston, MA",88,Longwood Ave,,
6724,04/25/2017 02:20:00 AM,Spring St,"Boston, MA",89,VFW Pkwy,,Upper Washington / Spring Street
24414,04/21/2017 05:20:00 PM,Commonwealth Ave,"Boston, MA",116,Chestnut Hill Ave,Brighton,
23992,04/21/2017 03:30:00 PM,Warren St,"Boston, MA",73,Harrison Ave,,Roxbury
19940,04/20/2017 08:20:00 PM,Humboldt Ave,"Boston, MA",91,Townsend St,Roxbury,Roxbury
370,04/24/2017 12:50:00 AM,Huntington Ave,"Boston, MA",99,Louis Prang St,Fenway/Kenmore,
21699,04/21/2017 03:00:00 AM,Huntington Ave,"Boston, MA",201,Francis St,,
33240,04/23/2017 05:20:00 PM,VFW Pkwy,"Boston, MA",87,Bridge St,West Roxbury,
12130,04/19/2017 03:20:00 AM,Congress St,"Boston, MA",72,Sudbury St,Downtown,
16706,04/20/2017 02:30:00 AM,Amory St,"Boston, MA",134,Williams St,Roxbury,
13662,04/19/2017 01:30:00 PM,I-93 S,"Boston, MA",204,I-93 S,,
726,04/24/2017 02:10:00 AM,Harrison Ave,"Boston, MA",62,Warren St,Roxbury,
28296,04/22/2017 02:20:00 PM,Lincoln St,"Boston, MA",62,Surface Artery,Chinatown,Stony Brook / Cleary Square
25433,04/21/2017 09:30:00 PM,Blue Hill Ave,"Boston, MA",192,Dudley St,,
5811,04/24/2017 11:40:00 PM,Chelsea St,"Boston, MA",68,Porter St,East Boston,
20080,04/20/2017 08:40:00 PM,Market St,"Boston, MA",147,Washington St,,
18575,04/20/2017 02:10:00 PM,Chelsea St,"Boston, MA",67,Porter St,East Boston,
17171,04/20/2017 05:10:00 AM,Harrison Ave,"Boston, MA",71,Herald St,South End,
16560,04/20/2017 01:40:00 AM,Atlantic Ave,"Boston, MA",123,Summer St,,
13759,04/19/2017 01:50:00 PM,Parsons St,"Boston, MA",288,Leo M Birmingham Pkwy,,
10824,04/25/2017 10:50:00 PM,Park St,"Boston, MA",159,Adams St,Stony Brook / Cleary Square,
24415,04/21/2017 05:20:00 PM,Washington St,"Boston, MA",347,South St,Downtown,
5411,04/24/2017 10:30:00 PM,Martin Luther King Blvd,"Boston, MA",107,Warren St,Roxbury,Roxbury
