,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_laboral,ingreso_por_persona,sexo,estado_conyugal,ocupacion_trabajo,mantiene_familia,calidad_vivienda
0,1,1,18 - 25,4,4,0.7,0.0,1.0,1,6,0,1.0,0.3
1,1,1,18 - 25,6,6,0.7,0.0,1.0,1,6,0,1.0,0.3
2,1,1,18 - 25,7,2,0.7,0.0,0.8,1,1,9,0.75,0.0
5,1,1,18 - 25,5,5,0.0,0.0,1.0,2,6,2,0.0,0.0
6,1,1,18 - 25,1,2,0.7,0.0,1.0,2,1,4,0.0,0.0
7,1,1,61 - 70,1,6,0.7,0.7,1.0,2,5,0,1.0,0.3
9,1,1,31 - 40,1,4,0.7,0.0,0.8,1,6,8,0.0,0.0
10,1,1,26 - 30,1,2,0.7,0.0,1.0,1,6,9,1.0,0.0
11,1,1,26 - 30,7,4,0.7,0.0,0.8,1,2,7,0.75,0.0
12,1,1,26 - 30,5,2,0.7,0.0,0.8,1,6,4,0.75,0.0
13,1,1,18 - 25,7,3,0.7,0.0,1.0,1,6,0,0.0,0.3
14,1,1,51 - 60,1,5,0.7,0.0,0.2,2,3,4,0.0,0.0
15,1,1,51 - 60,7,5,0.7,0.0,0.8,2,3,6,0.75,0.0
16,1,1,18 - 25,1,4,0.7,0.0,1.0,2,1,5,1.0,0.0
17,1,1,51 - 60,1,4,0.7,0.0,0.8,1,2,7,0.3,0.0
20,1,1,18 - 25,5,5,0.7,0.0,1.0,1,1,7,1.0,0.0
21,1,1,26 - 30,5,3,0.7,0.0,0.8,1,4,9,0.75,0.0
22,1,1,31 - 40,1,2,1.0,0.0,1.0,2,4,0,1.0,0.0
23,1,1,41 - 50,1,2,0.0,0.0,1.0,2,4,5,1.0,0.0
24,1,1,26 - 30,4,4,0.0,0.0,0.2,2,3,5,0.3,0.0
25,1,1,18 - 25,6,6,0.0,0.0,0.8,2,1,4,0.75,0.0
26,1,1,26 - 30,6,6,0.0,0.0,1.0,2,6,0,0.0,0.3
27,1,1,18 - 25,1,2,0.7,0.0,0.8,1,6,5,0.75,0.0
28,1,1,31 - 40,4,4,0.7,0.0,0.8,2,1,5,0.75,0.0
30,1,1,31 - 40,1,3,0.7,0.0,1.0,1,6,7,0.75,0.0
33,1,1,26 - 30,2,2,0.0,0.0,0.2,2,1,2,0.0,0.0
34,1,1,18 - 25,4,4,0.7,0.0,0.8,2,6,9,0.0,0.0
35,1,1,51 - 60,7,2,0.7,0.0,0.8,1,1,9,0.75,0.0
37,1,1,18 - 25,1,5,0.7,0.0,1.0,2,2,0,0.0,0.0
38,1,1,26 - 30,7,5,0.0,0.0,0.8,1,2,7,0.75,0.0
39,1,1,18 - 25,4,4,0.0,0.0,0.8,1,6,0,0.75,0.3
41,1,1,61 - 70,1,3,0.7,0.7,1.0,1,3,0,1.0,0.3
42,1,1,31 - 40,1,5,0.7,0.0,0.8,2,2,9,0.75,0.0
43,1,1,31 - 40,7,5,0.7,0.0,0.8,1,2,9,0.0,0.0
44,1,1,18 - 25,2,2,0.7,0.0,0.8,2,6,0,0.0,0.3
45,1,1,18 - 25,4,4,0.7,0.0,1.0,1,6,5,0.0,0.0
46,1,1,31 - 40,1,6,0.7,0.0,0.8,1,1,8,0.75,0.0
47,1,1,31 - 40,4,6,0.7,0.0,0.8,1,6,9,0.75,0.0
49,1,1,18 - 25,7,6,0.7,0.0,1.0,1,6,7,0.75,0.0
51,1,1,18 - 25,4,4,0.0,0.0,1.0,2,6,0,1.0,0.3
52,1,1,51 - 60,1,5,0.0,0.0,0.2,2,5,5,0.0,0.0
54,1,1,18 - 25,4,4,0.7,0.0,1.0,2,6,5,1.0,0.0
56,1,1,18 - 25,5,5,0.7,0.0,1.0,1,4,4,0.75,0.0
57,1,1,18 - 25,5,5,0.7,0.0,0.8,1,6,9,0.75,0.0
58,1,1,18 - 25,2,2,0.7,0.0,0.8,1,2,5,0.75,0.0
59,1,1,41 - 50,2,2,0.7,0.0,0.8,1,4,8,0.75,0.0
60,1,1,41 - 50,2,3,0.7,0.0,0.8,1,2,5,0.75,0.0
61,1,1,31 - 40,1,3,0.0,0.0,0.8,2,2,2,0.3,0.0
