,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_laboral,ingreso_por_persona,sexo,estado_conyugal,ocupacion_trabajo,mantiene_familia,calidad_vivienda
136,3,2,51 - 60,2,4,0.7,0.0,0.8,1,2,9,0.75,0.0
137,3,2,41 - 50,2,4,0.7,0.0,0.8,2,2,9,0.75,0.0
138,4,1,41 - 50,1,2,0.0,0.0,0.0,2,4,1,0.0,0.0
139,4,1,26 - 30,4,1,0.0,0.0,1.0,1,1,2,1.0,0.0
140,4,1,41 - 50,2,2,0.7,0.0,1.0,1,1,8,1.0,0.0
141,4,1,26 - 30,4,2,0.7,0.0,1.0,2,1,9,1.0,0.0
142,4,1,31 - 40,4,2,0.0,0.0,0.8,2,6,4,0.75,0.0
143,4,1,26 - 30,1,1,0.7,0.0,0.2,1,1,7,0.0,0.0
144,4,1,31 - 40,1,1,0.7,0.0,1.0,1,1,5,1.0,0.0
146,4,2,18 - 25,4,2,0.7,0.0,1.0,2,6,0,0.0,0.3
148,4,2,31 - 40,4,1,0.7,0.0,0.8,2,2,4,0.75,0.0
152,4,2,26 - 30,1,1,0.0,0.0,1.0,1,6,2,0.0,0.0
154,4,2,41 - 50,1,1,0.7,0.0,1.0,2,6,0,1.0,0.3
156,4,2,26 - 30,3,3,0.7,0.0,1.0,2,1,0,1.0,0.3
157,4,2,51 - 60,4,5,0.7,0.0,1.0,2,2,0,1.0,0.3
159,3,2,18 - 25,4,4,0.7,0.0,1.0,1,1,6,0.0,0.9
161,3,2,31 - 40,2,2,0.7,0.0,0.8,1,1,9,0.0,0.0
162,4,2,26 - 30,2,1,0.7,0.0,1.0,2,1,0,0.0,0.3
163,4,2,18 - 25,4,1,0.7,0.0,1.0,1,6,5,0.0,0.0
164,4,1,41 - 50,1,1,0.7,0.0,0.8,2,4,9,0.75,0.0
165,4,2,61 - 70,3,5,1.0,0.7,1.0,1,1,0,1.0,0.3
168,4,2,26 - 30,4,1,0.7,0.0,1.0,1,2,9,1.0,0.0
172,4,2,31 - 40,4,5,0.7,1.0,1.0,2,4,9,0.0,0.0
173,4,2,61 - 70,3,6,0.7,0.0,1.0,1,6,9,1.0,0.0
175,4,2,41 - 50,3,3,0.7,0.0,0.2,1,2,6,0.0,0.0
177,4,2,18 - 25,3,3,0.7,0.0,1.0,1,6,9,0.0,0.0
178,5,2,51 - 60,5,6,0.7,0.0,0.8,2,1,5,0.75,0.0
180,5,2,31 - 40,5,1,0.7,0.0,1.0,1,1,9,1.0,0.0
181,4,2,31 - 40,4,1,0.7,0.0,0.8,1,6,9,0.75,0.0
182,4,2,18 - 25,1,1,0.7,0.0,1.0,2,1,5,1.0,0.0
183,5,2,18 - 25,5,1,0.0,0.0,0.8,2,6,3,0.75,0.0
184,4,2,26 - 30,5,5,0.7,0.0,1.0,2,1,0,1.0,0.3
186,5,2,18 - 25,5,4,0.7,0.0,1.0,1,6,9,1.0,0.0
187,5,2,26 - 30,6,1,0.0,0.0,0.2,2,6,7,0.0,0.0
188,5,2,31 - 40,7,6,0.7,0.0,0.8,1,1,9,0.75,0.0
189,5,2,41 - 50,2,1,0.7,0.0,1.0,2,3,5,1.0,0.0
190,5,1,31 - 40,5,4,0.7,0.0,1.0,2,4,5,1.0,0.0
191,5,2,61 - 70,1,1,0.7,0.0,0.8,1,1,9,0.75,0.0
193,5,2,26 - 30,5,2,0.7,0.0,1.0,1,4,5,1.0,0.9
194,5,1,31 - 40,5,2,0.7,0.0,0.8,2,3,5,0.75,0.0
195,5,2,31 - 40,1,3,0.7,0.0,0.8,1,1,9,0.75,0.0
197,5,2,26 - 30,2,2,0.7,0.0,1.0,2,1,0,0.0,0.3
198,5,2,31 - 40,7,6,0.7,0.0,0.8,1,4,9,0.75,0.0
199,5,2,31 - 40,7,1,0.7,0.0,0.8,1,1,9,0.75,0.9
201,5,2,18 - 25,1,1,0.7,0.0,1.0,1,1,9,1.0,0.9
202,5,2,61 - 70,7,4,0.7,0.7,1.0,2,4,0,1.0,0.3
203,5,2,26 - 30,1,4,0.7,0.0,1.0,2,4,5,0.0,0.0
204,5,2,51 - 60,2,1,0.7,0.0,0.8,1,1,5,0.75,0.0
206,6,1,26 - 30,6,1,0.0,0.0,1.0,1,2,2,0.0,0.0
207,6,1,26 - 30,6,1,0.0,0.0,0.0,2,2,2,0.0,0.0
208,5,2,31 - 40,1,6,0.7,0.0,0.8,1,2,9,0.75,0.0
209,5,2,26 - 30,5,6,0.7,0.0,1.0,2,2,5,0.0,0.0
210,6,1,26 - 30,6,4,0.0,0.0,0.2,2,6,2,0.0,0.0
212,6,1,18 - 25,5,5,0.7,0.0,0.8,1,4,5,0.0,0.0
213,6,1,26 - 30,6,1,0.7,0.0,0.8,1,1,4,0.75,0.0
215,6,1,18 - 25,6,3,0.7,0.0,1.0,1,2,3,0.3,0.0
216,6,1,31 - 40,1,1,0.0,0.0,0.0,1,2,2,0.0,0.0
217,6,1,26 - 30,6,1,0.0,0.0,0.2,2,2,2,0.0,0.0
219,6,1,31 - 40,1,1,0.0,0.0,1.0,1,2,6,0.3,0.0
220,6,1,31 - 40,6,1,0.0,0.0,0.2,2,2,3,0.3,0.0
221,6,1,26 - 30,6,1,0.7,0.0,0.8,1,6,8,0.3,0.0
222,6,1,18 - 25,1,1,0.0,0.0,1.0,1,6,0,0.0,0.3
223,6,1,26 - 30,1,5,0.0,0.0,0.2,1,3,5,0.3,0.0
224,6,1,41 - 50,7,1,0.7,1.0,1.0,1,1,9,0.0,0.0
225,6,1,41 - 50,2,1,0.7,0.0,1.0,2,1,9,1.0,0.0
226,6,2,18 - 25,1,1,0.0,0.0,0.2,1,6,2,0.3,0.0
228,6,2,18 - 25,7,1,1.0,0.0,1.0,1,6,9,1.0,0.0
229,6,2,61 - 70,4,4,0.7,1.0,1.0,1,4,9,0.0,0.0
230,6,2,71 - 80,4,1,0.7,0.7,1.0,1,4,0,0.0,0.3
234,6,2,26 - 30,4,1,0.7,1.0,1.0,1,1,5,1.0,0.0
235,6,2,26 - 30,3,3,0.7,0.0,0.8,1,4,7,0.0,0.0
237,6,2,18 - 25,1,1,0.7,0.0,0.8,1,6,9,0.75,0.0
238,6,2,41 - 50,4,4,0.7,0.0,0.8,1,2,7,0.75,0.0
240,6,2,31 - 40,6,1,0.7,0.0,1.0,2,5,0,1.0,0.3
241,6,2,41 - 50,6,2,0.0,0.0,0.8,2,6,3,0.75,0.0
242,6,2,18 - 25,7,1,1.0,0.0,1.0,1,1,9,1.0,0.0
246,6,2,51 - 60,4,4,0.7,0.0,1.0,1,2,9,0.75,0.0
247,6,2,41 - 50,4,4,0.7,0.0,1.0,2,2,9,0.0,0.0
248,6,2,18 - 25,4,4,0.7,0.0,1.0,1,6,9,0.0,0.0
250,6,2,18 - 25,6,1,0.7,0.0,0.8,1,6,7,0.75,0.0
251,1,1,26 - 30,2,2,0.7,0.0,0.8,2,6,9,0.0,0.0
253,1,1,31 - 40,2,2,0.0,0.0,0.2,1,1,4,0.0,0.0
255,1,1,51 - 60,1,6,0.7,0.0,1.0,2,5,0,0.0,0.3
256,1,1,26 - 30,4,4,0.0,0.0,0.8,2,1,2,0.3,0.0
257,1,1,18 - 25,6,6,0.7,0.0,0.8,1,6,5,0.75,0.0
258,1,1,18 - 25,1,4,0.0,0.0,0.8,1,6,0,0.75,0.3
259,1,1,26 - 30,2,2,0.0,0.0,0.8,2,3,5,0.75,0.0
260,1,1,18 - 25,1,2,0.7,0.0,0.8,1,2,7,0.75,0.0
261,1,1,26 - 30,6,6,0.7,0.0,0.8,1,1,9,0.75,0.0
262,1,1,18 - 25,6,6,0.7,0.0,0.8,1,6,9,0.75,0.0
264,1,1,18 - 25,6,6,0.7,0.0,1.0,1,6,9,0.75,0.0
265,1,1,31 - 40,4,5,0.0,0.0,0.8,1,2,3,0.75,0.0
266,1,1,41 - 50,4,5,0.7,0.0,0.8,2,2,7,0.75,0.0
269,1,1,31 - 40,1,3,0.0,0.0,0.8,2,2,2,0.3,0.0
270,1,1,31 - 40,1,6,0.7,0.0,1.0,1,4,9,1.0,0.0
271,1,1,31 - 40,7,6,0.7,0.0,0.8,2,4,5,0.75,0.0
272,1,1,41 - 50,3,2,0.0,0.0,0.0,1,2,1,0.0,0.0
273,1,1,31 - 40,7,3,0.0,0.0,0.2,2,6,2,0.3,0.0
275,1,1,61 - 70,1,6,0.7,0.7,0.8,2,5,0,0.75,0.3
276,1,1,18 - 25,2,2,0.7,0.0,0.8,2,6,0,0.0,0.3
277,1,1,18 - 25,4,2,0.0,0.0,1.0,2,6,0,1.0,0.3
278,1,1,26 - 30,1,2,0.7,0.0,0.8,1,2,8,0.3,0.0
280,1,2,18 - 25,4,4,0.0,0.0,1.0,1,2,2,0.0,0.0
281,1,2,31 - 40,1,3,0.7,0.0,0.8,2,1,5,0.75,0.0
283,1,2,41 - 50,1,5,0.0,0.0,0.8,2,2,2,0.3,0.0
287,2,1,31 - 40,6,6,0.7,0.0,0.8,1,1,7,0.3,0.0
289,2,1,81 - 90,2,1,1.0,0.7,1.0,1,4,0,0.0,0.3
290,2,1,51 - 60,7,1,0.7,0.0,1.0,2,2,5,1.0,0.0
291,2,1,51 - 60,1,1,0.7,0.0,1.0,1,2,5,1.0,0.0
293,3,1,51 - 60,6,6,0.7,0.0,1.0,2,1,5,0.0,0.0
294,3,1,61 - 70,3,6,0.7,0.0,1.0,1,1,5,1.0,0.0
295,3,1,31 - 40,1,1,0.0,0.0,0.2,2,3,2,0.0,0.0
296,3,2,31 - 40,3,4,0.7,0.0,0.8,1,2,7,0.75,0.0
298,3,2,31 - 40,2,4,0.7,0.0,1.0,1,2,5,0.75,0.0
300,3,2,18 - 25,4,4,0.7,0.0,1.0,1,6,9,0.75,0.0
