,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_laboral,ingreso_por_persona,sexo,estado_conyugal,ocupacion_trabajo,mantiene_familia,calidad_vivienda
0,1,1,26 - 30,7,2,0.7,0.0,0.8,1,1,9,0.75,0.0
1,1,1,18 - 25,7,2,0.7,0.0,1.0,2,1,5,0.0,0.0
2,1,1,41 - 50,2,5,0.7,0.0,0.8,1,1,5,0.75,0.0
3,1,1,51 - 60,5,5,0.7,0.0,1.0,2,1,0,1.0,0.0
4,1,1,61 - 70,1,6,0.7,0.7,1.0,2,5,0,1.0,0.3
6,1,1,31 - 40,5,3,0.7,0.0,0.8,1,2,8,0.75,0.0
8,1,1,26 - 30,7,4,0.7,0.0,0.8,1,6,7,0.0,0.0
9,1,1,41 - 50,2,2,0.7,0.0,0.8,2,6,5,0.75,0.0
10,1,1,18 - 25,5,5,0.7,0.0,1.0,2,2,7,0.0,0.0
12,1,1,41 - 50,7,2,0.0,0.0,1.0,1,2,2,0.3,0.0
13,1,1,31 - 40,2,2,0.7,0.0,1.0,2,2,5,0.0,0.0
15,1,1,18 - 25,4,4,0.7,0.0,0.8,1,6,5,0.75,0.0
17,1,1,26 - 30,4,4,0.0,0.0,0.8,2,6,2,0.3,0.0
18,1,1,71 - 80,2,2,0.7,0.7,1.0,2,4,0,0.0,0.3
19,1,1,71 - 80,1,3,0.7,0.7,1.0,2,2,0,1.0,0.3
20,1,1,18 - 25,1,3,0.7,0.0,1.0,1,6,8,0.0,0.0
21,1,1,41 - 50,3,3,0.7,0.0,1.0,2,1,5,1.0,0.0
22,1,1,41 - 50,1,3,0.7,0.0,1.0,1,1,8,1.0,0.0
23,1,1,31 - 40,2,2,0.7,0.0,1.0,2,1,9,1.0,0.0
24,1,1,61 - 70,1,3,0.7,0.7,1.0,1,3,0,1.0,0.0
25,1,1,18 - 25,6,6,0.7,0.0,0.8,2,1,7,0.75,0.0
26,1,1,26 - 30,5,5,0.0,0.0,0.8,1,6,3,0.75,0.0
27,1,1,31 - 40,1,2,0.7,0.0,0.8,2,6,9,0.75,0.0
28,1,1,61 - 70,1,3,0.7,0.7,1.0,1,1,0,1.0,0.0
29,1,1,26 - 30,5,5,0.0,0.0,0.8,1,6,3,0.75,0.0
30,1,1,51 - 60,1,5,0.7,0.0,1.0,1,2,8,1.0,0.0
32,1,1,31 - 40,1,3,0.7,0.0,1.0,1,2,5,1.0,0.0
34,1,1,26 - 30,1,2,0.7,0.0,1.0,2,4,0,1.0,0.3
35,1,1,51 - 60,1,3,0.7,0.0,0.2,1,2,3,0.0,0.0
36,1,1,31 - 40,1,2,0.7,0.0,0.8,2,1,5,0.75,0.0
37,1,1,31 - 40,1,3,0.7,0.0,0.8,1,4,7,0.75,0.0
39,1,1,26 - 30,7,3,0.7,0.0,0.8,1,2,5,0.75,0.0
40,1,1,26 - 30,7,3,0.7,0.0,0.8,2,2,9,0.75,0.0
41,1,1,26 - 30,4,4,0.0,0.0,0.8,2,1,2,0.75,0.0
42,1,1,31 - 40,1,4,0.7,0.0,1.0,1,2,7,1.0,0.0
43,1,1,26 - 30,7,5,0.7,0.0,0.8,2,1,5,0.0,0.0
44,1,1,51 - 60,1,6,0.7,0.0,0.8,1,3,7,0.75,0.0
45,1,1,26 - 30,1,6,0.0,0.0,0.8,2,6,2,0.3,0.0
47,1,1,31 - 40,7,5,0.7,0.0,0.8,1,2,9,0.75,0.0
48,1,1,31 - 40,1,5,0.7,0.0,0.2,2,2,5,0.0,0.0
49,1,1,18 - 25,1,4,0.0,0.0,0.8,1,6,0,0.75,0.3
52,1,1,18 - 25,6,6,0.7,0.0,1.0,1,6,0,1.0,0.3
53,1,1,18 - 25,6,6,0.0,0.0,1.0,1,6,0,1.0,0.3
54,1,1,51 - 60,5,5,0.0,0.0,0.0,2,3,0,0.0,0.3
55,1,1,71 - 80,3,3,0.0,0.7,0.2,2,5,0,0.0,0.3
56,1,1,18 - 25,4,4,0.0,0.0,1.0,2,6,5,0.0,0.0
58,1,1,18 - 25,4,4,0.7,0.0,1.0,2,6,5,0.0,0.0
59,1,1,18 - 25,5,5,0.7,0.0,0.8,2,6,0,0.0,0.3
60,1,1,18 - 25,5,5,0.7,0.0,0.8,1,6,0,0.0,0.3
61,1,1,18 - 25,5,5,0.7,0.0,1.0,1,6,0,0.0,0.3
64,1,1,18 - 25,2,5,0.7,0.0,0.8,2,6,5,0.75,0.0
65,1,1,26 - 30,7,5,0.7,0.0,0.8,1,4,7,0.75,0.0
67,1,1,18 - 25,4,4,0.7,0.0,1.0,1,6,9,1.0,0.0
69,1,1,51 - 60,2,3,0.7,0.0,1.0,2,6,9,1.0,0.0
70,1,1,18 - 25,2,2,0.7,1.0,1.0,2,6,22,1.0,0.0
71,1,1,18 - 25,5,5,0.7,0.0,1.0,1,6,0,1.0,0.3
73,1,1,18 - 25,5,5,0.7,1.0,1.0,2,6,4,1.0,0.0
74,1,1,18 - 25,5,5,0.7,0.0,1.0,2,6,0,1.0,0.3
75,1,1,41 - 50,1,3,0.7,0.0,0.8,1,2,5,0.75,0.0
76,1,1,31 - 40,1,3,0.0,0.0,0.8,2,2,5,0.75,0.0
77,1,1,18 - 25,1,3,0.7,0.0,1.0,2,1,4,1.0,0.0
78,1,1,26 - 30,2,2,0.7,0.0,0.8,1,6,7,0.75,0.0
79,1,1,18 - 25,2,2,0.7,0.0,0.8,2,6,5,0.75,0.0
80,1,1,26 - 30,2,2,0.7,0.0,0.8,1,1,8,0.3,0.0
82,1,1,18 - 25,2,2,0.0,0.0,1.0,1,6,5,0.75,0.0
83,1,1,18 - 25,2,2,0.7,0.0,1.0,2,1,0,0.0,0.3
84,1,1,18 - 25,6,6,0.7,0.0,1.0,2,6,0,0.0,0.3
85,1,1,61 - 70,1,3,0.7,0.0,0.8,1,3,3,0.75,0.0
86,1,1,41 - 50,2,5,0.7,0.0,0.8,2,5,9,0.75,0.0
87,1,1,18 - 25,3,3,0.0,0.0,0.8,2,6,0,0.75,0.3
88,1,1,18 - 25,3,3,0.0,0.0,1.0,2,6,5,1.0,0.0
89,1,1,26 - 30,1,6,0.7,0.0,0.8,2,1,9,0.75,0.0
91,1,1,26 - 30,1,4,0.7,0.0,1.0,1,2,5,0.75,0.0
93,1,1,18 - 25,3,3,0.0,0.0,1.0,2,1,5,0.75,0.0
94,1,1,18 - 25,2,2,0.7,0.0,1.0,2,6,0,0.0,0.3
95,1,1,41 - 50,1,2,0.7,0.0,0.8,1,6,5,0.3,0.0
96,1,1,61 - 70,1,3,0.7,0.7,0.2,2,4,0,0.3,0.3
97,1,1,18 - 25,6,6,0.0,0.0,0.8,1,1,8,0.75,0.0
99,1,1,31 - 40,1,5,0.0,0.0,1.0,1,2,1,0.0,0.0
100,1,1,26 - 30,1,5,0.7,0.0,1.0,2,2,5,0.0,0.0
103,1,1,31 - 40,6,6,0.7,0.0,1.0,2,1,0,0.0,0.3
104,1,1,18 - 25,1,2,0.7,0.0,1.0,2,2,9,0.0,0.0
105,1,1,26 - 30,1,2,0.7,0.0,0.8,1,2,3,0.75,0.0
106,1,1,26 - 30,2,6,0.0,0.0,0.8,2,1,2,0.3,0.0
107,1,1,81 - 90,1,4,0.7,0.7,0.2,2,5,0,0.3,0.3
108,1,1,41 - 50,7,3,0.0,0.0,0.8,2,4,4,0.75,0.0
109,1,1,41 - 50,1,4,0.7,0.0,0.8,1,2,8,0.75,0.0
111,1,1,18 - 25,4,4,0.0,0.0,1.0,1,6,0,0.75,0.3
112,1,1,26 - 30,1,2,0.0,0.0,0.2,1,6,2,0.0,0.0
113,1,1,31 - 40,1,3,0.0,0.0,1.0,2,1,0,0.0,0.3
114,1,1,26 - 30,1,5,0.7,0.0,0.8,1,4,5,0.75,0.0
115,1,1,18 - 25,5,5,0.7,1.0,1.0,2,1,9,0.0,0.0
116,1,1,26 - 30,7,5,0.7,0.0,1.0,2,4,0,1.0,0.3
117,1,1,41 - 50,1,3,0.7,0.0,0.8,1,2,5,0.3,0.0
120,1,1,18 - 25,5,5,0.7,0.0,0.8,2,6,4,0.3,0.0
122,1,1,51 - 60,3,4,0.0,0.0,1.0,1,2,1,0.0,0.0
125,1,1,81 - 90,1,6,0.7,0.7,1.0,2,5,0,0.0,0.3
126,1,1,71 - 80,3,3,0.7,0.7,1.0,2,6,0,0.0,0.3
127,1,1,41 - 50,1,5,0.7,0.0,1.0,2,1,5,0.0,0.0
128,1,1,18 - 25,1,5,0.7,0.0,0.8,1,6,7,0.0,0.0
129,1,1,26 - 30,4,4,0.7,0.0,0.8,1,2,8,0.75,0.0
130,1,1,18 - 25,4,4,0.0,0.0,0.8,2,2,4,0.75,0.0
131,1,1,18 - 25,7,3,0.0,0.0,0.2,2,1,2,0.0,0.0
