abbrev,state,Region Huetar Atlantica,Region Huetar Norte,Region Metropolitana,Region Chorotega,Region Brunca,Region Pacífico Central
RHA,Region Huetar Atlantica,22,1004,1,660,3077,1386
RHN,Region Huetar Norte,1097,6,1520,196,1,556
RM,Region Metropolitana,1,1,N/A,1,1,13790
RC,Region Chorotega,374,855,2,26,3525,603
RB,Region Brunca,2509,6995,38916,3472,39,15150
RPC,Region Pacífico Central,3108,3457,2,1043,22152,46
