id,int_date,sex,eminuse,intmob,snsint,home3nw,bbhome1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,age,marital,par,Kidage_17,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
156,33115,1,1,1,1,1,2,1,0.5,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,55,1,2,0,4,1,5,S,48,0,0,0,0,0.412371134,0.375,0.2,0.25,0,0,0.02,0.96,0.01,0
103,31915,1,1,1,1,1,2,1,0,1,1,0,0,1,3,0,0,0,1,0,0,1,0.5,0,19,6,2,0,3,7,9,U,13,0.3333333333,0.1111111111,0,0.3333333333,0.0412371134,0.125,0,0,0,0,0.01,0.95,0.04,0
125,40515,2,1,1,1,1,2,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0.5,0,16,6,2,0,2,4,98,S,34,0,0.3333333333,0,0.5,0.0618556701,0.5,0.8,0.5,0,0,0.01,0.95,0.03,0
188,41215,2,1,1,1,1,2,1,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0.5,0,48,1,1,2,6,4,9,S,53,0,0,0.6666666667,0.3333333333,0.1030927835,0.25,0,0,0,0,0.01,0.94,0.04,0
50,31915,2,1,1,1,1,2,1,0,1,1,0,1,3,2,1,0,0,0,0,0,0,0.5,0,18,6,2,0,4,2,98,S,6,0.1111111111,0.2222222222,0.3333333333,0,0.0618556701,0,0,0,0,0,0.02,0.92,0.06,0
84,40215,2,1,1,1,1,8,1,0,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0,37,4,1,1,3,2,3,S,36,0,0,0,0.1666666667,0,0.25,0,0,0,0,0.03,0.92,0.04,0
48,40515,1,1,1,1,1,2,1,0.5,1,0,0,0,3,3,0,0,0,0,0,0,0,0.5,0.5,16,6,2,0,2,4,3,S,25,0.3333333333,0,0,0.5,0,0,0,0,0,0,0.02,0.85,0.13,0
30,31715,2,1,1,1,1,2,1,0.5,1,1,1,0,1,3,1,1,1,0,0,0,0,0,0,54,1,1,3,8,1,8,U,48,0,0,0.6666666667,0.1666666667,0.0103092784,0.375,0,0,0,0,0.03,0.84,0.13,0
96,31715,1,1,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,31,1,2,0,3,4,7,R,55,0,0,0,0.1666666667,0.0309278351,0,0,0,0,0,0.06,0.83,0.11,0
159,41215,1,1,1,1,1,2,1,1,1,1,0,0,2,2,1,0,0,0,0,0,0,1,0.5,39,3,1,3,6,1,5,S,12,0,0,0,0.1666666667,0.0618556701,0,0,0,0,0,0.06,0.83,0.11,0
