@relation migracion_v3_clustered

@attribute Instance_number numeric
@attribute zona {1,2,9}
@attribute instruccion {0,1,2,3,4,5,6,7,8,9,99}
@attribute trabajo {1,2,9}
@attribute region {1,2,3,4,5,6,9}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
203,1,2,1,1,cluster1
204,1,4,1,1,cluster3
205,1,3,2,1,cluster3
206,1,3,2,1,cluster3
207,1,0,9,1,cluster0
208,1,0,1,1,cluster0
209,1,0,1,1,cluster0
210,1,3,2,1,cluster3
211,1,4,1,1,cluster3
212,1,7,1,1,cluster4
213,1,8,1,1,cluster4
214,1,3,2,1,cluster3
215,1,7,2,1,cluster4
216,1,7,1,1,cluster4
217,1,7,1,1,cluster4
218,1,7,1,1,cluster4
219,1,7,1,1,cluster4
220,1,4,1,1,cluster3
221,1,2,2,1,cluster0
222,1,7,1,1,cluster4
223,1,8,1,1,cluster4
224,1,8,2,1,cluster4
225,1,4,1,1,cluster3
226,1,4,2,1,cluster3
227,1,3,2,1,cluster3
228,1,7,1,1,cluster4
229,1,7,1,1,cluster4
230,1,5,2,1,cluster3
231,1,1,2,1,cluster0
232,1,1,2,1,cluster0
233,1,0,9,1,cluster0
234,1,2,2,1,cluster0
235,1,7,2,1,cluster4
236,1,7,1,1,cluster4
237,1,1,1,1,cluster0
238,1,7,2,1,cluster4
239,1,7,1,1,cluster4
240,1,0,9,1,cluster0
241,1,4,2,1,cluster3
242,1,4,1,1,cluster3
243,1,7,1,1,cluster4
244,1,7,1,1,cluster4
245,1,7,1,1,cluster4
246,1,3,2,1,cluster3
247,1,1,2,1,cluster0
248,1,7,2,1,cluster4
249,1,4,1,1,cluster3
250,1,1,9,1,cluster0
251,1,8,1,1,cluster4
252,1,2,1,1,cluster1
253,1,4,2,1,cluster3
254,1,1,1,1,cluster0
255,1,1,1,1,cluster0
256,1,2,2,1,cluster0
257,1,7,1,1,cluster4
258,1,2,1,1,cluster1
259,1,2,1,1,cluster1
260,1,3,1,1,cluster1
261,1,1,1,1,cluster0
262,1,2,1,1,cluster1
263,1,3,1,1,cluster1
264,1,1,2,1,cluster0
265,1,4,2,1,cluster3
266,1,3,1,1,cluster1
267,1,1,2,1,cluster0
268,1,0,2,1,cluster0
269,1,2,1,1,cluster1
270,1,1,2,1,cluster0
271,1,3,2,1,cluster3
272,1,7,1,1,cluster4
273,1,0,9,1,cluster0
274,1,0,9,1,cluster0
275,1,2,2,1,cluster0
276,1,2,1,1,cluster1
277,1,3,2,1,cluster3
278,1,2,2,1,cluster0
279,1,2,2,1,cluster0
280,1,2,2,1,cluster0
281,1,3,1,1,cluster1
282,1,3,2,1,cluster3
283,1,1,1,1,cluster0
284,1,3,1,1,cluster1
285,1,4,1,1,cluster3
286,1,8,2,1,cluster4
287,1,5,2,1,cluster3
288,1,3,1,1,cluster1
289,1,3,2,1,cluster3
290,1,0,9,1,cluster0
291,1,0,1,1,cluster0
292,1,1,1,1,cluster0
293,1,1,2,1,cluster0
294,1,0,9,1,cluster0
295,1,0,2,1,cluster0
296,1,1,1,1,cluster0
297,1,2,2,1,cluster0
298,1,4,1,1,cluster3
299,1,2,2,1,cluster0
300,1,3,2,1,cluster3
301,1,1,1,1,cluster0
302,1,3,2,1,cluster3
303,1,1,1,1,cluster0
304,1,3,1,1,cluster1
305,1,3,1,1,cluster1
306,1,3,2,1,cluster3
307,1,2,1,1,cluster1
308,1,7,2,1,cluster4
309,1,7,2,1,cluster4
310,1,2,2,1,cluster0
311,1,2,2,1,cluster0
312,1,2,2,1,cluster0
313,1,0,9,1,cluster0
314,1,3,1,1,cluster1
315,1,7,1,1,cluster4
316,1,6,1,1,cluster4
317,1,3,1,1,cluster1
318,1,2,1,1,cluster1
319,1,1,1,1,cluster0
320,1,2,1,1,cluster1
321,1,3,1,1,cluster1
322,1,4,2,1,cluster3
323,1,2,2,1,cluster0
324,1,3,1,1,cluster1
325,1,1,1,1,cluster0
326,1,3,1,1,cluster1
327,1,1,1,1,cluster0
328,1,2,2,1,cluster0
329,1,1,2,1,cluster0
330,1,1,9,1,cluster0
331,1,3,1,1,cluster1
332,1,2,2,1,cluster0
333,1,2,1,1,cluster1
334,1,2,2,1,cluster0
335,1,1,1,1,cluster0
336,1,1,1,1,cluster0
337,1,2,1,1,cluster1
338,1,0,2,1,cluster0
339,1,1,1,1,cluster0
340,1,3,1,1,cluster1
341,1,3,1,1,cluster1
342,1,2,1,1,cluster1
343,1,2,1,1,cluster1
344,1,7,1,1,cluster4
345,1,4,2,1,cluster3
346,1,7,2,1,cluster4
347,1,6,2,1,cluster4
348,1,7,1,1,cluster4
349,1,8,2,1,cluster4
350,1,7,1,1,cluster4
351,1,8,1,1,cluster4
352,1,7,1,1,cluster4
353,1,4,1,1,cluster3
354,1,4,1,1,cluster3
355,1,7,2,1,cluster4
356,1,8,2,1,cluster4
357,1,7,1,1,cluster4
358,1,7,1,1,cluster4
359,1,7,1,1,cluster4
360,1,0,9,1,cluster0
361,1,0,9,1,cluster0
362,1,7,1,1,cluster4
363,1,7,2,1,cluster4
364,1,8,1,1,cluster4
365,1,7,1,1,cluster4
366,1,7,2,1,cluster4
367,1,7,1,1,cluster4
368,1,7,1,1,cluster4
369,1,4,1,1,cluster3
370,1,1,1,1,cluster0
371,1,0,1,1,cluster0
372,1,2,1,1,cluster1
373,1,3,1,1,cluster1
374,1,7,1,1,cluster4
375,1,4,1,1,cluster3
376,1,4,2,1,cluster3
377,1,2,1,1,cluster1
378,1,4,1,1,cluster3
379,1,0,1,1,cluster0
380,1,2,2,1,cluster0
381,1,3,2,1,cluster3
382,1,7,1,1,cluster4
383,1,7,1,1,cluster4
384,1,2,2,1,cluster0
385,1,2,2,1,cluster0
386,1,3,2,1,cluster3
387,1,3,1,1,cluster1
388,1,2,2,1,cluster0
389,1,4,2,1,cluster3
390,1,1,2,1,cluster0
391,1,2,1,1,cluster1
392,1,6,2,1,cluster4
393,1,8,2,1,cluster4
394,1,3,1,1,cluster1
395,1,4,2,1,cluster3
396,1,4,2,1,cluster3
397,1,7,1,1,cluster4
398,1,4,2,1,cluster3
399,1,7,1,1,cluster4
400,1,7,2,1,cluster4
401,1,3,2,1,cluster3
402,1,6,1,1,cluster4
403,1,2,2,1,cluster0
404,1,3,1,1,cluster1
405,1,3,1,1,cluster1
406,1,6,1,1,cluster4
407,1,7,1,1,cluster4
408,1,2,2,1,cluster0
409,1,2,2,1,cluster0
410,1,4,2,1,cluster3
411,1,7,2,1,cluster4
412,1,7,1,1,cluster4
413,1,7,2,1,cluster4
414,1,4,2,1,cluster3
415,1,7,1,1,cluster4
416,1,8,1,1,cluster4
417,1,4,1,1,cluster3
418,1,3,2,1,cluster3
419,1,1,9,1,cluster0
420,1,3,1,1,cluster1
421,1,3,1,1,cluster1
422,1,4,1,1,cluster3
423,1,4,1,1,cluster3
424,1,2,2,1,cluster0
425,1,2,2,1,cluster0
426,1,2,1,1,cluster1
427,1,0,2,1,cluster0
428,1,3,1,1,cluster1
429,1,7,1,1,cluster4
430,1,4,1,1,cluster3
431,1,3,2,1,cluster3
432,1,2,1,1,cluster1
433,1,3,2,1,cluster3
434,1,2,2,1,cluster0
435,1,2,2,1,cluster0
436,1,0,2,1,cluster0
437,1,4,1,1,cluster3
438,1,2,2,1,cluster0
439,1,0,9,1,cluster0
440,1,3,2,1,cluster3
441,1,0,9,1,cluster0
442,1,3,2,1,cluster3
443,1,1,2,1,cluster0
444,1,1,2,1,cluster0
445,1,4,2,1,cluster3
446,1,4,1,1,cluster3
447,1,2,1,1,cluster1
448,1,3,2,1,cluster3
449,1,3,2,1,cluster3
450,1,3,2,1,cluster3
451,1,7,1,1,cluster4
452,1,6,1,1,cluster4
453,1,1,2,1,cluster0
454,1,2,1,1,cluster1
455,1,3,2,1,cluster3
456,1,2,1,1,cluster1
457,1,4,1,1,cluster3
458,1,1,2,1,cluster0
459,1,2,2,1,cluster0
460,1,4,1,1,cluster3
461,1,0,2,1,cluster0
462,1,3,2,1,cluster3
463,1,3,2,1,cluster3
464,1,1,2,1,cluster0
465,1,3,2,1,cluster3
466,1,7,1,1,cluster4
467,1,1,9,1,cluster0
468,1,1,9,1,cluster0
469,1,2,1,1,cluster1
470,1,2,2,1,cluster0
471,1,7,2,1,cluster4
472,1,1,2,1,cluster0
473,1,2,1,1,cluster1
474,1,2,1,1,cluster1
475,1,4,1,1,cluster3
476,1,3,2,1,cluster3
477,1,1,2,1,cluster0
478,1,7,1,1,cluster4
479,1,3,2,1,cluster3
480,1,2,1,1,cluster1
481,1,1,2,1,cluster0
482,1,4,2,1,cluster3
483,1,3,1,1,cluster1
484,1,1,2,1,cluster0
485,1,2,2,1,cluster0
486,1,7,1,1,cluster4
487,1,2,2,1,cluster0
488,1,3,1,1,cluster1
489,1,3,1,1,cluster1
490,1,4,1,1,cluster3
491,1,3,2,1,cluster3
492,1,1,2,1,cluster0
493,1,2,1,1,cluster1
494,1,3,2,1,cluster3
495,1,7,1,1,cluster4
496,1,1,2,1,cluster0
497,1,1,2,1,cluster0
498,1,1,2,1,cluster0
499,1,3,1,1,cluster1
500,1,1,1,1,cluster0
501,1,2,1,1,cluster1
502,1,2,2,1,cluster0
503,1,7,1,1,cluster4
504,1,7,1,1,cluster4
505,1,7,1,1,cluster4
506,1,3,2,1,cluster3
507,1,2,2,1,cluster0
508,1,0,2,1,cluster0
509,1,1,9,1,cluster0
510,1,0,9,1,cluster0
511,1,1,2,1,cluster0
512,1,1,9,1,cluster0
513,1,0,9,1,cluster0
514,1,0,2,1,cluster0
515,1,2,2,1,cluster0
516,1,1,2,1,cluster0
517,1,3,2,1,cluster3
518,1,2,1,1,cluster1
519,1,3,2,1,cluster3
520,1,1,9,1,cluster0
521,1,1,9,1,cluster0
522,1,2,1,1,cluster1
523,1,2,2,1,cluster0
524,1,4,2,1,cluster3
525,1,2,1,1,cluster1
526,1,3,2,1,cluster3
527,1,2,2,1,cluster0
528,1,2,2,1,cluster0
529,1,0,2,1,cluster0
530,1,2,2,1,cluster0
531,1,3,1,1,cluster1
532,1,2,2,1,cluster0
533,1,1,2,1,cluster0
534,1,0,2,1,cluster0
535,1,3,1,1,cluster1
536,1,4,1,1,cluster3
537,1,1,2,1,cluster0
538,1,2,2,1,cluster0
539,1,7,2,1,cluster4
540,1,2,1,1,cluster1
541,1,4,1,1,cluster3
542,1,3,1,1,cluster1
543,1,2,1,1,cluster1
544,1,3,1,1,cluster1
545,1,3,1,1,cluster1
546,1,4,1,1,cluster3
547,1,7,1,1,cluster4
548,1,1,2,1,cluster0
549,1,3,2,1,cluster3
550,1,4,2,1,cluster3
551,1,3,1,1,cluster1
552,1,2,2,1,cluster0
553,1,0,2,1,cluster0
554,1,2,1,1,cluster1
555,1,3,1,1,cluster1
556,1,7,2,1,cluster4
557,1,7,1,1,cluster4
558,1,0,9,1,cluster0
559,1,3,1,1,cluster1
560,1,7,1,1,cluster4
561,1,2,2,1,cluster0
562,1,3,1,1,cluster1
563,1,3,2,1,cluster3
564,1,3,2,1,cluster3
565,1,3,1,1,cluster1
566,1,3,1,1,cluster1
567,1,4,2,1,cluster3
568,1,7,1,1,cluster4
569,1,1,1,1,cluster0
570,1,2,2,1,cluster0
571,1,2,2,1,cluster0
572,1,3,1,1,cluster1
573,1,1,9,1,cluster0
574,1,2,1,1,cluster1
575,1,3,1,1,cluster1
576,1,7,1,1,cluster4
577,1,7,2,1,cluster4
578,1,2,1,1,cluster1
579,1,4,1,1,cluster3
580,1,4,2,1,cluster3
581,1,2,1,1,cluster1
582,1,3,1,1,cluster1
583,1,7,1,1,cluster4
584,1,3,2,1,cluster3
585,1,2,2,1,cluster0
586,1,4,2,1,cluster3
587,1,3,2,1,cluster3
588,1,2,1,1,cluster1
589,1,1,2,1,cluster0
590,1,7,1,1,cluster4
591,1,4,2,1,cluster3
592,1,3,1,1,cluster1
593,1,1,2,1,cluster0
594,1,1,2,1,cluster0
595,1,3,1,1,cluster1
596,1,2,2,1,cluster0
597,1,3,2,1,cluster3
598,1,4,1,1,cluster3
599,1,7,1,1,cluster4
600,1,3,1,1,cluster1
601,1,3,2,1,cluster3
602,1,3,2,1,cluster3
603,1,2,1,1,cluster1
604,1,3,1,1,cluster1
605,1,3,1,1,cluster1
606,1,4,1,1,cluster3
607,1,2,1,1,cluster1
608,1,3,1,1,cluster1
609,1,4,2,1,cluster3
610,1,2,1,1,cluster1
611,1,2,2,1,cluster0
612,1,3,1,1,cluster1
613,1,2,1,1,cluster1
614,1,3,2,1,cluster3
615,1,1,2,1,cluster0
616,1,2,2,1,cluster0
617,1,7,1,1,cluster4
618,1,3,2,1,cluster3
619,1,2,1,1,cluster1
620,1,2,1,1,cluster1
621,1,7,1,1,cluster4
622,1,8,2,1,cluster4
623,1,4,2,1,cluster3
624,1,7,2,1,cluster4
625,1,7,1,1,cluster4
626,1,7,1,1,cluster4
627,1,7,2,1,cluster4
628,1,2,2,1,cluster0
629,1,7,1,1,cluster4
630,1,7,1,1,cluster4
631,1,3,2,1,cluster3
632,1,3,1,1,cluster1
633,1,3,2,1,cluster3
634,1,4,2,1,cluster3
635,1,3,2,1,cluster3
636,1,2,2,1,cluster0
637,1,1,2,1,cluster0
638,1,1,2,1,cluster0
639,1,1,2,1,cluster0
640,1,1,1,1,cluster0
641,1,1,2,1,cluster0
642,1,2,2,1,cluster0
643,1,2,2,1,cluster0
644,1,2,2,1,cluster0
645,1,1,2,1,cluster0
646,1,1,2,1,cluster0
647,1,1,2,1,cluster0
648,1,7,2,1,cluster4
649,1,7,2,1,cluster4
650,1,2,2,1,cluster0
651,1,3,1,1,cluster1
652,1,3,2,1,cluster3
653,1,1,2,1,cluster0
654,1,2,1,1,cluster1
655,1,7,1,1,cluster4
656,1,2,2,1,cluster0
657,1,3,1,1,cluster1
658,1,2,2,1,cluster0
659,1,1,2,1,cluster0
660,1,7,2,1,cluster4
661,1,2,1,1,cluster1
662,1,7,1,1,cluster4
663,1,7,1,1,cluster4
664,1,7,1,1,cluster4
665,1,7,1,1,cluster4
666,1,4,1,1,cluster3
667,1,3,2,1,cluster3
668,1,2,2,1,cluster0
669,1,7,1,1,cluster4
670,1,1,9,1,cluster0
671,1,8,1,1,cluster4
672,1,4,1,1,cluster3
