@relation migracion_v3_clustered

@attribute Instance_number numeric
@attribute zona {1,2,9}
@attribute instruccion {0,1,2,3,4,5,6,7,8,9,99}
@attribute trabajo {1,2,9}
@attribute region {1,2,3,4,5,6,9}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
3042,1,0,1,1,cluster0
3043,1,3,2,1,cluster3
3044,1,3,1,1,cluster1
3045,1,1,2,1,cluster0
3046,1,0,9,1,cluster0
3047,1,2,1,1,cluster1
3048,1,0,1,1,cluster0
3049,1,4,1,1,cluster3
3050,1,3,2,1,cluster3
3051,1,2,1,1,cluster1
3052,1,0,9,1,cluster0
3053,1,2,2,1,cluster0
3054,1,6,1,1,cluster4
3055,1,1,2,1,cluster0
3056,1,3,1,1,cluster1
3057,1,1,2,1,cluster0
3058,1,3,1,1,cluster1
3059,1,3,2,1,cluster3
3060,1,3,2,1,cluster3
3061,1,1,9,1,cluster0
3062,1,1,9,1,cluster0
3063,1,1,2,1,cluster0
3064,1,2,2,1,cluster0
3065,1,4,1,1,cluster3
3066,1,7,1,1,cluster4
3067,1,4,1,1,cluster3
3068,1,2,2,1,cluster0
3069,1,3,2,1,cluster3
3070,1,1,2,1,cluster0
3071,1,1,9,1,cluster0
3072,1,3,1,1,cluster1
3073,1,1,2,1,cluster0
3074,1,3,1,1,cluster1
3075,1,3,2,1,cluster3
3076,1,4,1,1,cluster3
3077,1,7,2,1,cluster4
3078,1,3,2,1,cluster3
3079,1,0,9,1,cluster0
3080,1,1,1,1,cluster0
3081,1,2,1,1,cluster1
3082,1,4,1,1,cluster3
3083,1,0,2,1,cluster0
3084,1,1,2,1,cluster0
3085,1,3,2,1,cluster3
3086,1,7,1,1,cluster4
3087,1,3,1,1,cluster1
3088,1,7,1,1,cluster4
3089,1,2,2,1,cluster0
3090,1,7,1,1,cluster4
3091,1,3,1,1,cluster1
3092,1,2,2,1,cluster0
3093,1,3,2,1,cluster3
3094,1,4,1,1,cluster3
3095,1,2,2,1,cluster0
3096,1,3,1,1,cluster1
3097,1,2,2,1,cluster0
3098,1,1,2,1,cluster0
3099,1,8,1,1,cluster4
3100,1,7,1,1,cluster4
3101,1,7,1,1,cluster4
3102,1,7,1,1,cluster4
3103,1,3,2,1,cluster3
3104,1,7,2,1,cluster4
3105,1,7,1,1,cluster4
3106,1,2,2,1,cluster0
3107,1,7,2,1,cluster4
3108,1,8,2,1,cluster4
3109,1,7,2,1,cluster4
3110,1,7,1,1,cluster4
3111,1,7,1,1,cluster4
3112,1,0,2,1,cluster0
3113,1,0,2,1,cluster0
3114,1,3,1,1,cluster1
3115,1,4,1,1,cluster3
3116,1,3,1,1,cluster1
3117,1,3,1,1,cluster1
3118,1,1,9,1,cluster0
3119,1,0,9,1,cluster0
3120,1,4,2,1,cluster3
3121,1,2,2,1,cluster0
3122,1,4,2,1,cluster3
3123,1,2,2,1,cluster0
3124,1,2,2,1,cluster0
3125,1,2,1,1,cluster1
3126,1,3,2,1,cluster3
3127,1,4,2,1,cluster3
3128,1,8,1,1,cluster4
3129,1,4,2,1,cluster3
3130,1,0,2,1,cluster0
3131,1,4,2,1,cluster3
3132,1,3,1,1,cluster1
3133,1,4,1,1,cluster3
3134,1,1,2,1,cluster0
3135,1,3,1,1,cluster1
3136,1,1,2,1,cluster0
3137,1,3,1,1,cluster1
3138,1,0,9,1,cluster0
3139,1,0,9,1,cluster0
3140,1,3,2,1,cluster3
3141,1,7,1,1,cluster4
3142,1,7,1,1,cluster4
3143,1,2,1,1,cluster1
3144,1,2,2,1,cluster0
3145,1,1,2,1,cluster0
3146,1,1,2,1,cluster0
3147,1,7,1,1,cluster4
3148,1,3,2,1,cluster3
3149,1,7,2,1,cluster4
3150,1,4,1,1,cluster3
3151,1,4,1,1,cluster3
3152,1,0,9,1,cluster0
3153,1,3,2,1,cluster3
3154,1,4,1,1,cluster3
3155,1,3,2,1,cluster3
3156,1,0,2,1,cluster0
3157,1,1,2,1,cluster0
3158,1,2,2,1,cluster0
3159,1,0,9,1,cluster0
3160,1,0,9,1,cluster0
3161,1,8,1,1,cluster4
3162,1,8,1,1,cluster4
3163,1,3,2,1,cluster3
3164,1,2,2,1,cluster0
3165,1,5,2,1,cluster3
3166,1,3,2,1,cluster3
3167,1,2,1,1,cluster1
3168,1,4,1,1,cluster3
3169,1,2,2,1,cluster0
3170,1,2,2,1,cluster0
3171,1,4,1,1,cluster3
3172,1,4,2,1,cluster3
3173,1,2,2,1,cluster0
3174,1,0,9,1,cluster0
3175,1,1,2,1,cluster0
3176,1,2,2,1,cluster0
3177,1,3,1,1,cluster1
3178,1,4,1,1,cluster3
3179,1,3,2,1,cluster3
3180,1,2,1,1,cluster1
3181,1,1,1,1,cluster0
3182,1,2,1,1,cluster1
3183,1,8,1,1,cluster4
3184,1,8,1,1,cluster4
3185,1,7,1,1,cluster4
3186,1,6,2,1,cluster4
3187,1,7,1,1,cluster4
3188,1,7,1,1,cluster4
3189,1,7,2,1,cluster4
3190,1,7,2,1,cluster4
3191,1,7,1,1,cluster4
3192,1,7,2,1,cluster4
3193,1,2,2,1,cluster0
3194,1,2,2,1,cluster0
3195,1,3,1,1,cluster1
3196,1,4,1,1,cluster3
3197,1,3,2,1,cluster3
3198,1,4,1,1,cluster3
3199,1,2,1,1,cluster1
3200,1,2,2,1,cluster0
3201,1,3,1,1,cluster1
3202,1,3,1,1,cluster1
3203,1,3,2,1,cluster3
3204,1,1,2,1,cluster0
3205,1,3,1,1,cluster1
3206,1,2,1,1,cluster1
3207,1,0,2,1,cluster0
3208,1,4,1,1,cluster3
3209,1,0,9,1,cluster0
3210,1,3,1,1,cluster1
3211,1,3,1,1,cluster1
3212,1,1,2,1,cluster0
3213,1,0,9,1,cluster0
3214,1,3,2,1,cluster3
3215,1,3,1,1,cluster1
3216,1,3,2,1,cluster3
3217,1,1,2,1,cluster0
3218,1,2,1,1,cluster1
3219,1,4,1,1,cluster3
3220,1,2,1,1,cluster1
3221,1,3,1,1,cluster1
3222,1,2,2,1,cluster0
3223,1,3,1,1,cluster1
3224,1,3,1,1,cluster1
3225,1,1,1,1,cluster0
3226,1,2,1,1,cluster1
3227,1,3,2,1,cluster3
3228,1,2,2,1,cluster0
3229,1,3,1,1,cluster1
3230,1,2,1,1,cluster1
3231,1,2,1,1,cluster1
3232,1,3,1,1,cluster1
3233,1,2,2,1,cluster0
3234,1,2,2,1,cluster0
3235,1,4,2,1,cluster3
3236,1,7,1,1,cluster4
3237,1,3,1,1,cluster1
3238,1,4,1,1,cluster3
3239,1,3,2,1,cluster3
3240,1,2,1,1,cluster1
3241,1,3,1,1,cluster1
3242,1,3,1,1,cluster1
3243,1,7,1,1,cluster4
3244,1,7,2,1,cluster4
3245,1,7,1,1,cluster4
3246,1,4,1,1,cluster3
3247,1,2,2,1,cluster0
3248,1,3,1,1,cluster1
3249,1,2,2,1,cluster0
3250,1,2,1,1,cluster1
3251,1,2,1,1,cluster1
3252,1,6,1,1,cluster4
3253,1,3,2,1,cluster3
3254,1,3,2,1,cluster3
3255,1,2,2,1,cluster0
3256,1,0,2,1,cluster0
3257,1,2,2,1,cluster0
3258,1,8,2,1,cluster4
3259,1,2,2,1,cluster0
3260,1,4,1,1,cluster3
3261,1,3,2,1,cluster3
3262,1,7,1,1,cluster4
3263,1,1,2,1,cluster0
3264,1,1,2,1,cluster0
3265,1,2,1,1,cluster1
3266,1,2,2,1,cluster0
3267,1,1,2,1,cluster0
3268,1,2,1,1,cluster1
3269,1,7,2,1,cluster4
3270,1,3,2,1,cluster3
3271,1,1,1,1,cluster0
3272,1,2,1,1,cluster1
3273,1,2,1,1,cluster1
3274,1,2,1,1,cluster1
3275,1,1,2,1,cluster0
3276,1,3,1,1,cluster1
3277,1,2,2,1,cluster0
3278,1,1,9,1,cluster0
3279,1,2,1,1,cluster1
3280,1,2,2,1,cluster0
3281,1,7,1,1,cluster4
3282,1,7,2,1,cluster4
3283,1,2,2,1,cluster0
3284,1,3,2,1,cluster3
3285,1,2,2,1,cluster0
3286,1,7,1,1,cluster4
3287,1,4,1,1,cluster3
3288,1,7,1,1,cluster4
3289,1,3,2,1,cluster3
3290,1,4,1,1,cluster3
3291,1,2,2,1,cluster0
3292,1,0,2,1,cluster0
3293,1,3,2,1,cluster3
3294,1,1,2,1,cluster0
3295,1,3,2,1,cluster3
3296,1,1,2,1,cluster0
3297,1,3,2,1,cluster3
3298,1,7,1,1,cluster4
3299,1,3,2,1,cluster3
3300,1,1,1,1,cluster0
3301,1,1,2,1,cluster0
3302,1,1,9,1,cluster0
3303,1,2,1,1,cluster1
3304,1,4,1,1,cluster3
3305,1,4,1,1,cluster3
3306,1,2,1,1,cluster1
3307,1,0,2,1,cluster0
3308,1,2,2,1,cluster0
3309,1,1,1,1,cluster0
3310,1,2,2,1,cluster0
3311,1,4,1,1,cluster3
3312,1,3,2,1,cluster3
3313,1,1,9,1,cluster0
3314,1,2,1,1,cluster1
3315,1,2,2,1,cluster0
3316,1,2,2,1,cluster0
3317,1,2,2,1,cluster0
3318,1,2,1,1,cluster1
3319,1,2,1,1,cluster1
3320,1,3,2,1,cluster3
3321,1,3,2,1,cluster3
3322,1,2,1,1,cluster1
3323,1,1,2,1,cluster0
3324,1,1,2,1,cluster0
3325,1,1,2,1,cluster0
3326,1,7,1,1,cluster4
3327,1,8,1,1,cluster4
3328,1,3,1,1,cluster1
3329,1,4,1,1,cluster3
3330,1,7,1,1,cluster4
3331,1,3,2,1,cluster3
3332,1,4,1,1,cluster3
3333,1,7,1,1,cluster4
3334,1,2,2,1,cluster0
3335,1,2,1,1,cluster1
3336,1,2,1,1,cluster1
3337,1,4,1,1,cluster3
3338,1,2,2,1,cluster0
3339,1,7,2,1,cluster4
3340,1,4,2,1,cluster3
3341,1,2,1,1,cluster1
3342,1,1,2,1,cluster0
3343,1,3,1,1,cluster1
3344,1,4,2,1,cluster3
3345,1,3,1,1,cluster1
3346,1,3,1,1,cluster1
3347,1,2,2,1,cluster0
3348,1,1,9,1,cluster0
3349,1,0,9,1,cluster0
3350,1,4,1,1,cluster3
3351,1,5,2,1,cluster3
3352,1,3,2,1,cluster3
3353,1,2,2,1,cluster0
3354,1,2,1,1,cluster1
3355,1,3,2,1,cluster3
3356,1,7,1,1,cluster4
3357,1,2,2,1,cluster0
3358,1,3,1,1,cluster1
3359,1,1,9,1,cluster0
3360,1,1,9,1,cluster0
3361,1,3,1,1,cluster1
3362,1,2,2,1,cluster0
3363,1,1,2,1,cluster0
3364,1,1,2,1,cluster0
3365,1,1,1,1,cluster0
3366,1,4,2,1,cluster3
3367,1,2,2,1,cluster0
3368,1,4,1,1,cluster3
3369,1,4,1,1,cluster3
3370,1,3,1,1,cluster1
3371,1,4,2,1,cluster3
3372,1,3,1,1,cluster1
3373,1,3,2,1,cluster3
3374,1,3,1,1,cluster1
3375,1,3,1,1,cluster1
3376,1,3,1,1,cluster1
3377,1,2,2,1,cluster0
3378,1,4,1,1,cluster3
3379,1,3,1,1,cluster1
3380,1,2,2,1,cluster0
3381,1,4,2,1,cluster3
3382,1,4,1,1,cluster3
3383,1,3,1,1,cluster1
3384,1,2,2,1,cluster0
3385,1,2,1,1,cluster1
3386,1,2,1,1,cluster1
3387,1,7,1,1,cluster4
3388,1,2,2,1,cluster0
3389,1,7,1,1,cluster4
3390,1,2,2,1,cluster0
3391,1,1,1,1,cluster0
3392,1,7,2,1,cluster4
3393,1,4,1,1,cluster3
3394,1,2,2,1,cluster0
3395,1,1,2,1,cluster0
3396,1,4,1,1,cluster3
3397,1,1,1,1,cluster0
3398,1,1,2,1,cluster0
3399,1,4,2,1,cluster3
3400,1,3,2,1,cluster3
3401,1,1,2,1,cluster0
3402,1,3,2,1,cluster3
3403,1,2,2,1,cluster0
3404,1,4,1,1,cluster3
3405,1,0,9,1,cluster0
3406,1,2,2,1,cluster0
3407,1,4,2,1,cluster3
3408,1,2,1,1,cluster1
3409,1,2,1,1,cluster1
3410,1,3,1,1,cluster1
3411,1,4,1,1,cluster3
3412,1,2,1,1,cluster1
3413,1,1,2,1,cluster0
3414,1,2,2,1,cluster0
3415,1,1,1,1,cluster0
3416,1,1,2,1,cluster0
3417,1,1,2,1,cluster0
3418,1,3,2,1,cluster3
3419,1,3,2,1,cluster3
3420,1,0,9,1,cluster0
3421,1,7,2,1,cluster4
3422,1,7,2,1,cluster4
3423,1,1,9,1,cluster0
3424,1,2,2,1,cluster0
3425,1,2,2,1,cluster0
3426,1,7,1,1,cluster4
3427,1,7,1,1,cluster4
3428,1,7,2,1,cluster4
3429,1,7,1,1,cluster4
3430,1,2,2,1,cluster0
3431,1,8,2,1,cluster4
3432,1,7,1,1,cluster4
3433,1,7,1,1,cluster4
3434,1,7,2,1,cluster4
3435,1,7,1,1,cluster4
3436,1,4,1,1,cluster3
3437,1,7,2,1,cluster4
3438,1,7,2,1,cluster4
3439,1,4,2,1,cluster3
3440,1,4,1,1,cluster3
3441,1,3,2,1,cluster3
3442,1,2,2,1,cluster0
3443,1,2,2,1,cluster0
3444,1,7,1,1,cluster4
3445,1,4,1,1,cluster3
3446,1,2,1,1,cluster1
3447,1,1,2,1,cluster0
3448,1,1,1,1,cluster0
3449,1,7,1,1,cluster4
3450,1,4,2,1,cluster3
3451,1,8,1,1,cluster4
3452,1,7,1,1,cluster4
3453,1,1,9,1,cluster0
3454,1,8,1,1,cluster4
3455,1,3,1,1,cluster1
3456,1,2,1,1,cluster1
3457,1,2,2,1,cluster0
3458,1,1,2,1,cluster0
3459,1,1,2,1,cluster0
3460,1,7,1,1,cluster4
3461,1,7,1,1,cluster4
3462,1,2,1,1,cluster1
3463,1,4,1,1,cluster3
3464,1,3,2,1,cluster3
3465,1,1,2,1,cluster0
3466,1,2,2,1,cluster0
3467,1,2,1,1,cluster1
3468,1,2,1,1,cluster1
3469,1,1,9,1,cluster0
3470,1,2,2,1,cluster0
3471,1,2,2,1,cluster0
3472,1,4,2,1,cluster3
3473,1,7,2,1,cluster4
3474,1,7,2,1,cluster4
3475,1,3,1,1,cluster1
3476,1,4,2,1,cluster3
3477,1,1,2,1,cluster0
3478,1,3,2,1,cluster3
3479,1,4,1,1,cluster3
3480,1,1,2,1,cluster0
3481,1,1,9,1,cluster0
3482,1,2,1,1,cluster1
3483,1,2,1,1,cluster1
3484,1,2,1,1,cluster1
3485,1,2,1,1,cluster1
3486,1,2,2,1,cluster0
3487,1,2,2,1,cluster0
3488,1,2,2,1,cluster0
3489,1,2,2,1,cluster0
3490,1,1,9,1,cluster0
3491,1,7,2,1,cluster4
3492,1,7,2,1,cluster4
3493,1,7,1,1,cluster4
3494,1,7,1,1,cluster4
3495,1,3,2,1,cluster3
3496,1,1,9,1,cluster0
3497,1,4,1,1,cluster3
3498,1,0,9,1,cluster0
3499,1,1,2,1,cluster0
3500,1,2,2,1,cluster0
3501,1,2,2,1,cluster0
3502,1,2,2,1,cluster0
3503,1,3,1,1,cluster1
3504,1,2,2,1,cluster0
3505,1,4,1,1,cluster3
3506,1,7,1,1,cluster4
3507,1,7,1,1,cluster4
3508,1,1,2,1,cluster0
3509,1,1,1,1,cluster0
3510,1,2,1,1,cluster1
3511,1,4,1,1,cluster3
3512,1,3,1,1,cluster1
3513,1,4,1,1,cluster3
3514,1,7,2,1,cluster4
3515,1,7,1,1,cluster4
3516,1,7,2,1,cluster4
3517,1,1,9,1,cluster0
3518,1,2,2,1,cluster0
3519,1,7,1,1,cluster4
3520,1,1,2,1,cluster0
3521,1,4,1,1,cluster3
3522,1,8,1,1,cluster4
3523,1,7,1,1,cluster4
3524,1,7,1,1,cluster4
3525,1,7,2,1,cluster4
3526,1,7,1,1,cluster4
3527,1,8,1,1,cluster4
3528,1,6,1,1,cluster4
3529,1,7,2,1,cluster4
3530,1,4,1,1,cluster3
3531,1,3,2,1,cluster3
3532,1,7,1,1,cluster4
3533,1,3,1,1,cluster1
3534,1,4,1,1,cluster3
3535,1,1,2,1,cluster0
3536,1,7,2,1,cluster4
3537,1,4,2,1,cluster3
3538,1,7,2,1,cluster4
3539,1,7,2,1,cluster4
3540,1,7,1,1,cluster4
3541,1,7,2,1,cluster4
3542,1,4,1,1,cluster3
3543,1,1,1,1,cluster0
3544,1,7,1,1,cluster4
3545,1,7,1,1,cluster4
3546,1,7,2,1,cluster4
3547,1,4,1,1,cluster3
3548,1,3,2,1,cluster3
3549,1,2,2,1,cluster0
3550,1,4,1,1,cluster3
3551,1,7,1,1,cluster4
3552,1,7,2,1,cluster4
3553,1,7,1,1,cluster4
3554,1,7,1,1,cluster4
3555,1,7,2,1,cluster4
3556,1,2,1,1,cluster1
3557,1,4,1,1,cluster3
3558,1,7,1,1,cluster4
3559,1,3,1,1,cluster1
3560,1,1,2,1,cluster0
3561,1,3,1,1,cluster1
3562,1,3,2,1,cluster3
3563,1,0,1,1,cluster0
3564,1,1,2,1,cluster0
3565,1,1,2,1,cluster0
3566,1,7,1,1,cluster4
3567,1,2,1,1,cluster1
3568,1,2,1,1,cluster1
3569,1,2,2,1,cluster0
3570,1,3,2,1,cluster3
3571,1,3,1,1,cluster1
3572,1,4,2,1,cluster3
3573,1,1,1,1,cluster0
3574,1,1,2,1,cluster0
3575,1,7,2,1,cluster4
3576,1,7,1,1,cluster4
3577,1,1,1,1,cluster0
3578,1,2,1,1,cluster1
3579,1,1,2,1,cluster0
3580,1,2,1,1,cluster1
3581,1,2,2,1,cluster0
3582,1,1,2,1,cluster0
3583,1,4,1,1,cluster3
3584,1,7,1,1,cluster4
3585,1,1,2,1,cluster0
3586,1,2,1,1,cluster1
3587,1,3,2,1,cluster3
3588,1,1,9,1,cluster0
3589,1,1,9,1,cluster0
3590,1,0,9,1,cluster0
3591,1,0,9,1,cluster0
3592,1,1,9,1,cluster0
3593,1,0,9,1,cluster0
3594,1,7,1,1,cluster4
3595,1,2,1,1,cluster1
3596,1,1,1,1,cluster0
3597,1,2,1,1,cluster1
3598,1,1,1,1,cluster0
3599,1,2,2,1,cluster0
3600,1,2,2,1,cluster0
3601,1,3,1,1,cluster1
3602,1,4,2,1,cluster3
3603,1,4,2,1,cluster3
3604,1,4,2,1,cluster3
3605,1,0,9,1,cluster0
3606,1,2,1,1,cluster1
3607,1,3,1,1,cluster1
3608,1,7,1,1,cluster4
3609,1,0,2,1,cluster0
3610,1,2,2,1,cluster0
3611,1,2,2,1,cluster0
3612,1,7,1,1,cluster4
3613,1,7,2,1,cluster4
3614,1,1,2,1,cluster0
3615,1,6,2,1,cluster4
3616,1,0,2,1,cluster0
3617,1,3,2,1,cluster3
3618,1,7,1,1,cluster4
3619,1,4,2,1,cluster3
3620,1,4,1,1,cluster3
3621,1,8,1,1,cluster4
3622,1,4,1,1,cluster3
3623,1,2,1,1,cluster1
3624,1,1,2,1,cluster0
3625,1,4,1,1,cluster3
3626,1,2,1,1,cluster1
3627,1,1,2,1,cluster0
3628,1,3,2,1,cluster3
3629,1,3,2,1,cluster3
3630,1,1,9,1,cluster0
3631,1,1,1,1,cluster0
3632,1,7,1,1,cluster4
3633,1,4,2,1,cluster3
3634,1,0,2,1,cluster0
3635,1,3,1,1,cluster1
3636,1,4,2,1,cluster3
3637,1,1,2,1,cluster0
3638,1,4,1,1,cluster3
3639,1,2,1,1,cluster1
3640,1,7,1,1,cluster4
3641,1,3,2,1,cluster3
3642,1,0,9,1,cluster0
3643,1,2,2,1,cluster0
3644,1,5,2,1,cluster3
3645,1,7,2,1,cluster4
3646,1,0,2,1,cluster0
3647,1,7,2,1,cluster4
3648,1,7,2,1,cluster4
3649,1,1,2,1,cluster0
3650,1,3,1,1,cluster1
3651,1,4,1,1,cluster3
3652,1,7,2,1,cluster4
3653,1,0,2,1,cluster0
3654,1,2,2,1,cluster0
3655,1,1,2,1,cluster0
3656,1,0,9,1,cluster0
3657,1,4,1,1,cluster3
3658,1,1,2,1,cluster0
3659,1,4,2,1,cluster3
3660,1,1,2,1,cluster0
3661,1,1,2,1,cluster0
3662,1,4,1,1,cluster3
3663,1,2,2,1,cluster0
3664,1,4,1,1,cluster3
3665,1,3,1,1,cluster1
3666,1,2,2,1,cluster0
3667,1,3,2,1,cluster3
3668,1,3,2,1,cluster3
3669,1,2,1,1,cluster1
3670,1,4,1,1,cluster3
3671,1,7,1,1,cluster4
3672,1,7,2,1,cluster4
3673,1,4,1,1,cluster3
3674,1,4,1,1,cluster3
3675,1,3,2,1,cluster3
3676,1,0,9,1,cluster0
3677,1,0,9,1,cluster0
3678,1,1,2,1,cluster0
3679,1,3,1,1,cluster1
3680,1,0,2,1,cluster0
3681,1,1,2,1,cluster0
3682,1,3,1,1,cluster1
3683,1,1,1,1,cluster0
3684,1,3,1,1,cluster1
3685,1,1,9,1,cluster0
3686,1,2,2,1,cluster0
3687,1,2,1,1,cluster1
3688,1,3,2,1,cluster3
3689,1,7,1,1,cluster4
3690,1,7,1,1,cluster4
3691,1,3,1,1,cluster1
3692,1,7,1,1,cluster4
3693,1,2,2,1,cluster0
3694,1,3,1,1,cluster1
3695,1,3,2,1,cluster3
3696,1,3,2,1,cluster3
3697,1,1,2,1,cluster0
3698,1,2,1,1,cluster1
3699,1,3,2,1,cluster3
3700,1,4,1,1,cluster3
3701,1,4,1,1,cluster3
3702,1,2,1,1,cluster1
3703,1,3,2,1,cluster3
3704,1,4,2,1,cluster3
3705,1,3,2,1,cluster3
3706,1,3,1,1,cluster1
3707,1,3,1,1,cluster1
3708,1,3,1,1,cluster1
3709,1,4,2,1,cluster3
3710,1,4,2,1,cluster3
3711,1,7,1,1,cluster4
3712,1,0,2,1,cluster0
3713,1,7,1,1,cluster4
3714,1,7,1,1,cluster4
3715,1,2,1,1,cluster1
3716,1,2,2,1,cluster0
3717,1,3,1,1,cluster1
3718,1,2,2,1,cluster0
3719,1,2,2,1,cluster0
3720,1,3,1,1,cluster1
3721,1,0,9,1,cluster0
3722,1,0,9,1,cluster0
3723,1,0,9,1,cluster0
3724,1,2,1,1,cluster1
3725,1,2,2,1,cluster0
3726,1,4,2,1,cluster3
3727,1,2,2,1,cluster0
3728,1,4,1,1,cluster3
3729,1,2,1,1,cluster1
3730,1,2,2,1,cluster0
3731,1,2,2,1,cluster0
3732,1,2,2,1,cluster0
3733,1,1,2,1,cluster0
3734,1,1,2,1,cluster0
3735,1,7,1,1,cluster4
3736,1,2,1,1,cluster1
3737,1,2,2,1,cluster0
3738,1,2,2,1,cluster0
3739,1,7,2,1,cluster4
3740,1,2,1,1,cluster1
3741,1,3,1,1,cluster1
3742,1,2,2,1,cluster0
3743,1,1,9,1,cluster0
3744,1,1,9,1,cluster0
3745,1,3,1,1,cluster1
3746,1,4,1,1,cluster3
3747,1,1,2,1,cluster0
3748,1,7,2,1,cluster4
3749,1,3,2,1,cluster3
3750,1,1,9,1,cluster0
3751,1,2,2,1,cluster0
3752,1,4,1,1,cluster3
3753,1,2,1,1,cluster1
3754,1,2,1,1,cluster1
3755,1,3,2,1,cluster3
3756,1,2,1,1,cluster1
3757,1,1,2,1,cluster0
3758,1,0,2,1,cluster0
3759,1,2,1,1,cluster1
3760,1,2,2,1,cluster0
3761,1,3,1,1,cluster1
3762,1,4,2,1,cluster3
3763,1,3,2,1,cluster3
3764,1,4,1,1,cluster3
3765,1,1,1,1,cluster0
3766,1,3,1,1,cluster1
3767,1,1,2,1,cluster0
3768,1,3,2,1,cluster3
3769,1,3,2,1,cluster3
3770,1,1,2,1,cluster0
3771,1,3,1,1,cluster1
3772,1,3,2,1,cluster3
3773,1,3,1,1,cluster1
3774,1,2,1,1,cluster1
3775,1,4,1,1,cluster3
3776,1,4,2,1,cluster3
3777,1,2,1,1,cluster1
3778,1,4,2,1,cluster3
3779,1,3,1,1,cluster1
3780,1,7,1,1,cluster4
3781,1,7,1,1,cluster4
3782,1,3,1,1,cluster1
3783,1,3,2,1,cluster3
3784,1,1,2,1,cluster0
3785,1,7,1,1,cluster4
3786,1,4,2,1,cluster3
3787,1,2,2,1,cluster0
3788,1,2,2,1,cluster0
3789,1,0,1,1,cluster0
3790,1,3,1,1,cluster1
3791,1,4,2,1,cluster3
3792,1,2,1,1,cluster1
3793,1,2,2,1,cluster0
3794,1,7,2,1,cluster4
3795,1,3,1,1,cluster1
3796,1,2,2,1,cluster0
3797,1,4,2,1,cluster3
3798,1,2,1,1,cluster1
3799,1,2,2,1,cluster0
3800,1,1,2,1,cluster0
3801,1,2,1,1,cluster1
3802,1,1,2,1,cluster0
3803,1,3,2,1,cluster3
3804,1,2,1,1,cluster1
3805,1,0,2,1,cluster0
3806,1,1,2,1,cluster0
3807,1,2,2,1,cluster0
3808,1,3,1,1,cluster1
3809,1,2,2,1,cluster0
3810,1,1,2,1,cluster0
3811,1,1,9,1,cluster0
3812,1,7,1,1,cluster4
3813,1,0,2,1,cluster0
3814,1,1,2,1,cluster0
3815,1,2,1,1,cluster1
3816,1,3,2,1,cluster3
3817,1,2,2,1,cluster0
3818,1,1,9,1,cluster0
3819,1,1,2,1,cluster0
3820,1,7,1,1,cluster4
3821,1,3,1,1,cluster1
3822,1,0,2,1,cluster0
3823,1,3,1,1,cluster1
3824,1,1,2,1,cluster0
3825,1,1,1,1,cluster0
3826,1,2,2,1,cluster0
3827,1,3,1,1,cluster1
3828,1,2,2,1,cluster0
3829,1,1,9,1,cluster0
3830,1,0,9,1,cluster0
3831,1,2,1,1,cluster1
3832,1,2,2,1,cluster0
3833,1,7,1,1,cluster4
3834,1,7,1,1,cluster4
3835,1,3,2,1,cluster3
3836,1,3,2,1,cluster3
3837,1,7,2,1,cluster4
3838,1,2,2,1,cluster0
3839,1,7,2,1,cluster4
3840,1,7,1,1,cluster4
3841,1,7,2,1,cluster4
3842,1,0,2,1,cluster0
3843,1,7,2,1,cluster4
3844,1,2,1,1,cluster1
3845,1,6,2,1,cluster4
3846,1,3,2,1,cluster3
3847,1,3,1,1,cluster1
3848,1,2,2,1,cluster0
3849,1,2,1,1,cluster1
3850,1,4,2,1,cluster3
3851,1,2,2,1,cluster0
3852,1,4,2,1,cluster3
3853,1,4,1,1,cluster3
3854,1,4,1,1,cluster3
3855,1,8,1,1,cluster4
3856,1,7,2,1,cluster4
3857,1,7,2,1,cluster4
3858,1,3,2,1,cluster3
3859,1,3,2,1,cluster3
3860,1,1,9,1,cluster0
3861,1,0,9,1,cluster0
3862,1,0,9,1,cluster0
3863,1,2,1,1,cluster1
3864,1,3,1,1,cluster1
3865,1,3,2,1,cluster3
3866,1,3,2,1,cluster3
3867,1,1,2,1,cluster0
3868,1,3,1,1,cluster1
3869,1,4,2,1,cluster3
3870,1,1,2,1,cluster0
3871,1,1,2,1,cluster0
3872,1,7,1,1,cluster4
3873,1,3,2,1,cluster3
3874,1,1,2,1,cluster0
3875,1,4,1,1,cluster3
3876,1,7,2,1,cluster4
3877,1,4,1,1,cluster3
3878,1,1,2,1,cluster0
3879,1,0,9,1,cluster0
3880,1,0,9,1,cluster0
3881,1,4,2,1,cluster3
3882,1,3,1,1,cluster1
3883,1,1,1,1,cluster0
3884,1,1,2,1,cluster0
3885,1,1,2,1,cluster0
3886,1,2,2,1,cluster0
3887,1,1,2,1,cluster0
3888,1,1,1,1,cluster0
3889,1,2,2,1,cluster0
3890,1,4,1,1,cluster3
3891,1,4,1,1,cluster3
3892,1,1,9,1,cluster0
3893,1,2,1,1,cluster1
3894,1,2,2,1,cluster0
3895,1,2,1,1,cluster1
3896,1,7,1,1,cluster4
3897,1,2,1,1,cluster1
3898,1,3,2,1,cluster3
3899,1,3,2,1,cluster3
3900,1,3,2,1,cluster3
3901,1,4,2,1,cluster3
3902,1,0,9,1,cluster0
3903,1,3,1,1,cluster1
3904,1,3,2,1,cluster3
3905,1,2,2,1,cluster0
3906,1,1,1,1,cluster0
