0,0,1.3424226808,0,0,0,0
0,0,1.7708520116,0.3010299957,0,0,0.4771212547
0,0,1.591064607,0,0,0.6020599913,0
0.6020599913,0.3010299957,1.4771212547,0.6020599913,0.6020599913,0.4771212547,0.3010299957
0.6989700043,0,1.4313637642,0,0.6989700043,0.6020599913,0
0,0,1.531478917,0,0,0.3010299957,0
0.6020599913,0.3010299957,1.7242758696,0.6020599913,0.6020599913,0,0
0,0,1.361727836,0,0,0.6020599913,0
0,0,1.531478917,0,0,0.6020599913,0
0.7781512504,0,1.4913616938,0.7781512504,0.7781512504,0.4771212547,0
0,0.3010299957,1.414973348,0,0,0,0.4771212547
0.7781512504,0,1.361727836,0,0.7781512504,0,0.4771212547
0.4771212547,0,1.361727836,0,0.4771212547,0,0
0,0,1.6334684556,0.9542425094,0,0,0
0,0,1.7558748557,0,0,0.4771212547,0
0,0.3010299957,1.7558748557,0.4771212547,0,0.4771212547,0.4771212547
0,0,1.7923916895,0,0,0,0.4771212547
0.6020599913,0,1.4771212547,0.6020599913,0.6020599913,0.6020599913,0
0.6989700043,0.3010299957,1.2304489214,0.6989700043,0.6989700043,0,0.4771212547
0.7781512504,0.3010299957,1.4313637642,0.7781512504,0.7781512504,0,0
0,0.3010299957,1.361727836,0,0,0.3010299957,0
0.6020599913,0,1.5563025008,0.6020599913,0.6020599913,0.3010299957,0
0,0,1.8692317197,0,0,0,0.4771212547
0.6020599913,0,1.7075701761,0,0.6020599913,0,0
0.3010299957,0.3010299957,1.8573324964,0.3010299957,0.3010299957,0.4771212547,0.4771212547
0.7781512504,0.3010299957,1.5185139399,0.3010299957,0.7781512504,0,0.4771212547
0,0,1.4771212547,0,0,0.7781512504,0
0.6989700043,0.3010299957,1.6127838567,0.3010299957,0.6989700043,0.6020599913,0
0,0,1.4913616938,0.4771212547,0,0,0
0,0,1.3802112417,0,0,0.4771212547,0.3010299957
0.7781512504,0,1.4771212547,0,0.6989700043,0.4771212547,0
0,0,1.6020599913,0.4771212547,0,0.4771212547,0
0,0,1.5185139399,0.4771212547,0,0.7781512504,0
0,0,1.4313637642,0.6989700043,0,0.6020599913,0.3010299957
0,0,1.4913616938,0,0,0,0
0.4771212547,0.3010299957,1.6812412374,0.3010299957,0.4771212547,0,0
0,0,1.414973348,0.3010299957,0,0,0
0,0,1.8920946027,0,0,0.7781512504,0.4771212547
