int_date,live1,reg,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,Twitter,Instagram,Pinterest,Facebook,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_LinkedIn,Freq_Facebook,amount_books_read,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,marital,par,kidage1,educ2,emplnw,inc,usr,state,weight,standwt
31016,3,3,1,2,1,2,1,3,1,2,8,8,1,0,0,0,0,5,75,1,2,2,2,2,0,0,0,1,0,0,0,0,0,2,1,1,2,74,1,2,0,4,3,99,R,53,1.65625,0.5462050615
31016,1,3,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,6,1,2,2,3,3,0,0,0,8,0,0,0,0,0,0,3,3,2,67,6,2,0,7,3,1,U,36,2.78125,0.9172122731
31016,1,1,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,6,1,2,2,1,3,3,0,0,8,1,2,2,2,2,2,1,1,2,79,5,2,0,3,2,99,U,36,6.9375,2.2878778048
31016,4,1,2,1,2,0,2,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,1,2,68,1,2,0,2,3,4,R,37,2.96875,0.9790468083
31016,2,1,1,1,1,2,1,2,1,2,2,2,1,0,0,0,3,6,25,1,1,1,1,2,4,0,0,2,1,2,2,1,1,1,2,1,2,50,2,2,0,8,1,9,S,51,1.90625,0.6286511085
31016,3,1,1,1,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,2,3,2,2,50,6,2,0,5,1,7,U,19,3.59375,1.1851619259
31016,4,1,2,2,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,4,4,2,84,5,2,0,3,3,99,R,51,1.78125,0.587428085
31016,2,3,1,1,1,2,1,2,1,1,1,2,1,1,1,0,0,3,10,1,2,1,3,3,0,0,0,2,0,0,0,0,0,0,3,2,1,17,6,2,0,2,4,98,S,29,3.6875,1.2160791935
31016,2,2,1,1,1,1,1,2,2,2,2,2,1,0,0,0,0,3,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,2,1,1,52,6,2,0,4,4,1,S,45,2.28125,0.752320179
31016,2,1,1,1,1,2,1,2,1,2,2,2,2,0,0,0,0,0,1,1,2,2,3,2,0,0,0,1,0,0,0,0,0,0,2,2,1,58,1,2,0,6,1,8,S,51,1,0.3297841881
