int_date,sex,eminuse,intmob,snsint,home3nw,bbhome1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,Twitter,Instagram,Pinterest,Facebook,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_LinkedIn,Freq_Facebook,amount_books_read,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,age,marital,parent,Kidage_17,educ2,emplnw,inc,usr,state,density,weight,standwt
41015,1,1,1,1,1,2,1,1,1,2,2,2,1,0,0,0,0,2,12,1,2,1,2,3,0,0,0,1,0,0,0,0,0,2,2,8,72,3,2,0,8,3,98,R,26,2,1.9142857143,0.6867958249
41015,1,1,1,2,1,2,1,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,8,0,0,0,0,0,2,3,1,54,3,2,0,5,1,9,S,12,2,3.7714285714,1.353090282
41015,1,1,1,1,1,2,1,3,1,2,2,2,1,0,0,0,0,2,2,1,2,2,2,3,0,0,0,2,0,0,0,0,0,1,3,2,26,2,1,4,3,1,4,U,26,2,2.1428571429,0.7688012966
41015,1,2,1,1,1,1,1,3,1,2,2,2,1,0,0,0,0,6,3,1,2,2,3,3,0,0,0,2,0,0,0,0,0,0,3,3,20,2,2,0,3,4,1,S,25,4,4.0285714286,1.4453464376
41015,1,1,1,1,1,2,1,3,1,1,1,2,2,3,2,0,0,0,10,1,2,2,1,1,3,3,4,1,2,2,2,2,1,2,1,1,17,6,2,0,2,3,5,U,39,4,2.6857142857,0.9635642917
40915,2,1,1,1,1,2,1,2,1,2,2,1,1,0,0,5,0,1,10,1,1,1,1,2,4,0,0,8,1,2,2,2,2,2,2,1,39,1,2,0,5,1,7,R,37,2,3.6857142857,1.3223382301
40915,2,2,2,2,0,0,9,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,0,0,0,1,0,0,0,0,0,2,1,3,67,1,2,0,3,6,2,S,45,3,2.6,0.9328122398
40915,2,1,1,1,1,2,1,3,1,2,2,2,1,0,0,0,0,1,0,0,0,0,1,3,3,0,0,8,1,2,2,2,2,1,2,2,37,6,2,0,5,4,1,S,26,2,5.5142857143,1.9783820032
40915,1,1,1,1,1,2,1,3,1,2,1,2,1,0,2,0,0,3,5,2,2,2,2,3,0,0,0,2,0,0,0,0,0,2,2,1,16,6,2,0,2,7,98,U,1,3,3.4285714286,1.2300820745
40715,1,1,1,1,1,2,1,2,1,2,2,2,1,0,0,0,0,6,5,2,1,1,1,3,3,0,0,8,1,1,1,2,2,1,2,1,43,1,1,2,3,4,8,S,12,4,2.5714285714,0.9225615559
40715,1,1,1,1,1,2,1,2,1,1,1,2,1,1,3,0,0,2,7,1,2,1,1,1,4,3,4,1,1,2,1,2,2,2,1,1,43,1,1,5,8,1,8,U,49,2,2.5428571429,0.9123108719
41115,1,2,2,2,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,2,1,1,60,5,2,0,1,1,1,S,6,4,3.1714285714,1.1378259189
40715,2,1,1,1,1,2,1,2,1,2,1,2,1,0,1,0,0,1,6,1,2,2,2,3,0,0,0,2,0,0,0,0,0,1,3,2,26,1,1,1,6,1,5,U,37,3,2.2,0.7893026645
40915,2,2,2,2,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,2,1,1,47,1,2,0,1,4,2,S,48,5,4.8,1.7221149043
40715,2,1,1,2,1,1,1,3,1,2,2,2,1,0,0,0,0,5,0,0,0,0,1,3,4,0,0,1,2,1,2,2,2,2,2,1,37,1,1,1,6,3,98,U,48,2,1.4285714286,0.5125341977
40715,2,2,1,1,2,0,8,3,2,2,2,2,1,0,0,0,0,3,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,3,50,6,2,0,3,1,98,U,26,3,3.6857142857,1.3223382301
40715,2,1,1,1,1,2,1,2,1,2,1,1,1,0,2,1,0,3,10,1,1,2,1,1,3,4,4,8,1,1,2,2,2,2,2,1,39,1,1,3,3,2,6,S,39,5,3.7428571429,1.342839598
40715,2,1,2,2,1,2,2,3,1,2,2,2,2,0,0,0,0,0,40,1,1,2,1,3,3,0,0,8,1,2,2,2,2,1,2,1,77,5,2,0,5,3,99,S,25,4,1.8571428571,0.666294457
40615,1,1,1,1,1,2,1,1,1,2,2,2,1,0,0,0,0,1,5,1,2,1,1,3,4,0,0,2,1,2,2,2,2,2,2,2,50,1,1,2,3,1,9,S,45,2,2.4,0.8610574522
40715,1,1,1,2,1,4,1,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,3,1,50,1,2,0,3,1,2,U,12,4,3.2571428571,1.1685779708
40615,1,1,1,1,1,2,1,2,1,1,2,2,1,2,0,0,0,2,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,2,3,1,34,1,1,1,3,4,6,R,20,1,2.2,0.7893026645
40615,2,1,1,1,1,2,1,1,1,1,1,1,1,6,5,6,0,1,20,2,2,2,2,3,0,0,0,8,0,0,0,0,0,2,3,2,62,1,2,0,8,3,4,S,47,4,2.3714285714,0.8508067682
40615,2,1,1,1,1,2,1,3,1,2,2,2,1,0,0,0,0,2,3,1,2,2,2,3,0,0,0,1,0,0,0,0,0,2,3,1,52,1,2,0,3,1,7,S,36,3,4.6571428571,1.6708614846
40615,1,1,1,1,1,2,1,3,1,1,2,2,1,5,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,2,2,1,2,2,32,2,1,6,3,1,3,U,22,1,2.0571428571,0.7380492447
40615,1,2,2,2,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,1,75,1,2,0,2,3,5,S,36,3,2.7142857143,0.9738149757
40615,2,2,2,2,0,0,1,3,2,0,0,0,0,0,0,0,0,0,35,1,2,2,3,3,0,0,0,1,0,0,0,0,0,0,3,1,71,1,2,0,3,3,6,S,55,1,2,0.7175478768
40715,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,16,1,2,2,1,3,3,0,0,2,2,2,1,2,2,1,2,2,36,2,1,4,2,4,5,S,12,4,5.5714285714,1.9988833711
40615,1,1,1,2,1,2,1,1,1,2,2,2,1,0,0,0,0,2,24,1,1,1,1,1,3,4,4,2,2,2,2,2,1,2,2,1,73,1,2,0,6,1,8,S,51,5,1.8571428571,0.666294457
40615,1,1,1,1,1,1,1,3,1,2,2,2,1,0,0,0,0,2,30,1,2,2,1,1,2,3,4,1,1,1,1,2,2,1,2,2,19,6,2,0,3,4,3,S,12,3,2.8,1.0045670275
40615,1,1,1,1,1,2,1,2,1,1,2,2,1,1,0,0,0,1,2,1,2,1,2,3,0,0,0,8,0,0,0,0,0,2,3,2,33,1,2,0,6,1,7,R,24,2,2.5142857143,0.902060188
40615,2,1,1,1,1,2,1,1,1,2,2,2,1,0,0,0,0,6,20,1,2,1,1,3,4,0,0,8,2,1,2,2,2,2,2,1,54,1,2,0,8,3,7,U,42,4,2.6857142857,0.9635642917
40615,1,1,1,2,1,2,1,2,1,2,2,2,2,0,0,0,0,0,2,1,2,2,3,3,0,0,0,1,0,0,0,0,0,0,3,1,60,5,2,0,4,3,99,S,36,2,4.5142857143,1.6196080648
40615,2,2,2,2,0,0,8,3,2,0,0,0,0,0,0,0,0,0,12,1,2,2,2,3,0,0,0,8,0,0,0,0,0,2,3,1,77,5,2,0,6,6,98,S,25,4,1,0.3587739384
40615,2,1,1,1,1,2,1,1,1,2,2,2,1,0,0,0,0,3,6,1,2,1,1,3,4,0,0,1,2,1,1,2,2,2,2,1,58,1,2,0,4,4,9,R,18,1,1.7142857143,0.6150410373
41015,1,1,1,1,1,1,1,2,1,1,1,2,1,6,3,0,0,1,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,8,3,46,3,1,1,3,1,4,S,37,3,1.8571428571,0.666294457
40515,2,2,1,1,1,2,1,2,1,2,2,1,1,0,0,5,0,1,0,0,0,0,2,2,0,0,0,8,0,0,0,0,0,2,2,1,55,3,2,0,3,1,2,S,4,1,3.6857142857,1.3223382301
40515,2,1,2,1,1,2,2,3,1,2,2,2,1,0,0,0,0,3,2,1,2,2,1,2,4,0,0,8,1,1,2,2,2,2,3,2,46,1,1,3,8,1,99,S,6,5,1.8,0.6457930891
40515,2,1,1,2,1,2,1,1,1,2,2,1,2,0,0,3,0,0,20,1,1,1,2,1,0,1,1,1,0,0,0,0,0,2,1,1,71,3,2,0,8,3,4,R,22,1,1,0.3587739384
40515,2,1,1,1,1,2,1,2,1,2,2,2,1,0,0,0,0,1,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,2,3,1,52,1,2,0,2,4,1,U,48,5,2.8285714286,1.0148177115
40515,1,1,1,1,1,2,1,2,1,1,2,1,1,1,0,3,0,1,4,2,2,1,2,3,0,0,0,1,0,0,0,0,0,2,3,1,30,2,1,1,7,1,5,U,53,1,1.9714285714,0.7072971929
40515,2,1,1,1,1,2,1,1,2,2,2,2,1,0,0,0,0,1,97,1,2,1,1,1,2,4,4,1,1,1,1,2,2,2,1,1,62,1,2,0,6,3,6,R,22,1,1.1428571429,0.4100273582
40515,2,1,1,1,1,2,1,2,1,2,2,2,1,0,0,0,0,2,25,1,2,1,2,3,0,0,0,1,0,0,0,0,0,2,3,1,33,2,2,0,8,2,4,U,27,5,3.4285714286,1.2300820745
41115,1,1,1,1,1,2,1,3,1,2,2,2,1,0,0,0,0,1,4,1,2,2,1,1,4,4,4,1,1,2,1,2,2,1,3,1,23,6,2,0,6,4,7,U,47,4,2.8,1.0045670275
41015,1,1,1,1,1,2,1,3,1,1,1,2,2,2,2,0,0,0,5,2,2,1,2,3,0,0,0,2,0,0,0,0,0,2,3,3,29,1,1,1,3,1,5,U,19,2,1.4857142857,0.5330355656
40515,2,1,2,2,1,2,2,3,1,2,2,2,2,0,0,0,0,0,14,1,2,2,1,3,2,0,0,1,2,2,2,2,1,2,1,1,70,1,2,0,6,3,5,R,41,1,1,0.3587739384
40515,2,1,1,1,1,2,8,3,1,2,2,2,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,8,0,0,0,0,0,2,1,1,32,1,1,2,3,4,3,U,17,5,3.6857142857,1.3223382301
40515,2,1,1,2,1,2,1,3,1,2,2,2,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,2,3,1,20,6,2,0,3,2,6,S,4,3,4.4571428571,1.5991066969
40515,1,2,1,1,2,0,2,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,3,2,47,1,8,0,1,1,3,U,36,5,3.1714285714,1.1378259189
41015,2,1,2,1,1,2,2,2,1,2,2,1,1,0,0,2,0,1,5,1,1,2,2,3,0,0,0,1,0,0,0,0,0,2,1,1,61,1,2,0,6,4,9,U,37,4,1.8857142857,0.676545141
40715,2,2,2,2,0,0,2,3,2,0,0,0,0,0,0,0,0,0,20,1,1,2,3,3,0,0,0,8,0,0,0,0,0,0,3,1,55,1,2,0,3,3,2,U,17,2,3.5428571429,1.2710848103
40515,2,1,1,1,1,2,1,3,1,2,1,2,1,0,3,0,0,3,6,1,2,2,1,1,4,4,4,8,1,2,1,2,2,2,2,1,16,6,2,0,2,4,98,S,34,5,3.2,1.1480766029
40515,1,1,1,1,1,2,1,2,1,2,2,2,1,0,0,0,0,1,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,2,2,2,39,1,1,1,3,1,6,U,29,4,5.5714285714,1.9988833711
40515,1,1,1,1,2,0,1,1,2,2,2,2,1,0,0,0,0,3,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,1,1,21,6,2,0,3,1,2,U,4,3,2.6285714286,0.9430629238
40515,1,1,1,1,1,2,1,3,1,1,1,2,1,3,1,0,0,1,12,1,2,2,1,1,3,4,4,8,2,1,1,2,2,1,2,1,19,6,2,0,4,4,3,U,39,4,3,1.0763218152
40515,2,1,2,2,1,1,2,3,1,2,2,2,2,0,0,0,0,0,4,1,2,2,2,2,0,0,0,1,0,0,0,0,0,2,3,1,74,1,2,0,8,3,7,R,42,1,1.1714285714,0.4202780421
41015,1,1,1,2,1,2,2,3,2,2,2,2,1,0,0,0,0,1,0,0,0,0,1,3,1,0,0,2,2,2,2,2,2,1,1,1,62,1,2,0,8,3,2,R,28,1,1.7142857143,0.6150410373
40515,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,0,0,1,8,1,2,2,1,3,2,0,0,8,1,1,2,2,2,1,1,1,27,6,1,3,3,4,1,S,42,4,4.9714285714,1.7836190081
40515,1,1,1,1,1,2,1,2,1,2,1,2,1,0,1,0,0,1,2,1,2,2,1,1,1,1,3,1,1,1,1,2,1,1,2,2,22,6,2,0,3,4,3,R,49,1,2.1714285714,0.7790519805
40515,1,1,1,1,1,2,1,1,1,1,2,2,1,3,0,0,0,3,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,2,2,16,6,2,0,2,4,3,S,25,4,3.8,1.3633409659
40415,2,1,1,1,1,2,1,2,2,2,2,2,1,0,0,0,0,3,1,1,2,2,2,1,0,4,4,1,0,0,0,0,0,2,2,1,58,2,2,0,8,1,7,S,26,2,1.7428571429,0.6252917212
