psraid,sample,int_date,lang,form,sex,q1,live1,reg,oftvote,q2a,q2b,eminuse,intmob,snsint,home3nw,bbhome1,device1a,smart1,device1b,device1c,device1d,device1e,device1f,device1g,act112,act124,act125,act135,act126,act136,act123,act122,act137,act127,act128,sns2a,sns2b,sns2c,sns2d,sns2e,sns2f,sns2g,books1,books2a,books2b,books2c,libusea,libuseb,lib_frq,libst_frq,libapp_frq,libmob,ebk_awr,ebk_brw,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,q11i,q11j,q12,q13a,q13b,q13c,q13d,q13e,q13f,q13g,q13h,q14,q15,q16a,q16b,q16c,q16d,q16e,q16f,q16g,q16h,q17a,q17b,q18a,q18b,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q19h,q19i,q19j,q20a,q20b,q20c,q20d,q20e,q20f,q21,q22,q23,q24a,q24b,q24c,q24d,q24e,q24f,age,marital,hh1,par,kidage1,kidage2,kidage3,educ2,emplnw,stud,edinst,disa,party,partyln,ideo,hisp,birth_hisp,race,inc,ql1a,qc1,zipcode,usr,cregion,state,density,weight,standwt
101257,1,41115,1,2,2,2,4,2, ,2,2,1,1,1,1,2,1,1, , , ,1,1,2, , , , , ,1,2,2,2,1,2, , , ,1, , , ,97,2,2,1,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,8,8,3,8, , , , , ,2,1,3,1,2, , , ,1,2,2,1,1,2, , , ,2,2,2,29,1,4,1,1,1,0,4,1,3, ,2,4,9,9,2, ,1,5, , ,16248,R,1,42,1,4.74285714285714,1.70161353642714
101265,1,32415,1,1,2,1,3,1,2,2,2,1,1,1,1,2,1,1,1,1,1, , , ,1,2,1,1,1, , , , , , ,5, ,5, ,3, , ,12,1,2,1,2,1, ,4,4,1,1,2, , , , , , , , , , ,2, , , , , , , , ,2, ,2,2,2,2, , , , ,1,2,2,1,2,3,1,1,1, , , , , ,8,2,3, , , ,1,1,2,2,2,2, , , ,60,1,2,1,0,0,1,8,1,3, ,2,2, ,4,2, ,1,8, , ,61802,U,2,17,2,1.17142857142857,.420278042129595
101274,1,32915,1,1,2,1,1,1,1,2,1,2,2,2, , ,1,2,1,2,1, , , , , , , , , , , , , , , , , , , , , ,8,1,2,2,1,3,4, , , ,1,2,2,2,2,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,1,1,2,3,1,2,2, , , , , ,4,2,4, , , , , ,2,2,2,2, , , ,89,5,1,2, , , ,6,3,3, ,2,2, ,3,2, ,1,5, , ,95135,U,4,6,4,1,.358773938403313
101278,1,32415,1,2,1,1,3,1,4,2,2,1,1,2,1,2,1,2, , , ,2,2,2, , , , , ,2,2,1,2,2,2, , , , , , ,3,0, , , ,3,3, , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,1, , , , , ,1,1,3,1,1, , , ,2,2,2,1,1,2, , , , , , ,63,3,1,2, , , ,3,6,3, ,1,1, ,3,2, ,1,1, , ,95945,R,4,6,1,1.31428571428571,.471531461901497
101280,1,32415,1,1,2,4,4,8, ,1,1,1,2,1,1,1,1,2,2,2,1, , , ,2,2,2,2,2, , , , , , , , , , , , , ,36,1,2,2,1,1,3,5,8,2,8, ,1,1,2,2,1,1, , , , ,2, , , , , , , , ,2, ,1,1,2,2, , , , ,1,2,1,1,1,1,1,1,1, , , , , ,4,3,3, , , ,4,4,2,2,2,2, , , ,67,3,1,2, , , ,5,3,3, ,1,9,9,9,2, ,1,2, , ,98620,R,4,53,1,1,.358773938403313
101281,1,32415,1,1,2,2,2,1,1,2,2,1,2,1,2, ,2, ,2,2,1, , , ,1,2,2,1,1, , , , , , ,6, , , ,2, , ,50,1,2,2,1,3,3, , , ,2, ,1,1,2,2,2,2, , , , ,2, , , , , , , , ,1,1, , , , , , , , ,1,1,1,1,1,3,1,2,1, , , , , ,8,1,1, , , ,3,3,2,2,2,2, , , ,85,3,4,2, , , ,6,3,3, ,1,1, ,3,2, ,1,5,1, ,92841,S,4,6,5,2.77142857142857,.994316343574895
101283,1,32915,1,1,2,3,2,1,1,2,2,2,2,2, , ,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , , ,0, , , ,3,3, , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,3,1,1,1,1,1,1, , , , , ,2,2,1, , , , , ,2, , , , , , ,70,5,1,2, , , ,3,2,3, ,1,2, ,2,2, ,1,4, , ,95821,U,4,6,4,1.62857142857143,.584288985399681
101300,1,32415,1,1,1,1,3,1,2,2,2,2,2,2, , ,2, ,2,2,2, , , , , , , , , , , , , , , , , , , , , ,0, , , ,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,2,3,2,1,3,2,2,2, , , , , ,2,2,8, , , , , ,2,2,2,2, , , ,56,2,3,2, , , ,3,3,3, ,1,2, ,2,2, ,1,4,1, ,94558,U,4,6,2,4.31428571428571,1.54785327711144
101307,1,32415,1,1,2,1,3,1,1,2,2,1,1,1,1,2,1,1,1,1,1, , , ,2,2,1,1,2, , , , , , , , ,3, ,3, , ,40,2,2,1,2,2, , , , ,2, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,8,2,3,1,2,1,1,1,2, , , , , ,3,2,2, , , ,1,1,2,2,2,2, , , ,52,1,2,2, , , ,8,1,3, ,2,2, ,3,2, ,1,8, , ,98229,S,4,53,1,1.22857142857143,.440779410038356
101309,1,32415,1,2,2,1,1,1,1,2,2,2,2,2, , ,1,2, , , ,2,2,2, , , , , , , , , , , , , , , , , , ,5,1,2,2,2,2, , , , ,1,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,8,2,3,2, , , , , ,2,1,2,1,1, , , ,1,9,1, , ,8, , , ,2,2,2,83,5,1,2, , , ,4,3,3, ,1,1, ,8,2, ,1,1, , ,85029,U,4,4,3,1.42857142857143,.512534197719018
101311,1,32415,1,2,2,3,3,1,2,2,2,2,2,2, , ,1,8, , , ,2,2,2, , , , , , , , , , , , , , , , , , ,12,1,2,2,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,1,1, , , , , ,1,2,1,1,1, , , ,8,1,2, , ,2, , , ,2,2,2,81,5,1,2, , , ,4,3,3, ,1,1, ,3,2, ,1,3, , ,36701,R,3,1,1,1,.358773938403313
101326,1,32915,1,2,2,3,3,1,1,2,2,2,2,2, , ,1,8, , , ,2,2,2, , , , , , , , , , , , , , , , , , ,0, , , ,8,3, , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,8,1,1, , , , , ,4,2,2,2,2, , , ,2,8,3, , ,2, , , , , , ,94,5,1,2, , , ,8,3,3, ,1,3,8,8,2, ,1,5, , ,70068,S,3,22,2,1,.358773938403313
101328,1,32415,1,1,2,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,1, , , ,2,2,2,1,2, , , , , , , , , , ,1, , ,25,1,2,2,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,2,1,1,1,1,1,1, , , , , ,1,1,2, , , ,2,4,2,2,2,2, , , ,66,5,2,2, , , ,3,3,3, ,1,1, ,2,2, ,1,3, , ,74804,R,3,40,1,1.94285714285714,.697046508897865
101342,1,32415,1,1,1,2,3,1,4,2,2,1,1,2,1,1,2, ,2,2,1, , , ,2,2,2,1,2, , , , , , , , , , ,6, , ,0, , , ,3,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,8,2,1,2,8,8,8,2, , , , , ,1,1,8, , , ,1,5,2,2,2,2, , , ,59,3,1,2, , , ,3,6,3, ,1,8,8,8,2, ,1,2,1, ,53566,S,2,55,1,1.65714285714286,.594539669354061
101343,1,32415,1,2,1,1,3,1,3,2,2,1,2,1,1,2,1,2, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,0, , , ,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,8,2,3,1, , , , , ,2,2,2,1,2, , , ,1,2,1,2,2,2, , , ,2,2,2,63,6,2,2, , , ,4,3,3, ,1,3,2,2,2, ,1,3, , ,85712,U,4,4,2,2.05714285714286,.738049244715386
101346,1,32415,1,1,2,2,2,1,1,2,2,1,2,2,1,2,1,1,1,2,1, , , ,2,2,1,2,2, , , , , , , , ,6, , , , ,0, , , ,1,3,4, , , ,1,2,2,2,2,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,2,2,1,2,2,2,2,3, , , , , ,2,2,2, , , ,4,4,2,2,2,2, , , ,48,1,5,1,0,1,1,3,5,3, ,2,1, ,2,2, ,1,6, , ,55075,S,2,27,3,3.91428571428572,1.40434370175011
101347,1,32415,1,2,2,1,3,1,2,2,2,2,2,2, , ,1,2, , , ,2,2,2, , , , , , , , , , , , , , , , , , ,50,1,2,2,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,1,1, , , , , ,1,1,1,1,1, , , ,1,1,2, , ,2, , , ,2,2,1,75,5,2,2, , , ,6,1,3, ,2,2, ,3,2, ,1,3, , ,74020,S,3,40,1,1,.358773938403313
101349,1,32915,1,2,1,2,4,1,1,1,2,2,1,2,2, ,2, , , , ,2,1,2, , , , , ,2,2,2,2,2,2, , , , , , , ,3,1,1,8,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,9,3,4, , , , , ,9,1,1,3,1, , , , , , ,1,2,2, , , ,2,2,2,83,2,2,2, , , ,6,3,3, ,2,1, ,3,9, ,1,5,2, ,95959,R,4,6,1,3.74285714285714,1.34283959802383
101351,1,32415,1,1,2,1,3,1,1,2,2,1,2,1,1,2,1,2,2,2,1, , , ,2,8,2,1,2, , , , , , , , , , ,2, , ,2,2,2,2,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,1,1,1,2,9,1,2, , , , , ,4,3,3, , , ,3,2,2,2,2,2, , , ,68,1,2,2, , , ,3,1,3, ,2,1, ,2,2, ,1,4, , ,77665,S,3,48,1,1.94285714285714,.697046508897865
101355,1,32415,1,1,1,2,3,1,3,2,2,1,1,1,1,2,1,1,2,2,1, , , ,2,2,2,1,2, , , , , , , , , , ,6, , ,30,1,1,2,1,3,3, , , ,8, ,2,2,2,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,2,1,2,3,1,1,1, , , , , ,4,1,3, , , ,2,5,2,2,2,2, , , ,58,1,2,2, , , ,6,1,3, ,2,1, ,2,2, ,1,8, , ,65686,R,2,29,1,1.22857142857143,.440779410038356
101356,1,32415,1,2,1,3,3,2, ,2,2,2,2,2, , ,2, , , , ,2,2,2, , , , , , , , , , , , , , , , , , ,1,1,2,2,3,3, , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,3,2, , , , , ,8,2,8,2,8, , , ,8,8,8, , ,2, , , , , , ,62,1,2,2, , , ,3,3,3, ,1,3,1,8,2, ,1,2,2, ,58301,R,2,38,1,5.57142857142857,1.99888337110417
101357,1,32415,1,1,1,1,4,1,1,2,1,1,1,1,1,2,1,1,1,1,1, , , ,2,2,1,1,1, , , , , , , , ,6, ,3, , ,50,1,1,2,1,3,1, , , ,8, ,1,2,1,2,2,2, , , , ,1,1,2,2,2, , , , ,1,4, , , , , , , , ,1,2,2,1,1,1,1,1,2, , , , , ,3,3,3, , , ,1,5,2,2,2,2, , , ,37,1,2,1,1,0,0,4,1,3, ,2,1, ,1,2, ,1,8, , ,74536,R,3,40,1,3.42857142857143,1.23008207452564
101367,1,32415,1,2,2,2,3,2, ,1,2,1,1,1,1,2,2, , , , ,2,1,2, , , , , ,2,1,1,2,1,1, , , , , ,2,5,1,1,2,2,3,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,2,3,1, , , , , ,2,1,1,1,2, , , ,1,2,4,1,1,2, , , ,2,2,2,17,6,2,2, , , ,2,2,1,1,2,2, ,3,1,1,1,1,1, ,85204,U,4,4,3,4.74285714285714,1.70161353642714
101368,1,33015,1,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,2,1,2, , , ,2,2,2,2,2, , , , , , , , , , , , , ,24,1,2,2,1,1,3,3,5,1,1,2,1,2,2,2,1,1, , , , ,2, , , , , , , , ,2, ,2,1,2,2, , , , ,1,1,1,1,1,3,1,1,2, , , , , ,8,1,1, , , ,9,5,2,2,2,2, , , ,77,1,2,2, , , ,8,3,3, ,2,2, ,4,2, ,1,5, , ,85718,S,4,4,2,1,.358773938403313
101375,1,32915,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1, , , ,2,2,2,2,1, , , , , , , , , , , , , ,0, , , ,3,3, , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1,3,2,1,2,1,1,1, , , , , ,2,2,2, , , ,2,2,2, , , , , , ,38,1,3,1,1,1,1,3,1,3, ,2,1, ,2,2, ,2,9, , ,33076,S,3,12,4,3.17142857142857,1.13782591893622
101376,1,32915,1,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1, , , ,1,1,2,1,2, , , , , , ,6,2, , ,2, , ,4,1,2,1,2,3, , , , ,1,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,8,2,3,1,1,2,2,2,2, , , , , ,2,3,4, , , ,2,2,2,2,2,2, , , ,51,1,4,2, , , ,6,1,3, ,2,1, ,3,2, ,1,9, , ,11418,U,1,36,5,2.88571428571429,1.03531907939242
101380,1,41015,1,1,1,2,4,1,2,2,2,1,2,2,1,2,1,2,2,2,2, , , ,2,2,2,2,2, , , , , , , , , , , , , ,0, , , ,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2, , , , , ,2,1,2, , , ,2,3,2,2,2,2, , , ,54,3,1,2, , , ,4,3,3, ,1,3,2,3,2, ,1,2, , ,17751,R,1,42,1,1.8,.645793089125963
101388,1,32915,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1, , , ,1,2,2,1,1, , , , , , ,2, , , ,2, , ,50,1,2,1,1,1,4,4,4,1,1,1,1,1,2,2,2,1, , , , ,1,2,2,2,2, , , , ,2,5,1,1,2,1, , , , ,1,1,1,1,2,3,1,1,3, , , , , ,8,1,2, , , ,1,2,2,2,2,2, , , ,76,5,1,2, , , ,8,2,3, ,2,2, ,4,2, ,1,98, , ,21409,S,3,24,4,1,.358773938403313
101392,1,41015,1,2,1,2,3,1,1,1,2,1,2,2,1,2,1,2, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,6,1,2,2,1,3,4, , , ,1,2,2,2,2, , , ,2,2,2,2,2, , , , , , , , ,2, , , , , , , , , ,1,2,3,2, , , , , ,2,1,3,1,1, , , ,2,2,2,2,2,2, , , ,2,2,2,85,1,2,2, , , ,3,3,3, ,2,9,9,1,2, ,1,99, , ,23324,S,3,51,3,3.11428571428571,1.11732455102746
101398,1,32915,1,2,1,2,8,1,1,1,1,1,1,1,1,2,1,1, , , ,2,1,2, , , , , ,2,2,2,2,2,2, , , , , , , ,9,1,2,2,1,1,4,4,4,2,1,1,1,1,1, , , ,2,2,2,2,2, , , , , , , , ,2, , , , , ,2,2,2,2,1,2,2,2, , , , , ,3,1,9,1,1, , , ,2,8,2,3,5,2, , , ,2,1,2,99,1,3,2, , , ,6,3,3, ,2,9,9,1,2, ,1,99, , ,85710,U,4,4,2,1.65714285714286,.594539669354061
101400,1,32915,1,1,2,1,3,1,3,2,2,1,2,2,1,2,2, ,2,2,1, , , ,2,2,1,2,2, , , , , , , , ,6, , , , ,97,1,2,2,1,3,2, , , ,8, ,1,2,1,2,2,2, , , , ,1,1,2,2,2, , , , ,2,4, , , , , , , , ,1,1,2,1,3,3,1,2,2, , , , , ,2,1,1, , , ,3,2,2,2,2,2, , , ,54,1,2,1,0,0,2,8,2,3, ,2,2, ,5,2, ,1,6,2, ,88011,U,4,35,1,5.57142857142857,1.99888337110417
101403,1,32915,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1, , , ,1,1,1,1,1, , , , , , ,1,1,8, ,1, , ,35,1,1,1,1,2,4, , , ,1,1,2,2,2,2,2,2, , , , ,1,2,2,2,2, , , , ,1,8, , , , , , , , ,1,3,3,1,1,2,1,1,1, , , , , ,1,1,1, , , ,1,3,2,2,2,2, , , ,37,1,3,2, , , ,8,1,2,3,2,3,2,4,2, ,9,99, , ,90272,U,4,6,5,3.51428571428571,1.26083412638879
101408,1,32915,1,2,1,1,4,1,1,2,2,1,1,1,1,1,1,1, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,0, , , ,3,3, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,3,8, , , , , ,1,1,3,3,1, , , ,4,3,2,2,3,2, , , , , , ,82,1,2,2, , , ,6,3,3, ,2,9,9,2,9, ,9,99, , ,85118,S,4,4,1,1.08571428571429,.389525990266454
101411,1,32915,1,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,70,1,1,1,1,1,2,3,4,1,1,1,1,1,1, , , ,2,2,2,2,1, , , , ,1,1,2,2,2,4, , , , ,1,1,2,1,1,1,1,1, , , , , ,1,1,1,1,1, , , ,2,2,2,1,3,2, , , ,2,2,2,35,1,3,1,1,1,0,8,4,3, ,2,3,1,2,2, ,1,6, , ,80241,S,4,8,3,2.88571428571429,1.03531907939242
101415,1,32915,1,2,2,1,3,1,2,1,2,1,2,2,1,2,1,2, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,10,1,2,2,1,1,3,1,5,2,8, ,1,1,1, , , ,2,2,2,2,1, , , , ,8,2,2,2,2,3, , , , ,1,2,2,2,1,1,1,1, , , , , ,2,3,1,8,2, , , ,1,1,2,2,4,1, , , ,2,2,2,65,1,2,2, , , ,6,4,3, ,1,2, ,5,2, ,1,4, , ,88061,R,4,35,1,1,.358773938403313
101417,1,32915,1,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1, , , ,2,2,2,1,2, , , , , , , , , , ,6, , ,10,1,2,1,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,2,2,2,3,1,1,1, , , , , ,2,1,2, , , ,3,4,2,2,2,2, , , ,68,5,3,2, , , ,8,3,3, ,1,3,9,3,2, ,1,99, , ,35111,S,3,1,2,1.31428571428571,.471531461901497
101418,1,33115,1,2,2,2,3,1,1,2,2,2,2,2, , ,2, , , , ,2,2,2, , , , , , , , , , , , , , , , , , ,0, , , ,3,3, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,8,3,8, , , , , ,1,1,3,8,1, , , ,3,3,3, , ,2, , , , , , ,89,5,4,2, , , ,3,3,3, ,1,1, ,1,2, ,1,5,1, ,88061,R,4,35,1,3.28571428571429,1.17882865475374
101421,1,32915,1,1,2,1,1,1,2,1,2,1,2,2,1,2,1,2,2,2,1, , , ,2,2,2,2,2, , , , , , , , , , , , , ,6,1,1,2,1,3,3, , , ,1,2,1,2,1,2,2,2, , , , ,1,2,2,2,2, , , , ,2,3, , , , , , , , ,1,1,1,1,2,3,1,2,1, , , , , ,1,2,3, , , ,3,4,2,2,2,2, , , ,76,5,1,2, , , ,6,3,3, ,2,3,2,3,2, ,1,5, , ,64113,U,2,29,4,1,.358773938403313
101424,1,32915,1,2,2,2,4,1,1,2,2,1,1,2,1,2,1,1, , , ,2,1,2, , , , , ,2,2,2,2,2,2, , , , , , , ,0, , , ,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,2,3,3, , , , , ,2,1,1,1,1, , , ,2,5,2,2,3,2, , , ,2,2,2,57,1,2,2, , , ,3,1,3, ,2,2, ,3,2, ,2,98, , ,98387,S,4,53,3,2.54285714285714,.912310871939853
101426,1,32915,1,1,2,1,2,1,1,2,1,2,2,2, , ,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , , ,5,1,2,2,2,3, , , , ,1,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,2,1,1,2,1,1,2, , , , , ,2,2,2, , , , , ,2,2,2,2, , , ,80,1,2,2, , , ,6,3,3, ,2,2, ,3,2, ,2,99, , ,50317,U,2,19,3,1,.358773938403313
101428,1,32915,1,2,2,2,2,1,2,2,2,2,2,2, , ,1,2, , , ,2,2,2, , , , , , , , , , , , , , , , , , ,97,1,2,2,1,1,1,4,5,2,1,2,1,1,2, , , ,2,2,2,2,1, , , , ,2,2,2,2,2,5, , , , ,2,2,2,2,1,2,1,2, , , , , ,2,1,1,2,1, , , ,2,2,1, , ,2, , , ,2,2,2,79,1,1,2, , , ,8,3,3, ,2,1, ,2,2, ,1,6, , ,53027,S,2,55,2,1,.358773938403313
101430,1,32915,1,1,2,2,3,1,1,2,2,2,1,1,2, ,1,1,1,1,1, , , ,2,2,1,1,1, , , , , , , , ,3, ,3, , ,50,1,2,2,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,2,3,1,1,2,1,1,1, , , , , ,8,2,8, , , ,8,5,2,2,2,2, , , ,73,1,3,2, , , ,3,3,3, ,2,2, ,2,2, ,1,6, , ,76053,S,3,48,5,3.4,1.21983139057126
101431,1,32915,1,2,2,1,3,1,1,2,1,2,2,2, , ,1,2, , , ,2,2,2, , , , , , , , , , , , , , , , , , ,97,1,2,2,1,3,2, , , ,1,2,1,1,2, , , ,2,2,2,2,2, , , , , , , , ,2, , , , , , , , , ,1,1,1,1, , , , , ,1,1,2,1,1, , , ,1,2,1, , ,2, , , ,2,2,2,79,1,2,2, , , ,6,3,3, ,2,3,2,8,2, ,1,3, , ,60544,S,2,17,3,1.02857142857143,.369024622357693
101433,1,40115,1,2,2,3,3,1,1,2,2,2,2,2, , ,1,2, , , ,2,2,2, , , , , , , , , , , , , , , , , , ,4,1,2,2,3,2, , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,1, , , , , ,2,1,1,1,1, , , ,3,1,2, , ,2, , , ,2,2,2,67,3,2,2, , , ,3,3,3, ,1,2, ,2,2, ,2,2, , ,71040,R,3,22,1,1.42857142857143,.512534197719018
101439,1,40115,1,1,1,1,4,1,1,2,2,1,2,2,1,2,1,1,2,2,1, , , ,2,2,2,1,2, , , , , , , , , , ,6, , ,0, , , ,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,3,1,3,2,2,1,2, , , , , ,4,2,2, , , ,2,2,2,2,2,2, , , ,50,6,1,2, , , ,3,99,3, ,2,4,9,3,2, ,1,99, , ,53037,S,2,55,2,1.4,.502283513764638
101442,1,32915,1,1,1,2,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1, , , ,1,2,1,1,2, , , , , , ,3, ,5, ,1, , ,4,1,2,2,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,2,2,2,2,1,1,1,1,2, , , , , ,3,2,2, , , ,1,3,2,2,2,2, , , ,38,1,2,1,1,3,0,4,1,3, ,2,1, ,2,2, ,1,9, , ,54217,S,2,55,1,3,1.07632181520994
101447,1,32915,1,2,1,2,2,1,2,1,2,1,1,1,1,2,1,1, , , ,2,2,2, , , , , ,1,2,2,2,2,2, , , ,3, , , ,1,1,2,2,2,2, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,8,8,3,1, , , , , ,1,1,1,1,1, , , ,2,1,2,2,2,2, , , ,2,2,2,54,1,2,2, , , ,6,1,3, ,2,3,8,3,2, ,3,9, , ,63132,S,2,29,4,3.31428571428571,1.18907933870812
101458,1,32915,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1, , , ,2,2,2,1,2, , , , , , , , , , ,3, , ,20,1,2,2,2,2, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,2,2,1,1,2,1,1,1, , , , , ,3,2,3, , , ,2,1,2,2,2,2, , , ,53,1,2,1,0,0,1,8,1,3, ,2,2, ,4,2, ,1,8, , ,50310,U,2,19,3,1.57142857142857,.56378761749092
101460,1,32915,1,2,2,2,2,2, ,2,2,2,1,1,1,2,1,1, , , ,1,1,2, , , , , ,2,1,2,1,1,2, , , , , ,6, ,3,2,2,2,1,3,3, , , ,1,2,2,2,2, , , ,2,2,2,1,2, , , , , , , , ,2, , , , , , , , , ,1,1,3,1, , , , , ,1,1,1,1,1, , , ,1,1,2,1,1,2, , , ,2,2,2,27,6,2,2, , , ,4,4,1,5,2,3,1,3,2, ,2,2, , ,91730,S,4,6,1,2.85714285714286,1.02506839543804
101465,1,32915,1,2,2,3,1,3,2,2,2,1,1,1,1,2,1,1, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,4,1,1,2,2,2, , , , ,1,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,2,1,1, , , , , ,2,1,1,1,2, , , ,1,8,1,3,8,2, , , ,2,2,2,83,5,1,2, , , ,3,3,3, ,2,2, ,3,2, ,1,5, , ,58701,R,2,38,1,1,.358773938403313
101475,1,32915,1,2,2,3,3,1,2,2,2,1,1,1,1,1,1,2, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,0, , , ,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,2,3,3,3, , , , , ,2,2,2,2,2, , , ,2,2,2,2,2,1, , , ,2,1,2,60,5,1,2, , , ,3,4,3, ,1,2, ,3,2, ,2,1, , ,47713,U,2,18,3,1.31428571428571,.471531461901497
101476,1,32915,1,1,2,2,3,1,1,2,2,1,2,1,1,2,1,2,2,1,1, , , ,2,2,2,1,2, , , , , , , , , , ,5, , ,52,1,2,8,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,2,2,1,1,3,1,1,8, , , , , ,2,2,2, , , ,3,3,2,2,2,2, , , ,67,2,3,2, , , ,8,3,3, ,1,2, ,4,2, ,1,5, , ,53089,S,2,55,3,1.31428571428571,.471531461901497
101484,1,32915,1,2,1,2,9,1,3,2,2,1,2,2,2, ,1,2, , , ,1,2,1, , , , , ,2,2,2,2,2,2, , , , , , , ,0, , , ,3,3, , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,3,1, , , , , ,2,1,3,3,1, , , ,2,8,8,1,4,2, , , , , , ,66,6,1,2, , , ,3,4,3, ,2,1, ,3,2, ,1,3, , ,96089,U,4,6,1,1.34285714285714,.481782145855877
101485,1,32915,1,2,1,1,4,1,2,2,2,2,2,2, , ,1,2, , , ,2,2,2, , , , , , , , , , , , , , , , , , ,1,1,2,2,2,3, , , , ,1,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,2,2, , , , , ,2,2,2,1,1, , , ,2,2,2, , ,2, , , ,2,2,2,66,1,2,2, , , ,4,3,3, ,2,1, ,1,2, ,1,3, , ,37016,S,3,47,1,1.68571428571429,.604790353308442
