id,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual
2922,1,1,63,1,1,4,3
408,1,1,22,1,1,0,1
2672,1,1,39,1,1,6,1
1969,1,1,28,1,1,0,1
2296,1,1,46,1,1,4,1
2327,1,1,57,4,1,4,1
2588,1,1,30,5,1,3,1
5884,1,1,21,4,1,0,1
2013,1,1,27,1,1,4,1
1427,1,1,30,1,1,0,1
1767,1,1,31,1,1,4,1
3524,1,1,69,1,1,4,3
5873,1,1,23,1,1,0,3
2752,1,1,50,2,1,4,1
5051,1,1,72,1,1,0,3
5829,1,1,41,1,1,6,1
3655,1,1,34,1,1,4,1
1451,1,1,41,4,1,0,1
5227,1,1,61,9,1,4,1
3133,1,1,55,2,1,4,1
2556,1,1,36,1,1,6,1
5057,1,1,59,1,1,1,1
2475,1,1,47,3,1,6,1
2764,1,1,65,1,1,3,3
8302,4,1,64,1,4,0,3
5769,1,1,45,6,1,3,1
1467,1,1,35,1,1,4,1
9177,5,1,22,4,5,0,1
2853,1,1,33,6,1,4,1
3422,1,1,34,1,1,0,1
872,1,1,65,1,1,4,3
5035,1,1,23,4,1,3,3
3913,1,1,53,1,1,3,1
4103,1,1,36,1,1,4,1
9442,5,1,42,2,5,2,1
5594,1,1,26,1,1,4,1
2854,1,1,22,5,5,1,3
3611,1,1,32,4,1,4,1
6110,1,2,57,3,1,1,1
2829,1,1,73,1,1,4,3
5168,1,1,42,1,1,4,1
5435,1,1,73,1,1,4,3
4810,1,1,35,1,1,2,1
9093,5,1,54,2,5,1,3
2684,1,1,17,1,1,0,3
9162,5,1,45,1,5,3,1
8164,4,1,31,3,4,1,1
8269,4,1,35,4,4,6,1
7158,2,2,31,5,2,0,1
322,1,1,28,1,1,0,1
4394,1,1,38,1,1,6,1
412,1,1,49,2,1,1,1
2665,1,1,50,1,1,4,1
2697,1,1,22,3,1,0,1
5013,1,1,37,1,1,3,1
5611,1,1,22,1,1,3,1
7046,2,1,63,1,2,3,3
2567,1,1,52,1,1,0,1
8159,4,1,19,4,4,1,1
5791,1,1,60,1,1,4,1
5111,1,1,36,4,1,3,1
1763,1,1,35,1,1,3,1
3389,1,1,20,6,6,1,3
4447,1,1,40,1,1,6,3
2738,1,1,27,4,1,6,1
28,1,1,43,1,1,4,1
3038,1,1,58,1,1,4,1
5575,1,1,28,1,1,0,3
10375,6,2,63,5,6,3,3
3013,1,1,30,1,1,4,2
4437,1,1,42,1,1,3,1
5304,1,1,17,1,1,0,3
4653,1,1,52,1,1,4,1
9914,5,2,30,4,5,2,3
6766,2,1,48,1,2,0,1
4924,1,1,44,1,1,4,1
5777,1,1,27,1,1,0,1
5357,1,1,57,1,1,0,1
5736,1,1,77,1,1,3,3
6023,1,2,45,1,1,4,1
2400,1,1,58,1,1,0,1
6082,1,2,20,1,1,0,1
95,1,1,43,1,1,3,1
2888,1,1,92,1,1,0,3
3417,1,1,38,1,1,4,1
2334,1,1,61,1,1,3,1
5160,1,1,58,2,1,4,3
5263,1,1,46,1,1,4,1
7417,3,1,44,1,3,4,1
7979,3,2,17,1,3,0,3
5403,1,1,71,1,1,2,1
4272,1,1,41,5,1,4,1
2595,1,1,25,1,1,3,1
9852,5,2,20,4,5,0,1
7987,3,2,25,4,3,0,1
1783,1,1,42,1,1,3,1
1804,1,1,52,1,1,6,1
943,1,1,40,1,1,0,1
2268,1,1,69,1,1,4,1
4664,1,1,22,1,1,0,3
3011,1,1,53,1,1,6,1
4566,1,1,47,1,1,4,1
3096,1,1,57,1,7,5,1
5549,1,1,27,9,1,4,1
2798,1,1,28,1,1,0,1
9208,5,1,53,3,5,0,1
2929,1,1,59,1,1,3,1
10405,6,2,36,6,6,3,1
3618,1,1,76,2,1,3,3
1237,1,1,28,1,1,3,1
3328,1,1,36,1,1,3,1
618,1,1,28,1,1,6,1
2924,1,1,33,1,1,3,1
4409,1,1,36,1,1,3,1
6091,1,2,27,1,1,2,2
10842,6,2,35,1,6,6,1
4391,1,1,44,1,1,4,1
1398,1,1,29,1,1,4,1
3742,1,1,55,1,1,0,1
5900,1,1,31,1,1,4,1
6007,1,2,24,1,1,0,3
8107,3,2,42,3,3,4,1
3051,1,1,19,1,1,1,1
2075,1,1,30,1,1,3,1
6075,1,2,36,3,1,0,1
5253,1,1,22,1,1,0,3
4156,1,1,47,1,1,1,1
1550,1,1,63,1,1,6,1
7697,3,1,47,4,3,1,1
4465,1,1,35,1,1,6,1
7377,3,1,28,1,3,0,3
977,1,1,27,1,1,4,1
3853,1,1,31,2,1,4,1
2292,1,1,53,1,7,2,2
8938,4,2,57,4,4,4,1
1623,1,1,77,1,1,0,3
6839,2,1,40,1,2,4,1
808,1,1,21,1,1,1,3
4237,1,1,19,1,1,1,1
4073,1,1,48,3,1,3,1
6671,2,1,37,1,2,4,1
4736,1,1,54,2,1,4,1
7412,3,1,63,1,3,4,3
9043,5,1,61,1,5,3,3
1814,1,1,45,1,1,4,1
1553,1,1,53,1,1,4,1
9172,5,1,56,6,5,4,1
121,1,1,38,1,1,6,1
1557,1,1,42,2,1,6,1
3320,1,1,38,1,1,3,1
5353,1,1,35,4,1,4,1
2542,1,1,52,1,1,3,1
6286,1,2,28,4,1,3,3
6037,1,2,19,1,1,1,2
209,1,1,45,1,1,3,1
435,1,1,52,1,1,4,1
10486,6,2,44,1,6,3,3
3824,1,1,25,1,1,0,1
1280,1,1,39,1,1,0,1
177,1,1,30,1,1,6,1
7070,2,2,52,2,2,3,1
4743,1,1,27,1,1,3,1
5248,1,1,33,1,1,4,1
5886,1,1,52,1,1,4,1
5049,1,1,40,1,1,3,1
4318,1,1,25,1,1,3,3
2851,1,1,23,1,1,0,1
5587,1,1,43,1,1,6,1
6813,2,1,46,2,2,6,1
1446,1,1,37,1,1,3,1
2447,1,1,36,1,1,3,2
2957,1,1,27,1,1,0,1
5167,1,1,43,1,1,1,3
2947,1,1,18,5,5,0,3
2319,1,1,56,2,1,3,1
2454,1,1,51,1,1,4,1
380,1,1,61,1,1,3,1
5899,1,1,30,1,1,0,1
7591,3,1,59,3,3,6,1
5691,1,1,45,3,1,4,1
2808,1,1,26,1,1,0,1
8177,4,1,17,1,4,0,3
5289,1,1,26,2,1,0,3
9204,5,1,59,3,5,4,1
7910,3,2,63,9,3,0,3
4361,1,1,34,1,1,1,1
5191,1,1,32,1,1,3,1
1033,1,1,20,1,1,3,1
4919,1,1,36,1,1,4,3
2267,1,1,72,4,1,4,1
4405,1,1,41,1,1,4,1
10826,6,2,22,1,6,0,3
6743,2,1,27,1,2,6,1
1435,1,1,29,6,1,0,3
4365,1,1,23,1,1,0,3
2271,1,1,55,2,1,6,1
3663,1,1,33,3,1,3,1
6764,2,1,28,1,2,4,1
2726,1,1,58,1,1,6,1
2934,1,1,32,1,1,4,1
1102,1,1,50,4,1,2,1
769,1,1,72,1,1,4,3
580,1,1,29,1,1,0,1
504,1,1,66,1,1,2,1
7248,2,2,42,2,2,4,1
8738,4,2,28,5,4,0,3
4531,1,1,27,5,1,3,2
2762,1,1,22,1,1,0,3
4460,1,1,24,1,1,3,3
5793,1,1,38,1,1,4,1
4939,1,1,46,1,1,4,1
2301,1,1,53,1,1,3,1
4605,1,1,65,3,1,0,3
6595,1,2,18,1,1,0,3
4483,1,1,20,4,1,0,2
6693,2,1,24,3,3,4,1
3495,1,1,54,1,1,4,3
8036,3,2,22,3,3,1,1
10084,5,2,29,1,5,1,3
471,1,1,28,1,1,0,1
2273,1,1,34,1,1,3,1
9347,5,1,57,6,5,1,1
6368,1,2,29,1,1,6,1
5516,1,1,41,3,1,1,1
5464,1,1,23,1,1,0,1
6908,2,1,23,2,2,3,3
7775,3,1,17,4,3,0,3
7732,3,1,27,1,3,0,1
9903,5,2,38,1,5,0,1
7042,2,1,38,3,2,2,1
3280,1,1,60,1,1,4,3
3415,1,1,20,1,1,0,3
9503,5,1,29,1,5,4,1
1190,1,1,24,1,1,0,1
8841,4,2,15,6,4,0,3
8552,4,2,33,1,4,3,1
1163,1,1,40,2,1,0,1
4658,1,1,58,1,1,4,1
2557,1,1,75,1,1,4,3
2939,1,1,63,1,1,5,1
7143,2,2,28,1,2,1,3
1957,1,1,36,1,1,4,1
4572,1,1,46,1,1,0,1
5788,1,1,74,1,1,4,3
4980,1,1,73,1,1,1,2
4725,1,1,30,1,1,0,1
6668,2,1,24,2,2,2,1
7057,2,1,23,1,2,0,3
5712,1,1,50,1,1,4,1
4397,1,1,37,3,1,4,1
10358,6,2,34,1,6,4,1
4491,1,1,23,1,1,0,1
3905,1,1,28,2,1,0,1
4385,1,1,54,4,1,0,1
9671,5,2,53,1,5,1,1
1758,1,1,24,1,1,2,1
1627,1,1,63,3,1,2,1
1478,1,1,27,5,1,4,1
761,1,1,38,1,1,4,3
3584,1,1,16,1,1,0,3
4859,1,1,41,1,1,6,1
2521,1,1,55,1,1,4,1
3590,1,1,28,6,1,1,1
2419,1,1,60,6,1,2,3
7116,2,2,19,5,2,0,3
1357,1,1,36,1,1,6,1
1622,1,1,50,1,1,0,1
5025,1,1,26,1,1,4,1
52,1,1,75,1,1,3,3
163,1,1,54,1,1,6,1
4064,1,1,76,1,1,3,3
1990,1,1,27,6,1,4,1
1363,1,1,42,1,1,4,1
1535,1,1,60,1,1,0,1
2921,1,1,31,1,1,3,1
9033,5,1,18,4,5,0,3
2060,1,1,38,1,1,3,1
