,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual,ingreso_total_hogar_neto,nivel_pobreza
5735,1,1,28,1,1,0,1,847886.632716836,3
4520,1,1,23,1,1,3,1,3563557.61666667,3
2040,1,1,29,6,1,0,1,3558801.44533333,3
812,1,1,25,1,1,1,1,743421.466666667,3
2919,1,1,47,1,1,2,1,1952214.76666667,3
8716,4,1,54,1,4,6,1,10400000,3
9488,5,1,21,5,5,0,1,760718.4,3
2186,1,1,52,1,1,2,3,1286913.33333333,3
2443,1,1,67,2,1,0,3,645133.333333333,3
3812,1,1,52,1,1,4,1,8720668.66666667,3
7567,3,1,43,3,3,3,1,2323342.66666667,3
3938,1,1,26,2,1,0,1,2090400,3
6122,1,2,19,1,1,0,1,575465.333333333,3
8759,4,2,62,1,4,5,1,2253333.33333333,3
7846,3,1,47,1,3,0,2,1596382.66666667,3
3009,1,1,34,1,1,0,1,1981846.53333333,3
272,1,1,44,1,1,4,1,1706337.75752963,3
3188,1,1,24,1,1,4,1,3043126.66666667,3
2392,1,1,66,2,1,4,3,1906666.66666667,3
4921,1,1,60,1,1,4,1,3332810,3
7847,3,1,33,1,3,4,1,1596382.66666667,3
5498,1,1,25,1,1,4,1,1272509.6504065,3
2867,1,1,55,1,1,4,1,4118483.20585586,3
1896,1,1,25,1,1,4,1,2061713.33333333,3
1806,1,1,67,1,1,6,1,5097905.45333333,3
1405,1,1,35,1,1,3,1,1810902.6,3
2171,1,1,29,1,1,3,1,1183225.14014745,3
5423,1,1,51,1,1,3,1,6279416,3
2560,1,1,42,1,1,4,1,2831859.33333333,3
4519,1,1,45,1,1,0,3,3563557.61666667,3
10445,5,2,29,6,5,0,1,551460.752719078,3
1446,1,1,54,1,1,3,3,303333.333333333,3
8462,4,1,21,1,4,0,3,563038.5,2
1407,1,1,44,1,1,4,1,5397493.83333333,3
5220,1,1,47,1,1,4,3,1118496.92981086,3
4101,1,1,34,1,1,0,1,2108166.66666667,3
1379,1,1,24,5,1,1,1,1091392.97642424,3
691,1,1,28,1,1,4,3,2461724.56588406,3
1517,1,1,40,4,1,4,1,300577,3
504,1,1,37,1,1,3,1,2480986.45057471,3
358,1,1,37,3,1,4,1,1249620.66666667,3
7863,3,1,48,1,3,4,1,5398284.66666667,3
6091,1,2,15,1,1,0,1,530833.333333333,3
1692,1,1,28,5,1,4,1,1079089.74590282,3
2722,1,1,56,1,1,4,1,800895,3
98,1,1,48,1,1,2,1,2665069.33333333,3
4399,1,1,58,1,1,1,1,1364454,3
7702,3,1,30,2,2,3,1,792190.182103057,3
8436,4,1,28,1,4,4,2,1241812,3
2967,1,1,32,1,1,1,1,1204549.66666667,3
2747,1,1,33,1,1,3,1,3145376,3
5550,1,1,70,1,1,3,3,1166666.66666667,3
1509,1,1,36,1,1,3,1,3134534,3
7610,3,1,48,6,1,2,1,1087120.66666667,3
1431,1,1,22,1,1,0,3,320833.333333333,2
2321,1,1,67,1,1,3,3,1963000,3
2445,1,1,42,1,1,4,1,2020936.66666667,3
8386,4,1,64,1,4,3,3,1613500,3
8004,3,1,55,1,3,4,1,3942353.25333333,3
2716,1,1,52,5,1,4,1,1850768.66666667,3
4571,1,1,33,4,1,4,1,1375886.44266667,3
5204,1,1,28,4,1,3,3,739216.833333333,3
4317,1,1,35,1,1,4,1,1594866.18666667,3
3647,1,1,33,5,1,0,1,1129422.66666667,3
3452,1,1,37,1,1,0,1,2336074,3
4731,1,1,49,1,1,4,1,721500,3
8527,4,1,22,4,4,0,3,651761.298735323,3
28,1,1,42,1,1,3,1,909315.266666667,3
4865,1,1,34,1,1,1,1,1520003.33333333,3
1848,1,1,49,6,1,4,1,1368336.66666667,3
2841,1,1,24,1,1,3,1,495003.6,3
4263,1,1,46,1,1,4,1,2252241.33333333,3
6166,1,2,59,1,1,0,1,4051450,3
10060,5,2,23,3,5,1,3,0,1
308,1,1,44,2,1,3,1,2461774.9,3
7667,3,1,51,1,3,3,1,1150500,3
7073,2,1,43,2,2,0,1,1223554.6412,3
4279,1,1,40,5,1,4,1,2140038.33333333,3
2207,1,1,22,4,1,3,3,240000,3
4455,1,1,40,1,1,3,1,3312400,3
957,1,1,47,5,1,0,1,1512800,3
7569,3,1,54,3,3,1,3,342250,2
3529,1,1,25,1,1,3,3,2053632.27513228,3
466,1,1,37,1,1,1,1,375000,2
1136,1,1,44,1,1,6,1,1540185,3
1244,1,1,34,1,1,4,1,5346458,3
4630,1,1,30,4,1,4,1,2227580.33333333,3
2495,1,1,30,6,1,4,1,1198399.74,3
146,1,1,54,1,1,6,3,2273288.33333333,3
1416,1,1,50,3,1,4,1,891805.680765748,3
4447,1,1,30,4,1,4,1,1980381,3
8600,4,1,32,1,4,3,3,579765.333333333,3
1658,1,1,56,3,1,3,1,2384295.64285714,3
7329,2,2,34,1,2,3,1,11763313.8397667,3
1146,1,1,48,1,1,4,1,1704501.5,3
4861,1,1,42,1,1,4,1,1794312,3
1062,1,1,17,1,1,0,3,1750182.03138859,3
5373,1,1,39,1,1,3,3,4002136.66666667,3
8514,4,1,60,6,4,0,1,1308219,3
2624,1,1,24,1,1,0,1,1868641.66666667,3
350,1,1,30,1,1,4,1,6876625.93333333,3
2773,1,1,53,1,1,6,1,2762777.33333333,3
5973,1,1,37,1,1,6,1,1686836.66666667,3
7003,2,1,55,1,2,0,1,559000,3
5660,1,1,31,5,1,3,1,1273999.89166667,3
4835,1,1,42,1,1,6,1,1194648,3
5290,1,1,30,1,1,4,1,2382315,3
7395,2,2,62,2,2,3,3,964166.666666667,3
1829,1,1,45,1,1,6,3,1687997.88719681,3
4367,1,1,25,4,1,0,1,924770.903333333,3
2150,1,1,21,1,1,1,3,1378873.86666667,3
4510,1,1,55,3,1,6,1,2022271.33333333,3
2826,1,1,59,2,1,4,1,4834630.66666667,3
7233,2,1,45,2,2,6,1,3101938.50962667,3
10920,6,2,33,6,6,4,1,2725463.86666667,3
2478,1,1,23,5,1,1,1,382842.893333333,3
679,1,1,48,1,1,6,1,6587746.19966667,3
2072,1,1,34,2,1,3,1,1426586.77777778,3
4508,1,1,60,3,1,3,1,1709118.66666667,3
4904,1,1,60,1,1,3,3,2699233.33333333,3
9379,5,1,52,2,5,1,3,2870216.66666667,3
2223,1,1,22,5,1,0,3,579111,3
8112,3,2,17,3,3,0,3,628275,3
9329,5,1,52,1,5,4,1,1233822.05555556,3
10971,6,2,62,2,6,4,3,2991066.66666667,3
5841,1,1,51,1,1,3,1,3737595.33333333,3
2842,1,1,49,1,1,6,1,4218388.76,3
3191,1,1,60,3,1,1,1,2303738.29312536,3
1155,1,1,59,1,1,6,1,6347777.33333333,3
7646,3,1,60,1,3,2,1,134000,1
215,1,1,52,1,1,0,3,2535275.50190406,3
2453,1,1,53,1,1,2,1,1376113.7,3
7047,2,1,95,3,2,9,3,955500,3
5785,1,1,64,1,1,3,3,1550416.66666667,3
2509,1,1,60,4,1,4,3,900839.333333333,3
8164,3,2,15,1,3,0,3,381719.455007352,2
407,1,1,40,1,1,4,1,3731936,3
2481,1,1,49,5,1,4,1,2008066.66666667,3
3552,1,1,63,1,1,3,1,3052500,3
6863,2,1,42,2,2,3,3,762623.333333333,3
5203,1,1,25,4,1,3,1,739216.833333333,3
2706,1,1,48,1,1,0,3,1180000,3
752,1,1,70,1,1,2,3,361833.333333333,3
6914,2,1,30,4,2,4,1,3873436.66666667,3
6003,1,1,46,1,1,3,1,3913000,3
6321,1,2,47,1,1,1,1,1272578.66666667,3
3526,1,1,43,1,1,4,1,4446840.66666667,3
5898,1,1,25,1,1,2,1,1369175.42666667,3
7217,2,1,48,1,2,4,1,1818752,3
8158,3,2,16,5,3,0,3,760639.784266667,3
11184,6,2,28,1,6,0,3,391516.666666667,3
9234,4,2,30,4,4,4,1,3198138.66666667,3
88,1,1,61,6,1,0,3,3339526,3
5702,1,1,39,1,1,4,1,2474181.66666667,3
1011,1,1,45,2,1,3,1,1897316.57142857,3
2807,1,1,38,1,1,0,1,793152.666666667,3
4756,1,1,20,1,1,0,3,470151.833333333,3
3184,1,1,27,2,1,6,1,1421836.66666667,3
7618,3,1,51,4,3,4,1,1956516.77094075,3
5417,1,1,44,1,1,0,3,780000,3
2837,1,1,31,4,1,3,1,3638396.51724138,3
4386,1,1,34,1,1,1,1,814419.666666667,3
5753,1,1,32,1,1,4,1,2161705,3
1779,1,1,50,2,1,3,1,836493.666666667,3
6083,1,1,40,1,1,4,1,2622958,3
3967,1,1,48,3,1,2,1,4279570.11666667,3
2163,1,1,66,1,1,0,3,2620503.6,3
4789,1,1,43,5,1,4,1,4034528.96175396,3
4518,1,1,48,1,1,3,1,3563557.61666667,3
11114,6,2,40,6,6,6,1,2577648.66666667,3
10809,6,2,46,1,6,3,1,579765.333333333,3
10907,6,2,59,1,6,3,3,691818.508359457,3
4504,1,1,63,3,1,0,3,1015182.9568467,3
9486,5,1,59,3,5,6,1,3954513.33333333,3
6492,1,2,35,1,1,4,1,1972969.7,3
6388,1,2,33,6,1,0,1,1789941.4,3
4903,1,1,30,1,1,6,1,3113071.73863636,3
3608,1,1,28,1,1,0,1,2410114.30073527,3
5714,1,1,41,1,1,0,1,256166.666666667,3
10991,6,2,33,1,6,4,1,1981954,3
682,1,1,82,1,1,5,1,3147397.63682279,3
3107,1,1,57,1,1,1,1,463250,3
5619,1,1,52,2,1,4,1,5780661.72666667,3
10523,6,1,36,1,1,4,1,2026342.06666667,3
4433,1,1,54,3,1,3,1,1195787.33333333,3
1007,1,1,35,1,1,6,1,2096094.48284861,3
1533,1,1,59,1,1,4,1,2475416.66666667,3
3785,1,1,42,1,1,4,1,1274312,3
6624,1,2,39,1,1,3,1,910806,3
936,1,1,26,3,1,0,1,956679.013333333,3
7884,3,1,17,3,3,0,3,987632.6,3
5227,1,1,51,1,1,4,1,2013102,3
2943,1,1,52,1,1,3,1,2552402.66666667,3
7318,2,2,23,1,2,3,3,1365000,3
6893,2,1,23,1,2,3,1,1458166.66666667,3
2545,1,1,75,2,1,4,3,1083333.33333333,3
10286,5,2,29,4,5,3,3,898436.64,3
4682,1,1,51,1,1,6,1,1990126.66666667,3
10475,6,1,38,1,6,4,3,2903333.33333333,3
5080,1,1,29,1,1,3,1,2247713,3
4000,1,1,41,4,1,4,1,593765.333333333,3
9535,5,1,56,1,5,4,1,1524623.27333333,3
2174,1,1,49,5,1,0,1,1086074,3
1552,1,1,52,1,1,0,1,1464836.93333333,3
5280,1,1,20,3,3,1,3,1659069.33333333,3
10830,6,2,31,1,6,0,1,871000,3
9326,5,1,59,1,5,3,1,1829178.60801435,3
2577,1,1,43,1,1,4,1,1900440.57156863,3
3780,1,1,29,6,1,0,1,409574,3
9322,5,1,59,5,5,3,3,2004166.66666667,3
