,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual,ingreso_total_hogar_neto,nivel_pobreza
6495,1,2,29,1,1,4,3,6426666.66666667,3
10720,6,2,52,2,6,1,1,756157.393333333,3
8294,3,2,34,1,3,0,1,3957424.40062667,3
4080,1,1,57,3,1,0,1,843700,3
4523,1,1,23,1,1,4,1,4639175.66666667,3
244,1,1,24,2,1,4,1,903456.666666667,3
5076,1,1,26,1,1,0,3,4610732.75,3
3621,1,1,27,3,1,6,1,2015541.66666667,3
2731,1,1,35,1,1,4,1,1441778,3
9541,5,1,27,4,5,4,1,894052.033333333,3
147,1,1,28,1,1,0,1,2273288.33333333,3
1073,1,1,49,1,1,4,1,2217932.16666667,3
8173,3,2,55,3,3,1,1,260000,3
8279,3,2,46,9,3,1,3,896740,3
5686,1,1,41,1,1,4,1,2713108.66666667,3
2805,1,1,61,1,1,0,1,638000,3
5345,1,1,22,1,1,0,3,230000,2
1099,1,1,39,1,1,4,1,1420354,3
5391,1,1,40,1,1,3,1,1236385.3226578,3
9433,5,1,59,2,5,3,3,2110333.33333333,3
2707,1,1,38,1,1,6,1,1379170,3
2484,1,1,35,1,1,3,1,560454.266666667,3
2727,1,1,24,1,1,0,1,1293000,3
5781,1,1,19,1,1,0,1,609100,3
6568,1,2,27,1,1,2,1,1549003.66134379,3
9239,4,2,49,1,4,4,1,968456.666666667,3
1152,1,1,37,1,1,3,1,1563954,3
4991,1,1,20,1,1,0,3,2790493.33333333,3
2872,1,1,72,1,1,4,3,1264692.08350636,3
2843,1,1,43,1,1,4,1,2164051.56622016,3
9390,5,1,41,1,5,4,1,3004482,3
5226,1,1,54,1,1,3,1,2013102,3
869,1,1,24,1,1,0,1,2872506,3
5801,1,1,34,1,1,0,3,866666.666666667,3
3189,1,1,22,1,1,0,3,3043126.66666667,3
6803,2,1,56,4,2,3,1,1315812,3
5107,1,1,65,1,1,1,3,379166.666666667,3
122,1,1,32,1,1,4,1,1169220.48455333,3
2875,1,1,58,2,1,4,1,2981333.33333333,3
981,1,1,53,1,1,4,1,4489309.06666667,3
2996,1,1,75,1,1,3,3,6240000,3
10605,6,1,42,1,6,6,1,1997623.33333333,3
3554,1,1,20,1,1,0,1,3052500,3
2679,1,1,61,5,1,4,3,4307151.33333333,3
1538,1,1,25,5,1,3,1,2105181.84042112,3
4931,1,1,55,1,1,9,3,1332158.59223301,3
6955,2,1,56,2,2,1,3,343200,3
4441,1,1,38,1,1,6,1,1260003.33333333,3
3454,1,1,33,1,1,6,1,1729927.33333333,3
3993,1,1,36,1,1,4,1,1016661.53333333,3
10549,6,1,32,4,6,1,1,3115244.94666667,3
4514,1,1,20,1,1,0,3,5025000,3
8835,4,2,29,4,4,3,1,633932,3
5254,1,1,60,3,1,0,1,1427629.25482403,3
7384,2,2,26,4,4,0,3,869281.4,3
2513,1,1,30,1,1,6,1,1880978.66666667,3
5031,1,1,60,2,1,4,3,1696933.33333333,3
2184,1,1,40,1,1,0,1,549900,3
7521,2,2,39,1,2,3,1,974458.333333333,3
5326,1,1,33,1,1,3,1,2210026,3
1144,1,1,42,3,1,0,1,1296943.13333333,3
8393,4,1,58,1,4,0,3,756547,3
2120,1,1,71,1,1,3,3,1206769.62666667,3
2605,1,1,72,1,1,3,3,2110141.33333333,3
2116,1,1,46,1,1,4,1,2319009.33333333,3
5690,1,1,43,1,1,3,1,862198.2,3
7254,2,2,29,1,2,3,1,1294583.33333333,3
10853,6,2,59,1,6,6,1,2764939.66666667,3
5810,1,1,39,3,1,3,1,789123.333333333,3
6908,2,1,49,3,2,4,1,2500342.67207385,3
3494,1,1,37,1,1,4,1,3509393.33333333,3
2757,1,1,39,1,1,4,1,1998740.08284861,3
3434,1,1,19,1,1,0,3,6151719.69966667,3
664,1,1,45,1,1,3,1,3114395.96,3
2892,1,1,51,1,1,3,3,6567915.98666667,3
4038,1,1,32,1,1,6,1,1946848.36666667,3
3739,1,1,54,1,1,0,3,6687724.92893617,3
5795,1,1,41,1,1,3,1,850311.322657802,3
4407,1,1,37,1,1,4,3,1959143.33333333,3
1232,1,1,25,1,1,3,1,1300000,3
5864,1,1,36,6,1,4,1,2782476.66666667,3
3192,1,1,63,1,1,1,3,2303738.29312536,3
357,1,1,33,4,1,4,1,3641003.6845843,3
7389,2,2,20,5,2,1,1,1470869.15549638,3
5796,1,1,53,1,1,3,1,1769217.03333333,3
4440,1,1,28,1,1,3,3,1260003.33333333,3
123,1,1,22,1,1,0,3,1169220.48455333,3
8717,4,1,27,4,4,4,1,1263478.66666667,3
7361,2,2,28,1,1,0,1,1230666.66666667,3
478,1,1,52,1,1,4,1,2444624,3
1690,1,1,62,1,1,2,3,1079089.74590282,3
2888,1,1,51,4,1,0,1,1426750,3
1326,1,1,33,1,1,4,1,1267157.66666667,3
4627,1,1,29,2,1,3,1,2431787.36666667,3
7196,2,1,24,2,2,2,2,0,1
9350,5,1,43,1,5,3,1,1509373.66666667,3
7802,3,1,51,2,3,2,1,2460748.33333333,3
817,1,1,30,1,1,0,3,619015.826803101,3
5942,1,1,25,1,1,3,3,1732319.33333333,3
9198,4,2,51,4,4,3,1,399466.6,3
8268,3,2,21,3,3,1,3,191250,2
5257,1,1,55,1,1,0,1,916564.703544066,3
4594,1,1,25,1,1,4,1,1169628.25502645,3
7993,3,1,43,4,3,4,1,2343024.33872,3
2688,1,1,38,1,1,3,1,589290,3
6024,1,1,51,1,1,4,1,780000,3
5047,1,1,42,1,1,4,1,1695278,3
4468,1,1,40,1,1,4,1,2599163.66666667,3
4325,1,1,33,1,1,0,1,260000,2
2738,1,1,29,1,1,3,1,2541847.12825579,3
8583,4,1,38,1,4,3,1,564765.333333333,3
2142,1,1,54,5,1,4,1,2258014.46375424,3
4922,1,1,43,1,1,4,1,1137108.66889511,3
706,1,1,19,1,1,0,3,5627093.33333333,3
2955,1,1,31,1,1,4,1,6404279.21436356,3
3187,1,1,26,1,1,4,1,3043126.66666667,3
5707,1,1,20,5,1,3,1,130000,3
5668,1,1,51,1,1,4,1,2053003.33333333,3
6878,2,1,59,2,2,3,1,4206453.33333333,3
870,1,1,23,1,1,0,1,2872506,3
5557,1,1,42,1,1,6,1,2723761.3,3
5890,1,1,48,2,1,3,1,1640487.33333333,3
2641,1,1,21,1,1,0,1,1910666.33333333,3
4452,1,1,35,1,1,4,1,2572006.66666667,3
2670,1,1,24,1,1,3,1,2417858,3
11144,6,2,29,1,6,0,2,377758.56,3
7080,2,1,55,1,2,1,1,1332478.33333333,3
1489,1,1,25,6,6,3,1,2230978.16666667,3
4619,1,1,46,1,1,4,1,1034765.33333333,3
2112,1,1,87,1,1,4,3,2341170,3
6008,1,1,22,1,1,3,3,910000,3
9587,5,1,20,6,5,0,3,3317778.8,3
1035,1,1,27,1,1,0,1,541666.666666667,3
4925,1,1,19,1,1,1,3,1052125,3
6538,1,2,37,2,1,3,1,1863401,3
1421,1,1,50,1,1,3,3,3450243.33333333,3
3147,1,1,79,1,1,3,1,1049327,3
630,1,1,46,1,1,2,1,1856495,3
9545,5,1,34,6,5,1,1,1260003.33333333,3
59,1,1,20,1,2,1,1,1391919.40638518,3
681,1,1,71,1,1,3,3,3374361.13333333,3
4524,1,1,19,4,1,0,3,4639175.66666667,3
5555,1,1,47,1,1,4,1,3056846,3
4220,1,1,41,1,1,1,1,5181020,3
5877,1,1,60,1,1,3,1,1633883.33333333,3
5874,1,1,43,4,1,3,3,719111,3
10146,5,2,27,1,5,0,1,210333.333333333,2
912,1,1,22,9,1,0,1,2290881.16484323,3
4116,1,1,41,4,1,3,1,1170312,3
4572,1,1,82,1,1,3,3,736666.666666667,3
2766,1,1,85,2,1,4,3,2178266.66666667,3
2199,1,1,24,1,1,3,1,2918678.29520493,3
4970,1,1,44,1,1,3,1,2823951.22666667,3
10669,6,2,23,2,6,1,3,453916.84,3
649,1,1,20,1,1,0,3,3605554.20952381,3
2053,1,1,24,1,1,3,1,2631947.93333333,3
4083,1,1,34,1,1,6,1,3205329.4,3
7848,3,1,30,1,3,0,1,1596382.66666667,3
9671,5,1,26,2,5,3,3,523028.08,3
3099,1,1,52,4,1,6,1,2235348.3392555,3
678,1,1,62,1,1,4,3,6933333.33333333,3
757,1,1,60,1,1,3,1,760145.533333333,3
7613,3,1,18,1,1,0,3,1087120.66666667,3
5425,1,1,52,1,1,4,1,2427290.66666667,3
2145,1,1,20,5,1,0,3,2258014.46375424,3
1127,1,1,50,5,1,4,1,778873.333333333,3
753,1,1,99,1,1,4,3,1919471.23333333,3
2947,1,1,70,1,1,4,1,2368666.66666667,3
10,1,1,36,1,1,6,1,1850810,3
2556,1,1,58,1,1,0,1,3785507.08972222,3
2767,1,1,45,1,1,4,1,2178266.66666667,3
1153,1,1,80,1,1,3,3,1053728,3
5377,1,1,33,1,1,3,1,2481916.66666667,3
5349,1,1,73,1,1,4,3,1180833.33333333,3
8106,3,2,21,4,3,1,2,420074,2
80,1,1,35,1,1,4,1,1464580,3
1338,1,1,52,1,1,3,1,2131080.46666667,3
4624,1,1,41,1,1,4,1,2250330.33333333,3
5087,1,1,17,1,1,0,3,2723333.33333333,3
4690,1,1,81,1,1,3,3,541666.666666667,3
2528,1,1,68,1,1,4,3,1083333.33333333,3
5328,1,1,32,1,1,4,1,2824960.66666667,3
6972,2,1,45,2,2,4,1,3004384.83712968,3
7240,2,2,79,2,2,3,3,1300000,3
2737,1,1,32,1,1,4,1,2541847.12825579,3
10169,5,2,34,4,5,4,1,2614974.33333333,3
1074,1,1,21,1,1,3,1,2217932.16666667,3
3927,1,1,35,2,1,3,1,1809166.66666667,3
5642,1,1,44,1,1,3,1,2421438.93333333,3
9833,5,1,33,5,5,4,1,4819446.66666667,3
3933,1,1,36,5,1,1,3,1951082.00222844,3
10646,6,1,48,1,6,6,1,1950000,3
8900,4,2,39,4,4,1,3,650000,3
10967,6,2,17,2,2,0,3,551789,2
4461,1,1,40,1,1,3,1,697623.333333333,3
2838,1,1,35,1,1,4,1,3638396.51724138,3
7830,3,1,22,3,3,3,1,1798717.5,3
3525,1,1,49,1,1,4,1,2078310,3
4906,1,1,25,2,1,1,1,2841292.50662,3
2022,1,1,99,2,1,1,1,2904491.07923615,3
2383,1,1,86,1,1,2,3,639166.666666667,3
4272,1,1,55,5,1,1,3,1098457.14666667,3
4907,1,1,23,1,1,3,1,2841292.50662,3
5366,1,1,46,1,1,4,1,3000239.24832667,3
3035,1,1,54,1,1,3,1,4296500,3
5422,1,1,56,1,1,6,1,6279416,3
8402,4,1,39,1,1,0,3,1274000,3
1096,1,1,56,1,1,4,1,1086888.83333333,3
715,1,1,39,1,1,6,1,7930000,3
2753,1,1,65,1,1,3,3,2257666.66666667,3
2568,1,1,49,1,1,6,1,2514915,3
412,1,1,34,2,1,3,1,524396.5,3
5715,1,1,31,1,1,2,1,1651065,3
4472,1,1,54,1,1,2,3,1947985.9665,3
3594,1,1,53,1,1,9,1,1333686.03333333,3
2579,1,1,23,1,1,3,3,1900440.57156863,3
6082,1,1,42,1,1,4,1,2622958,3
4453,1,1,36,3,1,4,1,2572006.66666667,3
8223,3,2,58,3,3,0,3,502623.458333333,3
7922,3,1,45,4,3,2,1,1566058,3
7781,3,1,61,3,3,4,1,3351365.33333333,3
2998,1,1,43,1,1,4,1,3087500,3
2222,1,1,43,5,1,4,1,579111,3
5722,1,1,30,1,1,4,1,6203666.13333333,3
1054,1,1,28,1,1,0,3,1187019.17333333,3
4304,1,1,36,1,1,1,1,2373548.49333333,3
4902,1,1,30,3,1,3,3,210000,3
8721,4,1,38,4,4,4,1,2539112.33333333,3
5393,1,1,17,1,1,0,3,1236385.3226578,3
1663,1,1,58,1,1,6,1,3115754.63333333,3
5123,1,1,35,1,1,3,1,1715739.10716,3
5489,1,1,22,1,1,3,1,5433762.54149225,3
96,1,1,57,1,1,9,1,1358197.14226026,3
5919,1,1,69,1,1,4,3,135416.666666667,3
3162,1,1,38,4,1,6,1,2557273.33333333,3
7204,2,1,23,1,2,0,3,1987279.86706502,3
8451,4,1,24,4,4,0,1,473866.666666667,3
5060,1,1,22,1,1,0,3,3139917,3
