,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual,ingreso_total_hogar_neto,nivel_pobreza
3272,1,1,46,1,1,2,1,1973162.53333333,3
2228,1,1,55,1,1,4,1,1980899.80528752,3
3519,1,2,40,1,1,0,1,2690758.34956289,3
1383,1,1,44,1,1,3,1,1063798.66666667,3
404,1,1,49,1,1,4,1,2532448.53333333,3
2016,1,1,40,4,1,4,3,838474,3
2347,1,1,36,1,1,4,1,1735554.24,3
467,1,1,18,1,1,1,3,489833.333333333,3
4925,3,1,28,3,3,0,1,1239774.9,3
1544,1,1,54,1,1,3,3,2332265,3
4220,1,1,62,1,1,6,1,5956298.58515152,3
112,1,1,23,1,1,0,1,1395698.9428654,3
153,1,1,85,2,1,9,3,1868591.00973074,3
2056,1,1,59,1,1,0,1,498983.333333333,3
8655,6,2,49,1,6,6,1,3514665.35333333,3
3692,1,2,40,1,1,3,3,671218.61174178,3
4071,2,1,38,1,2,4,1,1535594.66666667,3
4820,3,1,65,1,3,1,3,1683500,3
1849,1,1,31,6,1,4,1,1489592.55466667,3
454,1,1,35,1,1,3,1,1209746.75077121,3
2705,1,2,18,1,1,0,3,1487780.90155114,3
3106,1,2,44,9,1,4,1,773474,3
8144,6,1,39,1,1,3,1,1852587.98370493,3
6034,4,2,24,4,4,3,1,198102.666666667,2
10546,2,1,47,1,2,4,1,1690940.33333333,3
10307,1,2,23,1,1,0,1,542033.533333333,3
10151,1,1,24,9,1,0,3,582851.834438417,3
618,1,1,36,1,1,6,1,3478497.03030303,3
5825,4,1,48,2,4,2,1,3569150,3
394,1,1,49,1,1,3,1,639166.666666667,3
3161,1,2,28,1,1,4,1,1028083.33333333,3
3765,1,2,40,1,1,4,1,8497471.88333333,3
4281,2,2,71,2,2,4,3,15021448,3
7967,6,1,53,1,6,6,1,3867530.33333333,3
2838,1,2,23,1,1,0,2,25000,1
9195,1,1,35,1,1,0,1,1366065.85881036,3
2471,1,2,20,2,7,0,3,836333.333333333,3
611,1,1,75,4,1,3,3,1445600,3
6787,4,2,32,4,4,4,3,2148969.8,3
2554,1,2,24,1,1,0,1,1169121.2,3
10380,1,2,35,2,1,4,1,5253148.33333333,3
4222,1,1,28,1,1,3,1,5956298.58515152,3
10254,1,1,41,2,1,2,1,4806338.94,3
5648,4,1,65,1,4,2,1,837200,3
7186,4,2,23,1,4,0,2,673700,3
1081,1,1,61,1,1,0,3,794879.583333333,3
5745,4,1,32,1,4,3,1,637000,3
7968,6,1,46,6,6,6,1,7763166.66666667,3
4558,2,2,31,2,2,3,1,2355002,3
909,1,1,39,1,1,4,2,1179986.7306458,3
8856,6,2,35,2,6,0,1,848378.378666667,3
8147,6,1,34,1,6,4,1,1985719.66666667,3
2899,1,2,33,1,1,3,1,575848.736666667,3
2282,1,1,69,1,1,0,3,1406285.01927255,3
6704,4,2,30,1,4,0,1,272000,3
2033,1,1,38,1,1,3,1,520000,3
1301,1,1,37,1,1,6,2,520000,3
1310,1,1,30,1,1,4,1,5696084.36363636,3
8556,6,2,40,1,6,4,1,6080828,3
2648,1,2,51,2,1,4,1,3169094.5,3
8115,6,1,60,1,6,3,1,1393960.73735627,3
3707,1,2,29,1,1,3,3,777051.166666667,3
9756,1,1,38,1,1,4,1,1298181.75078469,3
8431,6,2,34,1,6,6,1,4246493.33333333,3
1975,1,1,33,1,1,3,1,2477050.0306458,3
8004,6,1,60,1,6,4,3,2063938.62005669,3
9900,1,1,42,1,1,2,1,1137500,3
999,1,1,34,1,1,0,1,684816.534575407,3
9968,1,1,38,1,1,3,3,1857851.66666667,3
10296,1,2,53,1,1,4,1,7668470.33333333,3
9692,1,1,54,1,1,3,1,1414681.21584126,3
9046,1,1,35,3,1,4,1,6480928.59859444,3
915,1,1,41,3,1,3,1,1311333.83333333,3
9435,1,1,47,1,1,3,1,3120000,3
9134,1,1,26,4,4,4,1,826553,3
6770,4,2,30,4,4,3,2,1087920.93,3
1150,1,1,50,1,1,3,1,1073709,3
2701,1,2,26,1,1,3,1,1187105.59111575,3
1543,1,1,54,1,1,4,1,2332265,3
3603,1,2,84,1,1,2,3,563333.333333333,3
7310,5,2,60,1,5,3,1,1238471,3
970,1,1,34,4,1,0,1,1257971,3
10690,3,1,41,1,3,1,3,352083.333333333,3
1023,1,1,18,1,1,0,3,350000,3
4913,3,1,46,1,3,2,1,1140632.71383648,3
1177,1,1,52,1,1,4,1,3169107.5,3
6202,4,2,48,1,4,4,1,1688355.33333333,3
11080,5,1,55,1,5,4,1,4225064.53666667,3
205,1,1,94,1,1,4,3,1643947.5,3
8927,1,1,24,1,1,3,1,920435.793333333,3
10237,1,1,42,4,1,3,2,618438.833333333,3
244,1,1,70,1,1,1,3,2283333.33333333,3
8164,6,1,49,6,6,6,1,4169175.83333333,3
7216,5,2,62,4,5,4,3,2015061.1,3
2269,1,2,23,1,1,0,1,1009083.33333333,3
1498,1,1,66,1,1,1,3,1190782.66666667,3
10753,3,2,59,2,3,4,1,2000709.53333333,3
4496,2,2,17,3,2,0,3,185000,2
6782,4,2,29,1,4,4,1,1455964.9,3
3352,1,1,53,1,1,6,1,2575993.33333333,3
2767,1,2,59,1,1,1,1,1689123.33333333,3
641,1,1,45,1,1,0,1,2481026.64630781,3
3904,2,1,56,2,2,1,1,1681550,3
9377,1,1,63,6,1,4,1,10626113.3333333,3
1178,1,1,67,1,1,2,3,594490.68952381,3
10011,1,1,29,1,1,0,1,1202719.44,3
2768,1,2,39,1,1,3,1,3617297.66666667,3
8951,1,1,42,1,1,3,1,1558181.75078469,3
11278,6,1,39,1,6,4,1,5316688,3
17,1,1,60,5,1,1,1,1472606.00698501,3
92,1,1,28,4,1,4,1,1899256.46666667,3
8930,1,1,24,1,1,0,2,975166.5898,3
1830,1,1,26,1,1,3,2,1542225.33333333,3
9073,1,1,67,1,1,0,3,697167.151515152,3
8520,6,2,55,1,6,0,1,1169017.83333333,3
637,1,1,66,4,1,4,1,2084807.18625375,3
3508,1,2,44,1,1,6,1,2674208.33333333,3
1022,1,1,18,1,1,0,3,350000,3
2623,1,2,36,2,1,4,1,834140.666666667,3
6592,4,2,37,4,4,0,1,2885282.83333333,3
5744,4,1,33,2,4,4,1,637000,3
7347,5,2,58,4,5,1,3,541666.666666667,3
3825,2,1,42,1,2,4,1,5044000,3
1120,1,1,35,2,1,3,3,1110015.57333333,3
10149,1,1,19,4,2,0,3,582851.834438417,3
1534,1,1,69,1,1,2,3,851482.666666667,3
3343,1,2,59,2,1,3,1,3749756.83333333,3
1334,1,1,33,3,1,0,3,144000,1
7603,5,1,41,5,5,4,1,1973001.95238095,3
2922,1,2,51,3,1,3,1,1888251.25176529,3
889,1,1,27,1,1,1,1,899699.857142857,3
6982,5,1,32,1,5,4,1,4734459.16666667,3
1844,1,1,51,1,1,1,1,1255626.28285714,3
